,perc_read,FASTREAD
0,0,6.64
1,1,10.55
2,2,10.55
3,3,10.55
4,4,10.55
5,5,10.55
6,6,10.55
7,7,10.55
8,8,10.55
9,9,10.55
10,10,10.55
11,11,10.55
12,12,10.55
13,13,10.55
14,14,10.55
15,15,10.55
16,16,10.55
17,17,10.55
18,18,10.55
19,19,10.94
20,20,10.94
21,21,10.94
22,22,10.94
23,23,10.94
24,24,10.94
25,25,10.94
26,26,18.75
27,27,18.75
28,28,18.75
29,29,19.14
30,30,19.53
31,31,20.31
32,32,21.09
33,33,21.09
34,34,21.48
35,35,21.48
36,36,22.66
37,37,23.83
38,38,24.22
39,39,24.22
40,40,24.22
41,41,24.22
42,42,24.22
43,43,24.61
44,44,24.61
45,45,24.61
46,46,24.61
47,47,24.61
48,48,25.0
49,49,25.0
50,50,25.78
51,51,25.78
52,52,26.56
53,53,27.73
54,54,28.52
55,55,28.52
56,56,29.3
57,57,29.69
58,58,29.69
59,59,29.69
60,60,30.08
61,61,30.08
62,62,30.08
63,63,30.08
64,64,30.47
65,65,30.47
66,66,31.64
67,67,32.81
68,68,32.81
69,69,33.2
70,70,33.98
71,71,33.98
72,72,33.98
73,73,35.94
74,74,35.94
75,75,35.94
76,76,36.72
77,77,37.89
78,78,38.28
79,79,39.06
80,80,39.06
81,81,39.45
82,82,40.62
83,83,42.97
84,84,43.36
85,85,44.53
86,86,46.48
87,87,48.05
88,88,
89,89,
90,90,
91,91,
92,92,
93,93,
94,94,
95,95,
96,96,
97,97,
98,98,
99,99,
100,100,
