,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,32.15,2.89,2.25,2.73,4.34
1,1,32.15,8.84,6.75,10.61,11.09
2,2,32.15,13.99,10.45,18.65,17.68
3,3,32.15,18.97,11.25,26.69,24.44
4,4,32.96,22.99,12.38,34.41,31.51
5,5,32.96,25.72,12.86,40.35,37.3
6,6,33.76,30.06,13.67,47.75,44.21
7,7,34.24,38.1,14.79,53.86,51.29
8,8,34.41,43.09,16.24,59.65,57.88
9,9,34.41,45.82,17.36,66.08,65.59
10,10,34.89,49.52,18.17,72.99,72.67
11,11,35.05,52.57,19.94,79.26,79.58
12,12,35.69,55.31,20.74,85.21,86.66
13,13,35.85,56.91,21.54,89.23,89.07
14,14,35.85,59.16,22.99,91.16,89.07
15,15,36.01,61.25,23.79,92.6,89.07
16,16,36.33,62.38,25.4,94.21,89.23
17,17,36.33,63.18,26.53,94.69,89.39
18,18,36.5,63.18,27.17,,89.55
19,19,36.82,63.18,28.3,,89.71
20,20,37.14,63.18,29.1,,89.87
21,21,37.3,63.18,30.23,,89.87
22,22,37.78,64.47,30.39,,89.87
23,23,37.94,65.59,31.19,,90.19
24,24,38.26,67.04,32.15,,90.35
25,25,38.59,69.13,33.76,,90.35
26,26,38.59,70.74,34.24,,90.51
27,27,39.07,71.22,35.37,,90.68
28,28,39.07,71.86,36.33,,91.0
29,29,39.39,72.99,37.46,,91.16
30,30,40.19,73.79,38.42,,91.32
31,31,40.68,74.6,39.07,,91.48
32,32,40.68,75.72,39.87,,91.48
33,33,41.0,77.17,40.51,,91.8
34,34,41.32,77.81,40.84,,91.8
35,35,41.8,78.46,41.16,,91.8
36,36,41.8,79.1,42.28,,91.8
37,37,42.28,79.1,43.09,,92.12
38,38,42.6,79.74,43.89,,92.12
39,39,43.41,81.19,44.37,,92.28
40,40,43.73,81.99,45.66,,92.44
41,41,43.73,83.12,46.62,,92.44
42,42,44.53,84.08,47.91,,92.6
43,43,45.82,84.08,48.87,,92.6
44,44,46.3,84.41,49.04,,92.77
45,45,46.3,85.05,50.16,,92.93
46,46,47.43,85.53,51.29,,93.25
47,47,48.23,86.01,52.41,,93.25
48,48,48.39,86.17,53.22,,93.25
49,49,48.71,87.62,53.7,,93.25
50,50,49.52,88.1,54.98,,93.73
51,51,50.16,88.75,56.11,,93.73
52,52,50.16,89.87,57.23,,93.89
53,53,50.48,90.84,57.88,,93.89
54,54,52.09,91.16,58.84,,93.89
55,55,52.41,91.48,59.65,,93.89
56,56,53.05,91.64,60.45,,93.89
57,57,53.22,92.28,61.41,,94.21
58,58,54.82,92.44,63.34,,94.21
59,59,55.31,92.6,64.31,,94.53
60,60,55.95,92.6,65.27,,94.69
61,61,55.95,92.6,65.59,,94.86
62,62,55.95,92.6,66.08,,94.86
63,63,55.95,92.6,66.72,,
64,64,56.59,92.6,67.52,,
65,65,57.4,92.6,68.81,,
66,66,58.68,92.6,69.94,,
67,67,59.97,92.6,70.9,,
68,68,60.77,92.6,71.38,,
69,69,61.58,92.6,72.51,,
70,70,62.86,92.6,73.31,,
71,71,63.99,92.6,73.95,,
72,72,64.47,92.6,74.76,,
73,73,66.24,92.6,75.56,,
74,74,66.72,92.93,76.05,,
75,75,67.68,93.25,77.01,,
76,76,68.65,93.57,78.14,,
77,77,69.13,94.05,78.94,,
78,78,70.1,94.21,79.9,,
79,79,71.06,94.53,80.55,,
80,80,71.7,,81.67,,
81,81,73.79,,83.92,,
82,82,74.76,,85.37,,
83,83,75.4,,85.37,,
84,84,76.21,,86.01,,
85,85,78.3,,86.98,,
86,86,78.94,,87.78,,
87,87,81.19,,88.59,,
88,88,83.12,,89.71,,
89,89,84.41,,90.19,,
90,90,85.21,,90.84,,
91,91,87.14,,91.64,,
92,92,88.75,,93.09,,
93,93,90.68,,94.05,,
94,94,92.6,,94.37,,
95,95,,,,,
96,96,,,,,
97,97,,,,,
98,98,,,,,
99,99,,,,,
100,100,,,,,
