,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,17.13,1.05,0.7,7.69,7.69
1,1,17.13,3.15,1.75,30.77,22.03
2,2,18.18,3.85,2.8,46.5,36.36
3,3,18.18,4.2,3.5,47.2,53.15
4,4,18.18,6.64,7.34,47.55,55.94
5,5,18.18,9.09,10.84,48.6,56.99
6,6,19.58,10.49,12.24,48.6,56.99
7,7,19.58,13.29,13.29,48.6,58.04
8,8,19.93,13.99,15.03,48.6,58.39
9,9,19.93,15.73,16.08,48.95,59.79
10,10,20.28,17.48,16.43,49.65,60.49
11,11,20.63,19.58,17.83,49.65,60.84
12,12,20.98,20.28,19.93,49.65,61.54
13,13,21.68,21.33,20.63,49.65,61.54
14,14,22.03,22.38,21.33,50.0,61.89
15,15,22.03,26.22,21.68,50.0,62.59
16,16,22.03,29.02,22.73,50.35,62.94
17,17,22.03,31.12,23.78,51.75,62.94
18,18,22.38,32.52,25.52,52.1,62.94
19,19,22.38,34.62,27.27,52.45,63.64
20,20,22.38,35.66,28.32,52.8,64.34
21,21,23.08,38.11,30.42,52.8,64.69
22,22,23.08,38.81,31.82,52.8,65.03
23,23,23.43,39.51,31.82,53.85,65.38
24,24,23.43,39.86,33.22,56.99,66.08
25,25,23.43,39.86,34.62,60.84,66.08
26,26,23.78,39.86,35.66,66.08,66.78
27,27,23.78,39.86,35.66,70.28,66.78
28,28,24.13,41.96,35.66,71.68,67.13
29,29,24.48,42.31,36.36,73.08,67.13
30,30,24.48,44.41,37.06,75.17,67.13
31,31,25.17,47.2,37.76,81.82,67.83
32,32,25.52,48.95,37.76,84.97,68.18
33,33,26.22,49.3,38.81,86.36,68.18
34,34,26.92,50.0,38.81,86.36,68.53
35,35,26.92,52.1,39.16,86.71,69.58
36,36,27.62,52.8,40.21,87.41,69.58
37,37,27.62,53.5,41.61,88.46,69.58
38,38,27.62,54.2,41.96,89.16,69.93
39,39,28.32,55.24,42.31,90.21,71.33
40,40,28.67,58.04,43.01,90.91,71.33
41,41,29.02,59.44,44.41,90.91,72.03
42,42,29.37,59.79,45.45,90.91,72.38
43,43,29.72,59.79,46.15,91.61,72.38
44,44,30.42,60.49,46.5,91.61,73.08
45,45,31.12,61.54,47.9,92.31,73.78
46,46,31.47,62.59,48.6,93.01,74.48
47,47,31.82,63.64,48.95,93.36,74.48
48,48,32.52,64.34,49.65,93.71,74.48
49,49,33.22,66.43,51.4,93.71,75.87
50,50,33.57,67.13,53.15,94.06,76.22
51,51,33.57,68.18,53.85,94.06,76.57
52,52,33.92,68.18,54.55,94.41,77.27
53,53,33.92,69.23,55.59,94.41,77.27
54,54,33.92,70.28,55.94,94.41,77.62
55,55,34.27,70.98,57.34,94.41,77.62
56,56,34.97,72.03,58.39,94.41,78.67
57,57,35.31,72.03,59.44,94.76,79.02
58,58,35.66,72.73,61.19,94.76,79.72
59,59,36.01,73.78,63.29,94.76,80.77
60,60,36.71,74.48,63.64,94.76,81.47
61,61,37.41,74.83,64.34,94.76,82.17
62,62,38.46,75.17,66.08,,82.17
63,63,39.16,77.97,66.08,,82.17
64,64,39.51,79.37,66.08,,82.52
65,65,39.86,80.07,67.13,,83.22
66,66,39.86,80.07,68.18,,83.22
67,67,39.86,80.07,69.58,,83.92
68,68,40.21,80.07,71.68,,84.97
69,69,40.91,80.07,72.03,,84.97
70,70,41.61,80.42,72.73,,85.66
71,71,41.61,82.52,73.78,,85.66
72,72,41.96,82.87,74.48,,86.01
73,73,43.36,88.46,75.17,,86.01
74,74,44.76,88.46,75.17,,86.01
75,75,44.76,89.16,75.52,,86.01
76,76,45.8,90.21,76.57,,87.06
77,77,46.15,90.56,76.92,,87.41
78,78,47.55,91.26,77.62,,88.11
79,79,48.25,92.66,78.67,,88.81
80,80,49.3,,80.07,,89.16
81,81,49.3,,81.82,,89.86
82,82,49.65,,81.82,,90.21
83,83,50.7,,81.82,,90.91
84,84,51.4,,82.52,,90.91
85,85,52.1,,83.22,,90.91
86,86,52.45,,83.22,,90.91
87,87,53.5,,83.92,,91.61
88,88,56.29,,84.97,,91.96
89,89,58.74,,87.06,,92.66
90,90,60.84,,88.81,,93.36
91,91,65.38,,89.86,,94.76
92,92,66.08,,91.61,,
93,93,67.83,,92.66,,
94,94,69.23,,93.71,,
95,95,72.73,,94.41,,
96,96,78.67,,,,
97,97,82.52,,,,
98,98,88.46,,,,
99,99,95.8,,,,
100,100,,,,,
