,perc_read,FASTREAD,SVM
0,0,59.89,5.88
1,1,63.37,26.47
2,2,70.32,47.33
3,3,75.67,66.31
4,4,78.61,74.87
5,5,80.21,76.74
6,6,80.75,77.81
7,7,81.82,79.95
8,8,82.09,81.28
9,9,85.03,83.16
10,10,85.03,83.96
11,11,85.56,85.29
12,12,86.1,86.63
13,13,86.36,87.17
14,14,86.63,87.7
15,15,87.17,88.5
16,16,87.7,90.37
17,17,90.37,90.37
18,18,90.37,90.64
19,19,90.64,90.64
20,20,92.51,90.91
21,21,,91.18
22,22,,91.44
23,23,,91.44
24,24,,91.44
25,25,,91.44
26,26,,91.44
27,27,,91.44
28,28,,91.44
29,29,,91.44
30,30,,91.44
31,31,,91.44
32,32,,91.44
33,33,,91.44
34,34,,91.44
35,35,,91.44
36,36,,91.44
37,37,,91.44
38,38,,91.44
39,39,,91.44
40,40,,91.44
41,41,,91.44
42,42,,91.44
43,43,,91.44
44,44,,91.44
45,45,,91.44
46,46,,91.44
47,47,,91.44
48,48,,91.44
49,49,,91.44
50,50,,91.44
51,51,,91.44
52,52,,91.44
53,53,,91.44
54,54,,91.44
55,55,,91.44
56,56,,91.44
57,57,,91.44
58,58,,91.71
59,59,,91.98
60,60,,91.98
61,61,,91.98
62,62,,94.65
63,63,,94.65
64,64,,94.65
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
