,perc_read,FASTREAD,SVM
0,0,71.55,2.34
1,1,76.22,6.72
2,2,79.62,11.25
3,3,82.66,17.13
4,4,85.7,22.43
5,5,88.04,28.03
6,6,89.24,33.69
7,7,90.3,39.35
8,8,90.66,45.51
9,9,91.22,51.24
10,10,91.58,57.47
11,11,92.78,63.2
12,12,92.99,69.99
13,13,93.21,75.94
14,14,93.28,82.59
15,15,93.49,87.4
16,16,93.7,90.3
17,17,93.98,91.08
18,18,94.27,91.86
19,19,94.41,92.14
20,20,94.55,92.43
21,21,94.62,92.5
22,22,94.76,92.57
23,23,94.76,92.78
24,24,94.76,92.92
25,25,94.76,92.99
26,26,94.76,93.06
27,27,94.83,93.06
28,28,94.83,93.06
29,29,94.83,93.06
30,30,94.9,93.06
31,31,94.9,93.49
32,32,94.9,93.63
33,33,94.9,93.7
34,34,94.9,93.7
35,35,94.9,93.7
36,36,,93.7
37,37,,93.84
38,38,,93.91
39,39,,93.98
40,40,,93.98
41,41,,94.06
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
