,perc_read,FASTREAD,SVM
0,0,24.04,14.42
1,1,27.88,37.5
2,2,28.85,49.04
3,3,31.73,60.58
4,4,36.54,65.38
5,5,37.5,73.08
6,6,41.35,73.08
7,7,45.19,75.0
8,8,51.92,76.92
9,9,59.62,81.73
10,10,63.46,82.69
11,11,66.35,82.69
12,12,68.27,85.58
13,13,69.23,85.58
14,14,70.19,85.58
15,15,73.08,86.54
16,16,73.08,86.54
17,17,73.08,89.42
18,18,75.0,89.42
19,19,75.96,89.42
20,20,76.92,89.42
21,21,77.88,89.42
22,22,78.85,90.38
23,23,78.85,94.23
24,24,78.85,94.23
25,25,80.77,94.23
26,26,82.69,94.23
27,27,82.69,
28,28,82.69,
29,29,82.69,
30,30,82.69,
31,31,82.69,
32,32,83.65,
33,33,83.65,
34,34,83.65,
35,35,86.54,
36,36,87.5,
37,37,87.5,
38,38,87.5,
39,39,87.5,
40,40,87.5,
41,41,87.5,
42,42,87.5,
43,43,89.42,
44,44,90.38,
45,45,90.38,
46,46,92.31,
47,47,92.31,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
