,perc_read,FASTREAD,SVM
0,0,59.11,2.12
1,1,62.29,8.05
2,2,64.19,14.41
3,3,67.16,20.34
4,4,70.34,26.69
5,5,74.79,32.63
6,6,76.06,38.98
7,7,78.18,45.34
8,8,81.36,51.69
9,9,82.2,57.2
10,10,84.11,63.35
11,11,84.96,69.7
12,12,86.23,74.58
13,13,86.44,77.33
14,14,87.08,79.24
15,15,87.92,80.51
16,16,87.92,81.36
17,17,87.92,82.2
18,18,88.77,84.32
19,19,89.62,85.38
20,20,91.1,86.02
21,21,91.31,86.44
22,22,91.95,88.14
23,23,92.16,88.35
24,24,92.37,90.04
25,25,92.8,90.68
26,26,93.64,91.31
27,27,93.86,91.31
28,28,94.28,91.53
29,29,94.28,91.74
30,30,,91.74
31,31,,92.16
32,32,,93.01
33,33,,93.43
34,34,,93.86
35,35,,93.86
36,36,,94.07
37,37,,94.07
38,38,,94.49
39,39,,94.49
40,40,,94.92
41,41,,95.13
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
