,perc_read,FASTREAD,SVM
0,0,19.62,12.92
1,1,28.23,29.19
2,2,30.62,40.19
3,3,33.01,49.76
4,4,40.67,55.5
5,5,46.89,58.85
6,6,46.89,60.29
7,7,47.37,60.29
8,8,47.37,60.29
9,9,54.07,60.29
10,10,55.02,60.29
11,11,55.98,60.29
12,12,57.89,60.77
13,13,58.37,60.77
14,14,58.37,60.77
15,15,62.2,60.77
16,16,62.68,60.77
17,17,63.64,61.24
18,18,65.07,61.24
19,19,65.55,61.24
20,20,65.55,61.24
21,21,67.94,61.24
22,22,68.42,67.46
23,23,68.42,86.6
24,24,68.42,90.43
25,25,68.42,90.91
26,26,68.42,90.91
27,27,68.42,90.91
28,28,68.42,90.91
29,29,68.42,91.87
30,30,68.42,92.82
31,31,68.42,92.82
32,32,68.42,92.82
33,33,68.42,92.82
34,34,68.9,93.78
35,35,68.9,93.78
36,36,70.81,93.78
37,37,70.81,93.78
38,38,70.81,93.78
39,39,70.81,93.78
40,40,70.81,93.78
41,41,70.81,93.78
42,42,70.81,93.78
43,43,70.81,93.78
44,44,70.81,93.78
45,45,70.81,93.78
46,46,70.81,93.78
47,47,70.81,93.78
48,48,70.81,93.78
49,49,70.81,94.26
50,50,70.81,94.26
51,51,70.81,94.26
52,52,70.81,94.26
53,53,70.81,94.26
54,54,70.81,94.26
55,55,70.81,94.26
56,56,70.81,94.26
57,57,70.81,94.26
58,58,70.81,94.26
59,59,70.81,94.26
60,60,70.81,94.26
61,61,70.81,94.26
62,62,70.81,94.26
63,63,70.81,94.26
64,64,70.81,94.26
65,65,70.81,94.26
66,66,70.81,94.26
67,67,70.81,94.26
68,68,77.99,94.26
69,69,97.13,94.26
70,70,,94.26
71,71,,94.26
72,72,,94.26
73,73,,94.26
74,74,,94.74
75,75,,94.74
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
