,perc_read,FASTREAD,NBM,KNN,DT,SVM,SVM_LINER
0,0,23.66,4.58,1.53,12.98,17.56,17.56
1,1,29.01,14.5,3.82,29.01,32.06,35.88
2,2,38.17,17.56,6.87,44.27,45.8,49.62
3,3,47.33,17.56,8.4,51.91,51.91,54.96
4,4,58.02,17.56,9.16,51.91,54.96,58.78
5,5,60.31,21.37,9.16,51.91,61.83,63.36
6,6,61.83,22.9,9.92,52.67,65.65,66.41
7,7,62.6,25.19,9.92,52.67,66.41,67.18
8,8,64.89,28.24,10.69,52.67,68.7,71.76
9,9,66.41,29.77,10.69,52.67,69.47,72.52
10,10,67.18,31.3,12.21,54.2,72.52,73.28
11,11,70.23,35.88,12.21,54.96,74.81,74.05
12,12,70.99,40.46,12.21,54.96,75.57,76.34
13,13,74.81,41.22,12.21,54.96,76.34,77.86
14,14,74.81,41.22,12.21,55.73,77.1,77.86
15,15,77.1,41.22,12.98,55.73,77.86,79.39
16,16,77.1,42.75,12.98,55.73,79.39,79.39
17,17,77.86,43.51,12.98,55.73,80.92,79.39
18,18,79.39,43.51,12.98,55.73,80.92,79.39
19,19,79.39,43.51,14.5,55.73,80.92,80.15
20,20,79.39,43.51,15.27,55.73,80.92,80.15
21,21,79.39,46.56,15.27,55.73,80.92,80.92
22,22,80.15,50.38,16.79,55.73,80.92,80.92
23,23,80.15,53.44,16.79,55.73,80.92,80.92
24,24,81.68,53.44,18.32,56.49,80.92,82.44
25,25,83.21,54.2,19.85,57.25,80.92,82.44
26,26,83.21,54.96,22.14,58.02,82.44,83.97
27,27,85.5,55.73,24.43,60.31,83.21,84.73
28,28,86.26,56.49,25.19,61.07,85.5,86.26
29,29,87.02,57.25,25.95,61.07,85.5,86.26
30,30,87.02,58.78,27.48,61.83,85.5,87.79
31,31,88.55,60.31,28.24,61.83,85.5,88.55
32,32,88.55,61.07,28.24,61.83,87.02,88.55
33,33,88.55,63.36,29.77,62.6,87.79,89.31
34,34,88.55,64.89,32.06,64.12,87.79,89.31
35,35,90.08,65.65,32.82,64.12,89.31,89.31
36,36,90.84,66.41,35.88,64.89,89.31,89.31
37,37,91.6,68.7,36.64,65.65,89.31,89.31
38,38,91.6,70.99,38.17,66.41,89.31,89.31
39,39,91.6,71.76,38.93,67.94,89.31,89.31
40,40,91.6,73.28,39.69,68.7,89.31,91.6
41,41,91.6,77.1,41.22,69.47,90.08,91.6
42,42,91.6,77.86,41.22,69.47,91.6,91.6
43,43,92.37,78.63,41.22,69.47,91.6,91.6
44,44,92.37,79.39,43.51,69.47,93.89,92.37
45,45,93.13,79.39,48.09,69.47,93.89,92.37
46,46,,80.15,48.85,70.23,93.89,92.37
47,47,,80.15,48.85,70.23,93.89,92.37
48,48,,82.44,50.38,70.99,93.89,93.13
49,49,,83.97,53.44,71.76,93.89,93.89
50,50,,84.73,54.2,72.52,93.89,93.89
51,51,,84.73,54.2,72.52,93.89,93.89
52,52,,85.5,54.96,73.28,95.42,93.89
53,53,,86.26,54.96,73.28,,94.66
54,54,,87.02,56.49,74.05,,94.66
55,55,,87.79,56.49,75.57,,96.18
56,56,,89.31,58.02,76.34,,96.18
57,57,,89.31,58.02,76.34,,
58,58,,89.31,58.02,76.34,,
59,59,,89.31,58.02,77.1,,
60,60,,89.31,58.02,77.1,,
61,61,,90.84,59.54,77.86,,
62,62,,91.6,60.31,79.39,,
63,63,,91.6,61.83,79.39,,
64,64,,91.6,61.83,79.39,,
65,65,,91.6,62.6,80.92,,
66,66,,91.6,64.89,81.68,,
67,67,,91.6,67.18,83.21,,
68,68,,92.37,67.94,83.97,,
69,69,,92.37,68.7,84.73,,
70,70,,92.37,70.99,85.5,,
71,71,,93.13,73.28,87.02,,
72,72,,94.66,74.81,87.02,,
73,73,,94.66,74.81,87.02,,
74,74,,94.66,74.81,87.79,,
75,75,,94.66,75.57,87.79,,
76,76,,,76.34,88.55,,
77,77,,,76.34,88.55,,
78,78,,,79.39,89.31,,
79,79,,,80.92,90.84,,
80,80,,,82.44,92.37,,
81,81,,,83.97,92.37,,
82,82,,,86.26,93.89,,
83,83,,,87.02,93.89,,
84,84,,,87.79,94.66,,
85,85,,,88.55,95.42,,
86,86,,,88.55,,,
87,87,,,89.31,,,
88,88,,,89.31,,,
89,89,,,90.08,,,
90,90,,,93.89,,,
91,91,,,93.89,,,
92,92,,,94.66,,,
93,93,,,,,,
94,94,,,,,,
95,95,,,,,,
96,96,,,,,,
97,97,,,,,,
98,98,,,,,,
99,99,,,,,,
100,100,,,,,,
