,perc_read,FASTREAD,NBM,KNN,DT,SVM,SVM_LINER
0,0,73.31,2.54,3.18,4.24,2.12,2.54
1,1,73.73,8.47,8.26,9.53,8.05,8.26
2,2,74.58,13.56,11.02,14.83,14.41,14.41
3,3,76.27,16.53,13.35,19.7,20.34,20.34
4,4,77.54,20.13,15.25,25.42,26.69,26.69
5,5,79.24,23.31,16.31,31.57,32.63,33.05
6,6,80.72,27.97,16.53,36.86,38.98,39.41
7,7,81.78,30.3,17.37,42.8,45.34,45.76
8,8,82.63,33.47,18.64,48.31,51.69,52.12
9,9,84.32,33.69,20.76,54.45,57.2,58.26
10,10,85.81,36.02,21.61,60.38,63.35,63.56
11,11,86.86,39.41,21.82,65.89,69.7,68.64
12,12,87.5,41.1,22.25,71.61,74.58,73.52
13,13,88.35,43.01,23.31,74.36,77.33,76.69
14,14,88.77,44.92,23.94,74.58,79.24,79.87
15,15,88.77,45.97,24.58,74.79,80.51,81.78
16,16,89.41,47.03,25.42,75.0,81.36,83.47
17,17,89.83,47.88,25.85,75.64,82.2,85.81
18,18,91.1,49.36,27.54,76.27,84.32,86.23
19,19,92.58,50.85,29.03,76.91,85.38,87.08
20,20,93.01,51.27,29.87,77.75,86.02,88.35
21,21,93.01,51.48,30.3,78.18,86.44,89.62
22,22,93.22,52.54,31.78,78.39,88.14,89.62
23,23,93.86,53.6,32.84,78.6,88.35,89.83
24,24,94.07,54.45,33.69,78.6,90.04,90.68
25,25,94.07,55.72,34.75,78.81,90.68,91.31
26,26,94.49,57.2,35.38,79.03,91.31,91.74
27,27,94.7,57.63,36.44,79.24,91.31,92.37
28,28,,58.69,37.29,79.45,91.53,92.8
29,29,,60.81,38.14,79.66,91.74,93.01
30,30,,61.65,38.56,80.51,91.74,93.43
31,31,,62.29,38.77,80.51,92.16,93.43
32,32,,62.92,39.62,80.51,93.01,93.86
33,33,,63.77,40.25,80.72,93.43,93.86
34,34,,65.25,41.31,80.72,93.86,93.86
35,35,,66.31,42.37,80.93,93.86,94.28
36,36,,66.74,43.43,81.36,94.07,94.28
37,37,,67.8,43.86,81.57,94.07,94.7
38,38,,68.86,44.92,81.78,94.49,94.92
39,39,,70.34,45.76,82.2,94.49,94.92
40,40,,72.67,47.03,82.2,94.92,94.92
41,41,,73.94,48.52,82.42,95.13,94.92
42,42,,73.94,49.36,82.63,,94.92
43,43,,74.58,51.06,83.47,,94.92
44,44,,75.64,51.91,83.47,,95.13
45,45,,76.48,52.54,84.32,,
46,46,,76.69,53.39,84.53,,
47,47,,76.69,53.39,84.53,,
48,48,,77.54,55.72,84.53,,
49,49,,78.6,56.57,84.53,,
50,50,,79.87,58.05,84.96,,
51,51,,80.51,58.47,85.59,,
52,52,,81.14,60.17,86.65,,
53,53,,81.78,60.59,87.71,,
54,54,,82.63,61.02,87.92,,
55,55,,83.26,61.44,88.14,,
56,56,,84.11,61.86,88.14,,
57,57,,85.59,62.5,88.35,,
58,58,,86.02,63.56,88.98,,
59,59,,86.44,63.98,89.19,,
60,60,,87.29,64.62,89.19,,
61,61,,87.29,65.68,89.62,,
62,62,,87.5,67.58,90.25,,
63,63,,88.14,68.43,90.68,,
64,64,,88.77,69.7,90.89,,
65,65,,89.41,70.34,91.31,,
66,66,,90.47,71.19,91.31,,
67,67,,90.68,71.82,92.16,,
68,68,,91.1,73.52,92.37,,
69,69,,91.1,74.79,92.37,,
70,70,,91.31,75.64,92.58,,
71,71,,92.16,76.69,92.8,,
72,72,,92.58,77.33,93.43,,
73,73,,92.8,78.18,93.86,,
74,74,,93.01,79.45,94.28,,
75,75,,93.86,80.51,94.49,,
76,76,,94.28,81.57,94.92,,
77,77,,94.92,82.2,95.13,,
78,78,,,82.84,,,
79,79,,,83.9,,,
80,80,,,84.53,,,
81,81,,,85.38,,,
82,82,,,86.44,,,
83,83,,,86.86,,,
84,84,,,87.71,,,
85,85,,,88.77,,,
86,86,,,89.19,,,
87,87,,,90.04,,,
88,88,,,90.68,,,
89,89,,,91.1,,,
90,90,,,91.53,,,
91,91,,,93.01,,,
92,92,,,93.86,,,
93,93,,,,,,
94,94,,,,,,
95,95,,,,,,
96,96,,,,,,
97,97,,,,,,
98,98,,,,,,
99,99,,,,,,
100,100,,,,,,
