,perc_read,FASTREAD,NBM,KNN,DT,SVM,SVM_LINER
0,0,45.45,10.05,11.0,10.53,12.92,11.48
1,1,47.37,19.14,13.4,21.05,29.19,25.84
2,2,48.33,20.1,17.22,38.28,40.19,37.32
3,3,48.33,22.49,19.14,47.37,49.76,50.24
4,4,48.33,25.36,21.05,48.33,55.5,55.02
5,5,49.28,27.27,21.53,49.76,58.85,56.94
6,6,70.33,28.23,21.53,49.76,60.29,58.85
7,7,77.99,30.14,22.01,49.76,60.29,59.33
8,8,77.99,33.49,22.97,49.76,60.29,61.24
9,9,84.69,33.97,22.97,49.76,60.29,62.2
10,10,87.08,33.97,23.44,50.24,60.29,62.68
11,11,89.0,34.93,23.92,50.72,60.29,62.68
12,12,92.82,36.84,25.36,51.2,60.77,63.16
13,13,92.82,37.8,25.36,51.2,60.77,65.07
14,14,94.26,38.28,25.36,51.2,60.77,65.55
15,15,,39.71,26.32,52.15,60.77,65.55
16,16,,58.85,27.27,52.15,60.77,66.03
17,17,,68.9,28.71,52.63,61.24,66.03
18,18,,68.9,29.67,53.11,61.24,66.03
19,19,,68.9,30.14,53.11,61.24,66.03
20,20,,68.9,30.62,54.07,61.24,66.03
21,21,,68.9,31.1,55.5,61.24,66.03
22,22,,68.9,33.01,55.98,67.46,66.03
23,23,,68.9,33.01,55.98,86.6,66.03
24,24,,68.9,33.01,55.98,90.43,66.03
25,25,,68.9,33.49,55.98,90.91,66.03
26,26,,68.9,35.41,57.42,90.91,66.03
27,27,,68.9,35.89,57.42,90.91,66.03
28,28,,68.9,37.32,57.89,90.91,66.03
29,29,,69.38,37.32,58.37,91.87,66.03
30,30,,69.86,37.8,58.85,92.82,66.03
31,31,,70.81,37.8,58.85,92.82,66.03
32,32,,70.81,37.8,58.85,92.82,66.03
33,33,,70.81,38.76,59.81,92.82,66.03
34,34,,73.21,40.19,60.77,93.78,66.03
35,35,,73.21,42.58,62.2,93.78,66.03
36,36,,75.12,43.06,62.2,93.78,66.03
37,37,,75.6,44.5,63.64,93.78,66.03
38,38,,79.43,45.93,64.11,93.78,66.03
39,39,,81.82,46.41,65.55,93.78,66.03
40,40,,83.25,47.37,66.03,93.78,66.03
41,41,,84.21,47.37,66.51,93.78,66.03
42,42,,84.69,49.28,66.51,93.78,66.03
43,43,,84.69,49.28,66.51,93.78,66.03
44,44,,85.17,49.28,66.51,93.78,66.03
45,45,,85.65,49.76,66.99,93.78,66.03
46,46,,86.12,51.67,67.94,93.78,66.03
47,47,,87.56,52.15,68.42,93.78,66.99
48,48,,88.52,53.59,70.33,93.78,70.81
49,49,,88.52,55.5,70.81,94.26,70.81
50,50,,88.52,55.5,71.29,94.26,70.81
51,51,,88.52,56.94,71.29,94.26,70.81
52,52,,89.47,56.94,71.29,94.26,70.81
53,53,,90.43,58.37,72.25,94.26,70.81
54,54,,90.91,58.37,72.73,94.26,70.81
55,55,,90.91,58.85,73.68,94.26,70.81
56,56,,91.39,59.33,74.16,94.26,70.81
57,57,,91.39,60.77,74.64,94.26,70.81
58,58,,91.39,61.24,75.12,94.26,70.81
59,59,,91.39,62.2,76.08,94.26,70.81
60,60,,91.39,63.64,76.56,94.26,70.81
61,61,,91.39,64.59,77.51,94.26,70.81
62,62,,91.39,65.55,77.51,94.26,70.81
63,63,,91.39,66.51,77.99,94.26,70.81
64,64,,91.39,67.46,78.47,94.26,70.81
65,65,,91.39,67.46,78.47,94.26,70.81
66,66,,91.39,68.42,78.95,94.26,70.81
67,67,,91.87,69.86,80.38,94.26,70.81
68,68,,96.65,70.81,80.86,94.26,70.81
69,69,,,72.73,82.3,94.26,70.81
70,70,,,73.68,83.25,94.26,70.81
71,71,,,73.68,83.73,94.26,70.81
72,72,,,74.64,84.69,94.26,70.81
73,73,,,75.12,85.65,94.26,70.81
74,74,,,76.56,86.12,94.74,70.81
75,75,,,77.03,86.12,94.74,70.81
76,76,,,77.99,86.6,,70.81
77,77,,,78.95,87.56,,70.81
78,78,,,80.38,89.0,,70.81
79,79,,,81.82,90.43,,70.81
80,80,,,82.3,90.91,,70.81
81,81,,,82.78,90.91,,70.81
82,82,,,84.69,91.39,,70.81
83,83,,,85.17,91.39,,74.16
84,84,,,85.17,91.39,,93.3
85,85,,,85.17,91.39,,98.09
86,86,,,85.65,91.39,,
87,87,,,87.08,91.39,,
88,88,,,87.56,91.87,,
89,89,,,88.52,92.34,,
90,90,,,90.43,93.3,,
91,91,,,91.87,94.74,,
92,92,,,92.82,94.74,,
93,93,,,93.3,,,
94,94,,,93.78,,,
95,95,,,,,,
96,96,,,,,,
97,97,,,,,,
98,98,,,,,,
99,99,,,,,,
100,100,,,,,,
