,perc_read,FASTREAD,NBM,KNN,DT,SVM,SVM_LINER
0,0,88.75,2.89,2.25,4.5,2.73,2.41
1,1,89.23,8.84,6.75,11.41,10.61,10.45
2,2,89.87,13.99,10.45,18.33,18.65,17.68
3,3,90.19,18.97,11.25,25.24,26.69,25.4
4,4,91.0,22.99,12.38,31.67,34.41,33.44
5,5,91.48,25.72,12.86,37.94,40.35,39.71
6,6,92.44,30.06,13.67,44.37,47.75,47.11
7,7,93.25,38.1,14.79,50.96,53.86,54.66
8,8,93.73,42.93,16.24,57.07,59.49,62.06
9,9,94.21,45.82,17.36,64.15,66.08,69.45
10,10,,49.52,18.17,71.06,72.99,76.37
11,11,,52.57,19.94,78.46,79.26,83.12
12,12,,55.31,20.74,84.89,84.89,88.42
13,13,,56.91,21.54,89.39,89.07,91.48
14,14,,59.16,22.99,89.71,91.96,93.41
15,15,,61.25,23.79,90.03,92.44,94.21
16,16,,62.7,25.4,90.03,94.53,94.69
17,17,,63.18,26.53,90.19,,95.02
18,18,,63.18,27.17,90.35,,
19,19,,63.18,28.3,90.51,,
20,20,,63.18,29.1,90.84,,
21,21,,63.18,30.23,90.84,,
22,22,,64.47,30.39,91.16,,
23,23,,65.59,31.19,91.16,,
24,24,,67.04,32.15,91.32,,
25,25,,69.13,33.76,91.32,,
26,26,,70.74,34.24,91.48,,
27,27,,71.22,35.37,91.48,,
28,28,,71.86,36.33,91.48,,
29,29,,72.99,37.46,91.64,,
30,30,,73.79,38.42,91.64,,
31,31,,74.6,39.07,91.8,,
32,32,,75.72,39.87,92.12,,
33,33,,77.17,40.51,92.12,,
34,34,,77.81,40.84,92.12,,
35,35,,78.46,41.16,92.12,,
36,36,,79.1,42.28,92.44,,
37,37,,79.1,43.09,92.44,,
38,38,,79.74,43.89,92.44,,
39,39,,81.19,44.37,92.44,,
40,40,,81.99,45.66,92.44,,
41,41,,83.12,46.62,92.44,,
42,42,,84.08,47.91,92.44,,
43,43,,84.08,48.87,92.6,,
44,44,,84.41,49.04,92.77,,
45,45,,85.05,50.16,92.93,,
46,46,,85.53,51.29,93.25,,
47,47,,86.01,52.41,93.25,,
48,48,,86.17,53.22,93.57,,
49,49,,87.62,53.7,93.73,,
50,50,,88.1,54.98,93.73,,
51,51,,88.75,56.11,93.89,,
52,52,,89.87,57.23,93.89,,
53,53,,90.84,57.88,94.05,,
54,54,,91.16,58.84,94.05,,
55,55,,91.48,59.65,94.05,,
56,56,,91.64,60.45,94.05,,
57,57,,92.28,61.41,94.37,,
58,58,,92.44,63.34,94.37,,
59,59,,92.6,64.31,94.69,,
60,60,,92.6,65.27,94.69,,
61,61,,92.6,65.59,94.86,,
62,62,,92.6,66.08,94.86,,
63,63,,92.6,66.72,,,
64,64,,92.6,67.52,,,
65,65,,92.6,68.81,,,
66,66,,92.6,69.94,,,
67,67,,92.6,70.9,,,
68,68,,92.6,71.38,,,
69,69,,92.6,72.51,,,
70,70,,92.6,73.31,,,
71,71,,92.6,73.95,,,
72,72,,92.6,74.76,,,
73,73,,92.6,75.56,,,
74,74,,92.93,76.05,,,
75,75,,93.25,77.01,,,
76,76,,93.57,78.14,,,
77,77,,94.05,78.94,,,
78,78,,94.21,79.9,,,
79,79,,94.53,80.55,,,
80,80,,,81.67,,,
81,81,,,83.92,,,
82,82,,,85.37,,,
83,83,,,85.37,,,
84,84,,,86.01,,,
85,85,,,86.98,,,
86,86,,,87.78,,,
87,87,,,88.59,,,
88,88,,,89.71,,,
89,89,,,90.19,,,
90,90,,,90.84,,,
91,91,,,91.64,,,
92,92,,,93.09,,,
93,93,,,94.05,,,
94,94,,,94.37,,,
95,95,,,,,,
96,96,,,,,,
97,97,,,,,,
98,98,,,,,,
99,99,,,,,,
100,100,,,,,,
