,perc_read,FASTREAD,NBM,KNN,DT,SVM,SVM_LINER
0,0,52.8,1.05,0.7,7.34,7.69,7.69
1,1,54.9,3.15,1.75,21.33,30.77,30.77
2,2,56.64,3.85,2.8,35.66,46.5,51.75
3,3,58.74,4.2,3.5,51.05,47.2,58.74
4,4,61.54,6.64,7.34,55.24,48.25,65.73
5,5,69.93,9.09,10.84,55.94,48.6,68.88
6,6,71.33,10.49,12.24,56.64,48.6,71.33
7,7,72.03,13.29,13.29,57.69,48.6,72.73
8,8,76.22,13.99,15.03,58.39,48.95,80.07
9,9,78.32,15.73,16.08,59.44,48.95,81.12
10,10,78.67,17.48,16.43,60.14,49.65,84.97
11,11,79.37,19.58,17.83,60.49,49.65,87.76
12,12,79.72,20.28,19.93,60.84,49.65,88.81
13,13,80.07,21.33,20.63,61.19,50.0,88.81
14,14,80.42,22.38,21.33,61.54,50.0,89.51
15,15,81.47,26.22,21.68,61.89,50.0,89.86
16,16,84.62,29.02,22.73,62.59,50.35,91.96
17,17,85.31,31.12,23.78,62.59,51.75,92.31
18,18,86.36,32.52,25.52,62.59,52.1,93.36
19,19,87.06,34.62,27.27,62.94,52.45,93.36
20,20,88.46,35.66,28.32,63.99,52.8,93.36
21,21,89.86,38.11,30.42,64.34,52.8,93.36
22,22,91.26,38.81,31.82,64.69,52.8,93.71
23,23,91.26,39.51,31.82,65.03,53.85,94.41
24,24,91.96,39.86,33.22,65.38,56.99,94.76
25,25,,39.86,34.62,65.38,60.49,94.76
26,26,,39.86,35.66,66.08,65.03,95.1
27,27,,39.86,35.66,66.08,67.83,
28,28,,41.96,35.66,66.43,69.23,
29,29,,42.31,36.36,66.43,79.02,
30,30,,44.41,37.06,66.43,81.47,
31,31,,47.2,37.76,67.13,82.52,
32,32,,48.95,37.76,67.48,83.57,
33,33,,49.3,38.81,67.83,85.66,
34,34,,50.0,38.81,67.83,87.76,
35,35,,52.1,39.16,68.53,87.76,
36,36,,52.8,40.21,68.53,89.16,
37,37,,53.5,41.61,68.53,89.86,
38,38,,54.2,41.96,68.88,89.86,
39,39,,55.24,42.31,69.93,89.86,
40,40,,58.04,43.01,70.28,91.26,
41,41,,59.44,44.41,70.98,92.31,
42,42,,59.79,45.45,71.33,92.66,
43,43,,59.79,46.15,71.68,92.66,
44,44,,60.49,46.5,72.38,93.71,
45,45,,61.54,47.9,73.43,93.71,
46,46,,62.59,48.6,73.78,93.71,
47,47,,63.29,48.95,74.13,93.71,
48,48,,64.34,49.65,75.17,93.71,
49,49,,66.43,51.4,75.52,94.76,
50,50,,67.13,53.15,75.52,94.76,
51,51,,68.18,53.85,76.22,94.76,
52,52,,68.18,54.55,77.27,94.76,
53,53,,69.23,55.59,77.27,95.45,
54,54,,70.28,55.94,77.62,,
55,55,,70.98,57.34,77.62,,
56,56,,71.68,58.39,78.67,,
57,57,,72.03,59.44,78.67,,
58,58,,72.73,61.19,79.37,,
59,59,,73.78,63.29,80.42,,
60,60,,74.48,63.64,81.12,,
61,61,,74.83,64.34,81.82,,
62,62,,75.17,66.08,81.82,,
63,63,,77.97,66.08,82.17,,
64,64,,79.37,66.08,82.52,,
65,65,,80.07,67.13,83.22,,
66,66,,80.07,68.18,83.57,,
67,67,,80.07,69.58,84.62,,
68,68,,80.07,71.68,85.66,,
69,69,,80.07,72.03,85.66,,
70,70,,80.42,72.73,86.36,,
71,71,,82.52,73.78,86.36,,
72,72,,82.87,74.48,86.71,,
73,73,,88.46,75.17,86.71,,
74,74,,88.46,75.17,86.71,,
75,75,,89.16,75.52,86.71,,
76,76,,90.21,76.57,87.76,,
77,77,,90.56,76.92,88.11,,
78,78,,91.26,77.62,88.81,,
79,79,,92.66,78.67,89.51,,
80,80,,,80.07,89.86,,
81,81,,,81.82,90.56,,
82,82,,,81.82,90.91,,
83,83,,,81.82,91.26,,
84,84,,,82.52,91.26,,
85,85,,,83.22,91.26,,
86,86,,,83.22,91.26,,
87,87,,,83.92,91.96,,
88,88,,,84.97,92.31,,
89,89,,,87.06,93.01,,
90,90,,,88.81,93.71,,
91,91,,,89.86,,,
92,92,,,91.61,,,
93,93,,,92.66,,,
94,94,,,93.71,,,
95,95,,,94.41,,,
96,96,,,,,,
97,97,,,,,,
98,98,,,,,,
99,99,,,,,,
100,100,,,,,,
