,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,74.06,96.79,12.83,9.89,8.02,9.36,5.88,12.03
1,1,75.4,96.79,31.82,19.79,15.24,25.13,26.47,27.27
2,2,76.74,96.79,48.93,28.07,20.86,39.84,47.33,47.59
3,3,79.14,97.06,66.84,32.62,20.86,55.35,66.31,66.31
4,4,79.95,97.06,77.54,35.29,21.93,71.66,74.87,74.06
5,5,81.55,97.06,80.21,40.91,23.26,72.73,76.47,75.67
6,6,83.69,97.06,82.89,43.32,24.33,72.73,77.27,77.01
7,7,83.96,97.06,84.22,45.19,24.6,72.99,79.95,79.14
8,8,84.22,97.06,85.56,46.26,25.13,73.8,81.28,81.28
9,9,85.83,97.06,87.17,50.53,25.94,74.33,82.89,82.89
10,10,86.1,97.06,88.5,52.41,27.54,74.6,83.69,83.96
11,11,86.1,97.06,88.5,57.22,28.34,75.13,84.22,86.63
12,12,87.43,97.33,89.04,59.36,29.14,75.4,86.1,87.43
13,13,87.97,97.33,90.37,62.83,29.95,75.67,86.63,87.7
14,14,88.5,97.33,91.98,64.97,30.21,75.67,87.7,88.77
15,15,88.5,97.33,91.98,66.84,31.02,75.67,88.24,89.3
16,16,88.77,97.33,91.98,69.25,31.55,75.67,88.5,90.11
17,17,88.77,97.33,92.25,71.93,32.62,75.94,88.5,90.91
18,18,91.71,97.33,92.25,72.99,34.49,76.2,88.77,91.44
19,19,92.25,97.33,92.25,73.26,35.29,77.01,88.77,91.71
20,20,92.25,97.59,92.25,74.06,36.36,77.27,89.3,92.25
21,21,92.25,97.59,92.25,75.4,37.7,77.27,91.71,93.58
22,22,94.39,97.59,92.25,77.81,38.24,77.54,91.71,93.85
23,23,96.26,97.59,92.51,78.88,39.3,78.07,91.71,93.85
24,24,96.26,97.59,92.51,78.88,39.84,78.07,91.71,93.85
25,25,,97.86,92.78,79.95,40.11,78.07,91.71,94.12
26,26,,97.86,92.78,81.02,40.91,78.88,91.71,94.12
27,27,,97.86,92.78,81.82,41.98,79.14,91.71,94.39
28,28,,97.86,92.78,82.62,43.05,79.14,91.71,94.39
29,29,,98.13,92.78,82.89,43.32,79.41,91.71,94.39
30,30,,98.4,92.78,83.16,44.12,79.41,91.71,94.65
31,31,,98.4,92.78,83.42,45.45,79.41,91.71,94.65
32,32,,98.4,92.78,84.76,47.86,79.41,91.71,94.65
33,33,,98.66,92.78,85.29,48.4,80.21,91.71,94.65
34,34,,98.66,93.05,86.1,48.66,80.48,91.71,94.65
35,35,,98.66,93.05,86.63,50.27,80.75,91.71,94.65
36,36,,98.66,93.05,86.9,50.53,81.28,91.71,94.65
37,37,,98.93,93.05,88.24,51.07,81.55,91.71,94.65
38,38,,98.93,93.05,89.3,51.34,81.55,91.71,94.65
