,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,88.04,93.42,2.9,1.7,1.7,2.9,2.26,1.34
1,1,88.32,93.63,8.49,6.23,7.86,8.7,6.65,7.08
2,2,88.82,93.98,13.59,10.69,12.81,13.8,11.32,11.68
3,3,89.81,94.62,19.89,14.65,15.29,18.75,17.13,18.05
4,4,90.38,95.33,24.77,17.48,17.34,24.13,22.29,23.57
5,5,91.01,96.25,30.01,20.31,18.19,29.44,28.03,28.87
6,6,91.51,96.6,36.52,23.35,19.18,35.31,33.69,34.96
7,7,91.79,97.17,42.32,26.04,19.96,40.34,39.42,40.84
8,8,92.14,97.81,48.55,27.67,20.74,46.21,45.58,46.99
9,9,93.14,98.09,53.93,27.67,21.66,51.88,51.24,52.3
10,10,93.21,98.73,59.87,30.15,21.94,57.61,57.47,58.24
11,11,93.28,99.15,65.61,32.13,22.72,62.99,63.27,63.91
12,12,,99.15,71.97,35.53,23.85,68.58,69.92,70.42
13,13,,99.22,77.57,37.72,24.35,73.74,75.87,75.73
14,14,,99.22,83.86,39.7,25.55,79.19,82.59,81.88
15,15,,99.22,88.32,41.19,26.19,84.43,87.4,86.77
16,16,,99.22,89.6,43.67,27.25,89.88,90.3,89.53
17,17,,99.29,90.73,48.83,28.1,90.02,91.01,91.08
18,18,,99.29,91.65,50.74,28.52,90.16,91.58,91.72
19,19,,99.36,92.36,52.37,29.44,90.16,91.93,92.64
20,20,,99.36,93.42,53.15,30.29,90.23,92.22,92.92
21,21,,99.36,94.2,54.71,31.07,90.23,92.5,93.28
22,22,,99.43,95.47,56.48,32.13,90.38,92.64,95.12
23,23,,99.43,96.39,58.53,33.19,90.38,92.85,98.23
24,24,,99.43,97.03,60.08,34.11,90.52,92.85,98.51
25,25,,99.43,97.66,61.22,35.1,90.59,92.85,98.51
26,26,,99.43,97.66,62.49,35.88,90.73,92.85,98.58
27,27,,99.43,97.74,63.91,36.66,90.87,92.85,98.66
28,28,,99.43,97.88,64.54,37.44,91.08,92.85,98.73
29,29,,99.43,97.88,64.54,38.29,91.08,92.85,98.8
30,30,,99.43,97.88,65.39,39.42,91.3,92.99,98.94
31,31,,99.43,97.95,66.81,40.41,91.37,93.06,98.94
32,32,,99.43,97.95,67.87,40.76,91.44,93.06,99.01
33,33,,99.43,97.95,69.0,41.97,91.79,93.06,99.01
34,34,,99.43,98.09,70.21,42.96,91.86,93.06,99.01
35,35,,99.43,98.09,70.63,43.24,92.14,93.06,99.01
36,36,,99.43,98.16,71.62,44.3,92.14,93.14,99.01
37,37,,99.43,98.16,72.12,45.08,92.22,93.42,99.22
38,38,,99.43,98.16,73.25,45.58,92.29,96.46,99.29
39,39,,99.43,98.23,74.81,46.5,92.36,98.3,99.36
40,40,,99.43,98.23,75.37,47.35,92.36,98.3,99.36
41,41,,99.43,98.3,76.22,47.98,92.5,98.3,99.36
42,42,,99.43,98.3,77.42,48.9,92.64,98.44,99.36
43,43,,99.5,98.3,78.2,50.11,92.85,98.44,99.5
44,44,,99.58,98.37,78.27,51.1,92.85,98.51,99.5
45,45,,99.58,98.37,78.91,52.02,92.99,98.58,99.65
46,46,,99.58,98.51,79.41,52.72,93.06,98.58,99.93
47,47,,99.58,98.51,79.69,53.79,93.06,98.66,99.93
48,48,,99.65,98.51,79.76,54.99,93.28,98.73,99.93
49,49,,99.72,98.51,80.11,55.48,93.49,98.8,99.93
50,50,,99.72,98.58,80.61,56.55,93.7,98.8,99.93
51,51,,99.72,98.58,80.82,57.54,93.91,98.8,99.93
52,52,,99.72,98.58,81.67,58.24,94.06,99.15,99.93
53,53,,99.72,98.66,82.17,59.16,94.34,99.15,99.93
54,54,,99.72,98.66,82.94,60.23,94.41,99.15,99.93
55,55,,99.72,98.73,83.51,61.22,94.41,99.22,99.93
56,56,,99.72,98.73,84.15,61.92,94.48,99.43,99.93
57,57,,99.72,98.73,84.5,62.63,94.55,99.43,99.93
58,58,,99.72,98.73,85.28,63.48,94.62,99.43,99.93
