,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,31.73,83.65,16.35,10.58,9.62,11.54,14.42,14.42
1,1,31.73,85.58,47.12,26.92,11.54,29.81,37.5,44.23
2,2,36.54,86.54,52.88,32.69,13.46,46.15,49.04,50.0
3,3,40.38,86.54,58.65,39.42,15.38,46.15,62.5,54.81
4,4,42.31,86.54,59.62,42.31,17.31,47.12,67.31,56.73
5,5,46.15,88.46,61.54,48.08,19.23,48.08,72.12,61.54
6,6,52.88,89.42,63.46,50.0,19.23,49.04,73.08,63.46
7,7,55.77,90.38,63.46,52.88,21.15,49.04,73.08,65.38
8,8,55.77,90.38,64.42,52.88,23.08,50.0,73.08,66.35
9,9,57.69,90.38,64.42,52.88,23.08,50.0,73.08,66.35
10,10,58.65,90.38,66.35,52.88,23.08,50.0,75.0,67.31
11,11,58.65,90.38,69.23,52.88,23.08,50.0,78.85,69.23
12,12,58.65,90.38,72.12,52.88,23.08,50.96,82.69,69.23
13,13,59.62,90.38,74.04,52.88,23.08,50.96,83.65,69.23
14,14,61.54,91.35,74.04,52.88,24.04,51.92,83.65,74.04
15,15,65.38,91.35,75.0,52.88,24.04,51.92,88.46,75.0
16,16,65.38,92.31,75.0,53.85,24.04,52.88,88.46,75.96
17,17,68.27,92.31,75.0,57.69,24.04,52.88,88.46,79.81
18,18,68.27,92.31,75.0,60.58,25.0,52.88,88.46,81.73
19,19,74.04,92.31,75.96,63.46,26.92,54.81,89.42,81.73
20,20,78.85,92.31,75.96,63.46,27.88,54.81,90.38,81.73
21,21,80.77,92.31,75.96,63.46,28.85,55.77,91.35,86.54
22,22,80.77,92.31,75.96,66.35,29.81,56.73,91.35,89.42
23,23,81.73,92.31,75.96,67.31,29.81,56.73,91.35,91.35
24,24,81.73,92.31,75.96,68.27,29.81,56.73,91.35,91.35
25,25,81.73,92.31,76.92,70.19,31.73,58.65,91.35,91.35
26,26,81.73,92.31,77.88,72.12,33.65,59.62,91.35,91.35
27,27,81.73,92.31,77.88,72.12,34.62,60.58,91.35,91.35
28,28,,92.31,77.88,75.0,35.58,62.5,91.35,91.35
29,29,,92.31,77.88,78.85,35.58,62.5,91.35,92.31
30,30,,93.27,77.88,79.81,35.58,62.5,92.31,94.23
31,31,,93.27,77.88,81.73,35.58,62.5,92.31,94.23
32,32,,93.27,77.88,84.62,36.54,62.5,92.31,94.23
33,33,,93.27,78.85,84.62,37.5,63.46,92.31,94.23
34,34,,93.27,78.85,84.62,37.5,63.46,92.31,94.23
35,35,,93.27,78.85,84.62,38.46,63.46,92.31,95.19
36,36,,93.27,78.85,84.62,38.46,63.46,92.31,96.15
37,37,,93.27,78.85,84.62,39.42,64.42,92.31,96.15
38,38,,93.27,78.85,85.58,39.42,64.42,92.31,96.15
39,39,,93.27,78.85,87.5,39.42,64.42,92.31,96.15
40,40,,94.23,78.85,87.5,41.35,66.35,92.31,96.15
41,41,,94.23,78.85,87.5,42.31,66.35,92.31,96.15
42,42,,95.19,79.81,87.5,42.31,66.35,92.31,96.15
43,43,,95.19,80.77,88.46,45.19,67.31,92.31,96.15
44,44,,95.19,80.77,88.46,47.12,68.27,92.31,96.15
45,45,,96.15,80.77,88.46,47.12,68.27,92.31,96.15
46,46,,96.15,80.77,88.46,47.12,68.27,92.31,96.15
47,47,,96.15,80.77,89.42,47.12,68.27,92.31,98.08
48,48,,96.15,80.77,89.42,47.12,68.27,92.31,98.08
49,49,,97.12,80.77,89.42,48.08,69.23,92.31,98.08
50,50,,97.12,80.77,89.42,49.04,70.19,92.31,98.08
51,51,,97.12,80.77,89.42,50.0,70.19,92.31,99.04
52,52,,97.12,80.77,89.42,50.96,71.15,92.31,99.04
53,53,,97.12,81.73,89.42,50.96,71.15,92.31,99.04
54,54,,97.12,82.69,89.42,53.85,72.12,92.31,99.04
55,55,,97.12,82.69,89.42,55.77,72.12,92.31,99.04
56,56,,97.12,83.65,91.35,58.65,75.0,92.31,99.04
57,57,,98.08,83.65,91.35,58.65,75.0,93.27,99.04
58,58,,98.08,85.58,92.31,60.58,76.92,96.15,99.04
59,59,,98.08,87.5,92.31,62.5,76.92,96.15,99.04
