,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,73.31,96.61,3.81,2.54,3.18,3.39,2.12,2.54
1,1,73.73,96.61,10.17,8.47,8.26,9.11,8.05,8.26
2,2,74.58,96.82,16.31,13.56,11.02,13.98,14.41,14.41
3,3,76.69,97.03,22.67,16.53,13.35,19.07,20.34,20.34
4,4,77.97,97.25,28.6,20.13,15.25,24.58,26.69,26.69
5,5,80.72,97.46,34.53,23.31,16.31,30.08,32.63,33.05
6,6,81.99,97.46,40.68,27.97,16.53,35.17,38.98,39.41
7,7,83.47,97.46,46.82,30.3,17.37,41.31,45.34,45.76
8,8,84.75,97.46,53.18,33.47,18.64,46.61,51.69,52.12
9,9,85.17,97.46,59.11,33.69,20.76,52.12,57.2,58.26
10,10,86.44,97.46,65.25,36.02,21.61,57.2,63.35,63.56
11,11,88.14,97.67,71.4,39.41,21.82,63.14,69.7,68.64
12,12,88.56,97.67,74.36,41.1,22.25,68.86,74.58,73.52
13,13,88.98,97.67,76.27,43.01,23.31,73.52,77.33,76.69
14,14,89.19,97.67,78.81,44.92,23.94,74.36,79.45,79.87
15,15,89.19,97.67,79.24,45.97,24.58,74.36,80.08,81.78
16,16,89.41,97.67,79.66,47.03,25.42,74.36,80.93,83.47
17,17,90.25,97.67,80.93,47.88,25.85,74.58,82.42,85.81
18,18,91.1,97.67,81.78,49.36,27.54,75.21,84.32,86.23
19,19,92.37,97.67,82.63,50.85,29.03,75.21,84.96,87.08
20,20,93.01,97.67,83.69,51.27,29.87,75.42,86.02,88.35
21,21,93.01,97.67,84.53,51.48,30.3,75.64,87.5,89.62
22,22,93.64,97.67,84.53,52.54,31.78,76.27,88.56,89.62
23,23,93.86,97.67,85.38,53.6,32.84,76.69,89.41,89.62
24,24,94.28,97.67,87.08,54.45,33.69,76.69,90.04,90.68
25,25,94.7,97.88,87.5,55.72,34.75,77.54,90.68,91.31
26,26,94.92,98.09,87.92,57.2,35.38,78.18,91.1,91.74
27,27,94.92,98.09,87.92,57.63,36.44,78.6,91.1,92.37
28,28,95.55,98.09,88.14,58.69,37.29,78.6,91.1,92.8
29,29,95.76,98.09,88.14,60.81,38.14,79.24,91.53,93.01
30,30,95.76,98.52,88.35,61.65,38.56,79.66,91.53,93.43
31,31,95.97,98.52,88.35,62.29,38.77,80.08,92.58,93.43
32,32,96.4,98.52,88.56,62.92,39.62,80.08,92.58,93.86
33,33,96.4,98.94,88.56,63.77,40.25,80.3,93.01,93.86
34,34,96.61,99.15,88.98,65.25,41.31,80.3,93.86,94.07
35,35,,99.15,89.19,66.31,42.37,80.51,93.86,94.28
36,36,,99.15,89.19,66.74,43.43,80.93,94.28,94.28
37,37,,99.15,89.62,67.8,43.86,81.14,94.28,94.7
38,38,,99.36,90.04,68.86,44.92,81.36,94.49,94.92
39,39,,99.36,90.04,70.34,45.76,82.2,95.13,94.92
40,40,,99.36,90.04,72.67,47.03,82.2,95.13,94.92
41,41,,99.58,90.04,73.94,48.52,82.42,95.13,94.92
42,42,,99.58,90.89,73.94,49.36,82.42,95.13,94.92
43,43,,99.58,90.89,74.58,51.06,82.84,95.13,94.92
44,44,,99.58,91.1,75.64,51.91,83.26,95.13,95.34
45,45,,99.79,91.1,76.48,52.54,84.11,95.13,95.34
46,46,,99.79,91.31,76.69,53.39,84.32,95.13,95.34
47,47,,99.79,91.53,76.69,53.39,84.32,95.13,95.34
48,48,,99.79,91.74,77.54,55.72,84.32,95.34,95.34
49,49,,99.79,91.74,78.6,56.57,84.32,95.55,95.76
50,50,,99.79,91.74,79.87,58.05,84.75,95.55,95.76
51,51,,100.0,92.37,80.51,58.47,85.59,95.76,95.76
52,52,,100.0,92.37,81.14,60.17,86.44,95.76,95.76
53,53,,100.0,92.58,81.78,60.59,87.29,95.76,95.76
54,54,,100.0,93.01,82.63,61.02,87.5,96.19,95.97
55,55,,,93.01,83.26,61.44,87.92,96.19,95.97
56,56,,,93.22,84.11,61.86,87.92,96.4,95.97
57,57,,,93.43,85.59,62.5,88.14,96.82,96.19
58,58,,,93.64,86.02,63.56,88.56,96.82,96.19
59,59,,,93.64,86.44,63.98,88.77,97.25,96.4
60,60,,,93.86,87.29,64.62,88.98,97.46,96.4
61,61,,,94.07,87.29,65.68,89.83,97.46,96.61
62,62,,,94.49,87.5,67.58,90.04,97.46,96.82
63,63,,,95.13,88.14,68.43,90.47,97.46,97.03
64,64,,,95.34,88.77,69.7,90.47,97.46,97.46
65,65,,,95.34,89.41,70.34,90.89,97.46,97.46
66,66,,,95.76,90.47,71.19,90.89,97.67,97.46
67,67,,,95.97,90.68,71.82,91.74,97.67,97.46
68,68,,,96.4,91.1,73.52,91.95,97.67,97.46
69,69,,,96.4,91.1,74.79,92.16,97.67,97.46
70,70,,,96.61,91.31,75.64,92.37,97.67,97.46
71,71,,,96.61,92.16,76.69,92.58,97.67,97.46
72,72,,,96.82,92.58,77.33,93.22,97.88,97.46
73,73,,,96.82,92.8,78.18,93.43,98.31,97.67
74,74,,,97.25,93.01,79.45,94.07,98.73,97.88
75,75,,,97.25,93.86,80.51,94.07,98.94,97.88
76,76,,,97.88,94.28,81.57,94.28,98.94,97.88
77,77,,,97.88,94.92,82.2,94.7,98.94,98.31
78,78,,,98.09,95.13,82.84,94.92,98.94,98.31
79,79,,,98.09,95.55,83.9,95.13,98.94,98.52
80,80,,,98.31,95.76,84.53,95.13,98.94,98.52
81,81,,,98.52,95.76,85.38,95.34,98.94,98.52
82,82,,,98.94,95.76,86.44,95.76,98.94,98.52
83,83,,,98.94,96.4,86.86,95.97,98.94,98.73
84,84,,,98.94,96.61,87.71,95.97,98.94,99.36
85,85,,,99.15,97.03,88.77,96.82,99.15,99.36
86,86,,,99.15,97.03,89.19,97.25,99.15,99.36
87,87,,,99.15,97.25,90.04,97.25,99.36,99.36
88,88,,,99.15,97.25,90.68,97.25,99.36,99.36
89,89,,,99.36,97.46,91.1,97.25,99.36,99.36
90,90,,,99.36,97.46,91.53,97.88,99.36,99.58
91,91,,,99.36,97.88,93.01,97.88,99.36,99.79
92,92,,,99.36,97.88,93.86,98.31,99.36,100.0
93,93,,,99.36,97.88,95.34,98.31,100.0,100.0
94,94,,,99.36,97.88,95.97,99.15,100.0,100.0
95,95,,,99.58,98.52,97.03,99.36,100.0,100.0
96,96,,,99.79,98.73,97.88,99.58,100.0,100.0
97,97,,,100.0,98.73,98.52,99.58,100.0,100.0
98,98,,,100.0,98.94,99.15,99.58,100.0,100.0
99,99,,,100.0,100.0,100.0,99.79,100.0,100.0
100,100,,,,,,,,100.0
