,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,88.91,98.87,4.66,2.89,2.25,4.34,2.73,2.41
1,1,89.23,98.87,11.9,8.84,6.75,11.09,10.61,10.45
2,2,89.71,99.04,19.77,13.99,10.45,17.68,18.65,17.68
3,3,89.87,99.2,27.65,18.97,11.25,24.44,26.69,25.4
4,4,90.68,99.36,35.69,22.99,12.38,31.51,34.41,33.44
5,5,91.16,99.36,41.8,25.72,12.86,37.3,40.35,39.71
6,6,91.32,99.36,49.52,30.06,13.67,44.21,47.75,47.11
7,7,92.93,99.36,57.4,38.1,14.79,51.29,53.86,54.66
8,8,93.73,99.36,64.95,43.09,16.24,57.88,59.65,62.06
9,9,94.21,99.36,72.51,45.82,17.36,65.59,66.08,69.45
10,10,94.86,99.36,79.58,49.52,18.17,72.67,72.99,76.53
11,11,95.5,99.36,87.46,52.57,19.94,79.58,79.26,83.12
12,12,95.82,99.36,91.0,55.31,20.74,86.66,85.21,88.42
13,13,96.14,99.36,93.25,56.91,21.54,89.07,89.23,91.48
14,14,96.78,99.36,94.37,59.16,22.99,89.07,91.16,93.41
15,15,97.11,99.36,94.53,61.25,23.79,89.07,92.6,94.21
16,16,97.59,99.36,94.69,62.38,25.4,89.23,94.21,94.69
17,17,97.59,99.36,95.02,63.18,26.53,89.39,94.69,95.34
18,18,97.75,99.36,95.82,63.18,27.17,89.55,95.18,95.82
19,19,97.75,99.52,96.14,63.18,28.3,89.71,95.66,96.3
20,20,98.07,99.52,96.62,63.18,29.1,89.87,96.46,96.46
21,21,98.39,99.52,96.78,63.18,30.23,89.87,96.95,97.11
22,22,98.39,99.52,96.78,64.47,30.39,89.87,97.27,97.43
23,23,98.39,99.52,96.78,65.59,31.19,90.19,97.43,97.43
24,24,98.87,99.68,96.78,67.04,32.15,90.35,97.43,97.43
25,25,98.87,99.68,96.95,69.13,33.76,90.35,97.91,97.43
26,26,98.87,99.68,96.95,70.74,34.24,90.51,98.07,97.59
27,27,98.87,99.68,96.95,71.22,35.37,90.68,98.07,97.75
28,28,,99.84,96.95,71.86,36.33,91.0,98.23,97.75
29,29,,99.84,96.95,72.99,37.46,91.16,98.23,98.07
30,30,,99.84,96.95,73.79,38.42,91.32,98.23,98.23
31,31,,99.84,97.11,74.6,39.07,91.48,98.39,98.39
32,32,,99.84,97.11,75.72,39.87,91.48,98.39,98.39
