,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7632.82
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.79
2,2,22.9,19.85,19.85,0.76,4.58,1.53,12.98,17.56,17.56,100.0
3,3,22.9,19.85,19.85,0.76,4.58,1.53,12.98,17.56,17.56,100.0
4,4,35.88,35.88,40.46,0.76,14.5,3.82,29.01,32.06,35.88,109.92
5,5,35.88,35.88,40.46,0.76,14.5,3.82,29.01,32.06,35.88,116.03
6,6,51.15,48.85,54.96,0.76,17.56,6.87,44.27,45.8,49.62,110.69
7,7,51.15,48.85,54.96,0.76,17.56,6.87,44.27,45.8,49.62,112.98
8,8,56.49,55.73,58.02,1.53,17.56,8.4,51.91,51.91,54.96,103.82
9,9,56.49,55.73,58.02,1.53,17.56,8.4,51.91,51.91,54.96,111.45
10,10,57.25,62.6,59.54,3.82,17.56,9.16,51.91,54.96,58.78,100.76
11,11,57.25,62.6,59.54,3.82,17.56,9.16,51.91,54.96,58.78,98.47
12,12,58.02,64.89,61.07,5.34,21.37,9.16,51.91,61.83,63.36,96.95
13,13,58.02,64.89,61.07,5.34,21.37,9.16,51.91,61.83,63.36,97.71
14,14,61.83,64.89,64.12,6.11,22.9,9.92,52.67,65.65,66.41,96.18
15,15,61.83,64.89,64.12,6.11,22.9,9.92,52.67,65.65,66.41,98.47
16,16,64.12,64.89,65.65,7.63,25.19,9.92,52.67,66.41,67.18,100.76
17,17,64.12,64.89,65.65,7.63,25.19,9.92,52.67,66.41,67.18,96.95
18,18,65.65,65.65,66.41,9.92,28.24,10.69,52.67,68.7,71.76,101.53
19,19,65.65,65.65,66.41,9.92,28.24,10.69,52.67,68.7,71.76,100.76
20,20,69.47,67.94,69.47,10.69,29.77,10.69,52.67,69.47,72.52,99.24
21,21,69.47,67.94,69.47,10.69,29.77,10.69,52.67,69.47,72.52,99.24
22,22,70.99,69.47,70.23,11.45,31.3,12.21,54.2,72.52,73.28,100.0
23,23,70.99,69.47,70.23,11.45,31.3,12.21,54.2,72.52,73.28,100.0
24,24,70.99,72.52,70.23,12.21,35.88,12.21,54.96,74.81,74.05,102.29
25,25,70.99,72.52,70.23,12.21,35.88,12.21,54.96,74.81,74.05,100.76
26,26,70.99,74.81,72.52,12.21,40.46,12.21,54.96,75.57,76.34,100.0
27,27,70.99,74.81,72.52,12.21,40.46,12.21,54.96,75.57,76.34,102.29
28,28,73.28,76.34,74.81,14.5,41.22,12.21,54.96,76.34,77.86,100.76
29,29,73.28,76.34,74.81,14.5,41.22,12.21,54.96,76.34,77.86,102.29
30,30,75.57,76.34,76.34,15.27,41.22,12.21,55.73,77.1,77.86,103.82
31,31,75.57,76.34,76.34,15.27,41.22,12.21,55.73,77.1,77.86,106.11
32,32,77.86,78.63,77.1,16.03,41.22,12.98,55.73,77.86,79.39,105.34
33,33,77.86,78.63,77.1,16.03,41.22,12.98,55.73,77.86,79.39,106.11
34,34,77.86,79.39,80.15,16.03,42.75,12.98,55.73,79.39,79.39,105.34
35,35,77.86,79.39,80.15,16.03,42.75,12.98,55.73,79.39,79.39,105.34
36,36,78.63,80.15,80.92,17.56,43.51,12.98,55.73,80.92,79.39,105.34
37,37,78.63,80.15,80.92,17.56,43.51,12.98,55.73,80.92,79.39,105.34
38,38,80.92,80.92,80.92,18.32,43.51,12.98,55.73,80.92,79.39,105.34
39,39,80.92,80.92,80.92,18.32,43.51,12.98,55.73,80.92,79.39,105.34
40,40,80.92,80.92,80.92,19.85,43.51,14.5,55.73,80.92,80.15,
41,41,80.92,80.92,80.92,19.85,43.51,14.5,55.73,80.92,80.15,
42,42,81.68,81.68,80.92,21.37,43.51,15.27,55.73,80.92,80.15,
43,43,81.68,81.68,80.92,21.37,43.51,15.27,55.73,80.92,80.15,
44,44,82.44,81.68,80.92,23.66,46.56,15.27,55.73,80.92,80.92,
45,45,82.44,81.68,80.92,23.66,46.56,15.27,55.73,80.92,80.92,
46,46,83.21,81.68,80.92,24.43,50.38,16.79,55.73,80.92,80.92,
47,47,83.21,81.68,80.92,24.43,50.38,16.79,55.73,80.92,80.92,
48,48,83.97,82.44,80.92,25.19,53.44,16.79,55.73,80.92,80.92,
49,49,83.97,82.44,80.92,25.19,53.44,16.79,55.73,80.92,80.92,
50,50,84.73,82.44,80.92,25.19,53.44,18.32,56.49,80.92,82.44,
51,51,84.73,82.44,80.92,25.19,53.44,18.32,56.49,80.92,82.44,
52,52,85.5,82.44,80.92,25.95,54.2,19.85,57.25,80.92,82.44,
53,53,85.5,82.44,80.92,25.95,54.2,19.85,57.25,80.92,82.44,
54,54,86.26,82.44,81.68,25.95,54.96,22.14,58.02,82.44,83.97,
55,55,86.26,82.44,81.68,25.95,54.96,22.14,58.02,82.44,83.97,
56,56,87.02,82.44,81.68,26.72,55.73,24.43,60.31,83.21,84.73,
57,57,87.02,82.44,81.68,26.72,55.73,24.43,60.31,83.21,84.73,
58,58,87.02,82.44,81.68,27.48,56.49,25.19,61.07,85.5,86.26,
59,59,87.02,82.44,81.68,27.48,56.49,25.19,61.07,85.5,86.26,
60,60,87.02,82.44,82.44,31.3,57.25,25.95,61.07,85.5,86.26,
61,61,87.02,82.44,82.44,31.3,57.25,25.95,61.07,85.5,86.26,
62,62,87.02,82.44,83.21,31.3,58.78,27.48,61.83,85.5,87.79,
