,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2673.53
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.51
2,2,0.0,12.03,12.57,1.07,9.89,8.02,9.36,5.88,12.03,145.99
3,3,0.0,12.03,12.57,1.07,9.89,8.02,9.36,5.88,12.03,155.88
4,4,0.0,30.75,31.82,2.41,19.79,15.24,24.06,26.47,27.27,139.84
5,5,74.33,30.75,31.82,2.41,19.79,15.24,24.06,26.47,27.27,126.74
6,6,74.33,48.13,47.86,2.67,28.07,20.86,38.5,47.33,47.59,160.43
7,7,75.4,48.13,47.86,2.67,28.07,20.86,38.5,47.33,47.59,138.5
8,8,75.4,66.84,66.84,3.48,32.62,20.86,53.74,66.31,66.31,114.17
9,9,76.47,66.84,66.84,3.48,32.62,20.86,53.74,66.31,66.31,100.8
10,10,76.47,76.2,76.2,4.28,35.29,21.93,69.25,74.87,74.06,100.0
11,11,79.41,76.2,76.2,4.28,35.29,21.93,69.25,74.87,74.06,96.52
12,12,79.41,79.68,79.14,5.35,40.91,23.26,74.06,76.74,75.67,98.4
13,13,81.02,79.68,79.14,5.35,40.91,23.26,74.06,76.74,75.67,107.75
14,14,81.02,81.82,83.16,5.88,43.32,24.33,74.06,77.81,77.01,105.61
15,15,81.82,81.82,83.16,5.88,43.32,24.33,74.06,77.81,77.01,103.74
16,16,81.82,82.09,84.49,6.68,45.45,24.6,74.33,79.95,79.14,102.41
17,17,82.62,82.09,84.49,6.68,45.45,24.6,74.33,79.95,79.14,102.41
18,18,82.62,83.96,85.03,7.22,46.26,25.13,74.87,81.28,81.28,104.81
19,19,85.83,83.96,85.03,7.22,46.26,25.13,74.87,81.28,81.28,103.21
20,20,85.83,84.22,86.1,7.75,50.53,25.94,75.4,83.16,82.89,103.21
21,21,86.36,84.22,86.1,7.75,50.53,25.94,75.4,83.16,82.89,102.41
22,22,86.36,84.76,86.36,8.82,52.41,27.54,75.94,83.96,83.96,101.87
23,23,86.63,84.76,86.36,8.82,52.41,27.54,75.94,83.96,83.96,101.87
24,24,86.63,86.36,86.36,9.63,57.22,28.34,76.2,85.29,86.63,100.8
25,25,86.63,86.36,86.36,9.63,57.22,28.34,76.2,85.29,86.63,100.27
26,26,86.63,88.5,88.24,10.43,59.36,29.14,76.74,86.63,87.43,102.67
27,27,89.84,88.5,88.24,10.43,59.36,29.14,76.74,86.63,87.43,104.28
28,28,89.84,88.5,90.11,11.5,62.83,29.95,77.01,87.17,87.7,104.01
29,29,90.11,88.5,90.11,11.5,62.83,29.95,77.01,87.17,87.7,105.88
30,30,90.11,88.5,90.64,12.3,64.97,30.21,77.01,87.7,88.77,106.42
31,31,90.64,88.5,90.64,12.3,64.97,30.21,77.01,87.7,88.77,105.61
32,32,90.64,88.77,90.64,13.1,66.84,31.02,77.01,88.5,89.3,105.35
33,33,91.18,88.77,90.64,13.1,66.84,31.02,77.01,88.5,89.3,105.08
34,34,91.18,88.77,90.64,13.64,69.25,31.55,77.01,90.37,90.11,105.35
35,35,91.44,88.77,90.64,13.64,69.25,31.55,77.01,90.37,90.11,104.55
36,36,91.44,88.77,90.64,14.17,71.93,32.62,77.01,90.37,90.91,104.55
37,37,91.98,88.77,90.64,14.17,71.93,32.62,77.01,90.37,90.91,104.81
38,38,91.98,88.77,91.18,15.51,72.99,34.49,77.54,90.64,91.44,104.55
39,39,92.25,88.77,91.18,15.51,72.99,34.49,77.54,90.64,91.44,104.01
40,40,92.25,88.77,91.18,16.04,73.26,35.29,78.07,90.64,91.71,103.74
