,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.64
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.65
2,2,0.0,2.97,2.83,0.5,1.7,1.7,2.9,2.34,1.34,147.42
3,3,0.0,2.97,2.83,0.5,1.7,1.7,2.9,2.34,1.34,122.51
4,4,0.0,8.63,8.63,1.27,6.23,7.86,8.56,6.72,7.08,112.03
5,5,0.0,8.63,8.63,1.27,6.23,7.86,8.56,6.72,7.08,107.93
6,6,0.0,13.8,14.15,1.84,10.69,12.81,13.66,11.25,11.68,103.96
7,7,0.0,13.8,14.15,1.84,10.69,12.81,13.66,11.25,11.68,101.77
8,8,0.0,19.82,19.96,2.83,14.65,15.29,19.11,17.13,18.05,100.64
9,9,0.0,19.82,19.96,2.83,14.65,15.29,19.11,17.13,18.05,100.42
10,10,0.0,25.12,25.48,3.82,17.48,17.34,24.13,22.43,23.57,100.71
11,11,0.0,25.12,25.48,3.82,17.48,17.34,24.13,22.43,23.57,99.5
12,12,0.0,30.43,30.93,4.81,20.31,18.19,29.65,28.03,28.87,98.8
13,13,0.0,30.43,30.93,4.81,20.31,18.19,29.65,28.03,28.87,100.0
14,14,0.0,36.66,36.94,6.16,23.35,19.18,35.6,33.69,34.96,112.53
15,15,0.0,36.66,36.94,6.16,23.35,19.18,35.6,33.69,34.96,118.12
16,16,87.69,42.25,42.32,6.79,26.04,19.96,40.48,39.35,40.84,119.53
17,17,87.69,42.25,42.32,6.79,26.04,19.96,40.48,39.35,40.84,116.42
18,18,88.11,48.55,48.69,8.0,27.67,20.74,46.28,45.51,46.99,116.49
19,19,88.11,48.55,48.69,8.0,27.67,20.74,46.28,45.51,46.99,116.91
20,20,89.1,53.93,54.07,9.34,27.67,21.66,52.02,51.24,52.3,116.84
21,21,89.1,53.93,54.07,9.34,27.67,21.66,52.02,51.24,52.3,112.31
22,22,89.95,60.23,59.8,10.12,30.15,21.94,57.82,57.47,58.24,112.1
23,23,89.95,60.23,59.8,10.12,30.15,21.94,57.82,57.47,58.24,116.91
24,24,90.3,65.75,65.46,10.97,32.13,22.72,63.06,63.2,63.91,115.29
25,25,90.3,65.75,65.46,10.97,32.13,22.72,63.06,63.2,63.91,114.01
26,26,91.3,71.83,71.76,12.03,35.53,23.85,68.79,69.99,70.42,112.1
27,27,91.3,71.83,71.76,12.03,35.53,23.85,68.79,69.99,70.42,110.33
28,28,91.51,77.35,77.42,13.09,37.72,24.35,73.89,75.94,75.73,
29,29,91.51,77.35,77.42,13.09,37.72,24.35,73.89,75.94,75.73,
30,30,91.72,83.58,83.79,14.01,39.7,25.55,79.48,82.59,81.88,
31,31,91.72,83.58,83.79,14.01,39.7,25.55,79.48,82.59,81.88,
32,32,92.07,88.39,88.39,14.93,41.19,26.19,84.43,87.4,86.77,
33,33,92.07,88.39,88.39,14.93,41.19,26.19,84.43,87.4,86.77,
34,34,92.71,89.6,89.67,15.57,43.67,27.25,90.38,90.3,89.53,
35,35,92.71,89.6,89.67,15.57,43.67,27.25,90.38,90.3,89.53,
36,36,93.28,90.66,90.66,16.63,48.83,28.1,90.8,91.08,91.08,
37,37,93.28,90.66,90.66,16.63,48.83,28.1,90.8,91.08,91.08,
38,38,93.35,91.37,91.44,17.34,50.74,28.52,90.87,91.86,91.72,
39,39,93.35,91.37,91.44,17.34,50.74,28.52,90.87,91.86,91.72,
40,40,93.42,92.71,92.71,18.61,52.37,29.44,90.87,92.14,92.64,
41,41,93.42,92.71,92.71,18.61,52.37,29.44,90.87,92.14,92.64,
42,42,93.63,93.77,93.56,19.53,53.15,30.29,91.01,92.43,92.92,
43,43,93.63,93.77,93.56,19.53,53.15,30.29,91.01,92.43,92.92,
44,44,93.84,94.69,94.34,20.59,54.71,31.07,91.01,92.5,93.28,
45,45,93.84,94.69,94.34,20.59,54.71,31.07,91.01,92.5,93.28,
46,46,94.06,95.61,95.54,21.73,56.48,32.13,91.08,92.57,95.12,
47,47,94.06,95.61,95.54,21.73,56.48,32.13,91.08,92.57,95.12,
48,48,94.41,96.74,96.32,23.07,58.53,33.19,91.15,92.78,98.23,
49,49,94.41,96.74,96.32,23.07,58.53,33.19,91.15,92.78,98.23,
50,50,94.41,97.38,96.82,24.35,60.08,34.11,91.22,92.92,98.51,
51,51,94.41,97.38,96.82,24.35,60.08,34.11,91.22,92.92,98.51,
52,52,94.55,97.52,97.38,25.48,61.22,35.1,91.3,92.99,98.51,
53,53,94.55,97.52,97.38,25.48,61.22,35.1,91.3,92.99,98.51,
54,54,94.76,97.52,97.38,26.4,62.49,35.88,91.44,93.06,98.58,
55,55,94.76,97.52,97.38,26.4,62.49,35.88,91.44,93.06,98.58,
56,56,94.76,97.59,97.45,26.75,63.84,36.66,91.58,93.06,98.66,
57,57,94.76,97.59,97.45,26.75,63.84,36.66,91.58,93.06,98.66,
58,58,94.9,97.59,97.52,28.03,64.54,37.44,91.79,93.06,98.73,
59,59,94.9,97.59,97.52,28.03,64.54,37.44,91.79,93.06,98.73,
60,60,97.31,97.66,97.52,29.09,64.54,38.29,91.93,93.06,98.8,
61,61,97.31,97.66,97.52,29.09,64.54,38.29,91.93,93.06,98.8,
62,62,99.65,97.74,97.52,30.57,65.39,39.42,92.14,93.06,98.94,
63,63,99.65,97.74,97.52,30.57,65.39,39.42,92.14,93.06,98.94,
64,64,99.65,97.74,97.66,31.71,66.81,40.41,92.29,93.49,98.94,
65,65,99.65,97.74,97.66,31.71,66.81,40.41,92.29,93.49,98.94,
66,66,99.65,97.81,97.66,32.84,67.87,40.76,92.36,93.63,99.01,
67,67,99.65,97.81,97.66,32.84,67.87,40.76,92.36,93.63,99.01,
68,68,99.65,97.95,97.66,33.55,69.0,41.97,92.5,93.7,99.01,
69,69,99.65,97.95,97.66,33.55,69.0,41.97,92.5,93.7,99.01,
70,70,99.65,97.95,97.81,34.47,70.21,42.96,92.57,93.7,99.01,
71,71,,97.95,97.81,34.47,70.21,42.96,92.57,93.7,99.01,
72,72,,98.02,97.81,34.96,70.63,43.24,92.92,93.7,99.01,
73,73,,98.02,97.81,34.96,70.63,43.24,92.92,93.7,99.01,
74,74,,98.02,97.88,35.95,71.62,44.3,92.92,93.7,99.01,
75,75,,98.02,97.88,35.95,71.62,44.3,92.92,93.7,99.01,
76,76,,98.09,97.88,36.87,72.12,45.08,93.06,93.84,99.22,
77,77,,98.09,97.88,36.87,72.12,45.08,93.06,93.84,99.22,
78,78,,98.09,97.88,38.0,73.25,45.58,93.14,93.91,99.29,
79,79,,98.09,97.88,38.0,73.25,45.58,93.14,93.91,99.29,
80,80,,98.09,97.95,38.92,74.81,46.5,93.21,93.98,99.36,
81,81,,98.09,97.95,38.92,74.81,46.5,93.21,93.98,99.36,
82,82,,98.23,98.02,39.7,75.37,47.35,93.28,93.98,99.36,
83,83,,98.23,98.02,39.7,75.37,47.35,93.28,93.98,99.36,
84,84,,98.23,98.02,41.12,76.22,47.98,93.42,94.06,99.36,
85,85,,98.23,98.02,41.12,76.22,47.98,93.42,94.06,99.36,
86,86,,98.23,98.02,41.97,77.42,48.9,93.49,96.6,99.36,
87,87,,98.23,98.02,41.97,77.42,48.9,93.49,96.6,99.36,
88,88,,98.23,98.02,43.17,78.2,50.11,93.63,98.8,99.5,
89,89,,98.23,98.02,43.17,78.2,50.11,93.63,98.8,99.5,
90,90,,98.23,98.16,43.81,78.27,51.1,93.63,98.8,99.5,
91,91,,98.23,98.16,43.81,78.27,51.1,93.63,98.8,99.5,
92,92,,98.3,98.23,44.66,78.91,52.02,93.77,98.8,99.65,
93,93,,98.3,98.23,44.66,78.91,52.02,93.77,98.8,99.65,
94,94,,98.3,98.3,45.44,79.41,52.72,93.84,98.8,99.93,
95,95,,98.3,98.3,45.44,79.41,52.72,93.84,98.8,99.93,
96,96,,98.3,98.3,46.57,79.69,53.79,93.84,98.94,99.93,
97,97,,98.3,98.3,46.57,79.69,53.79,93.84,98.94,99.93,
98,98,,98.3,98.3,48.05,79.76,54.99,93.91,98.94,99.93,
99,99,,98.3,98.3,48.05,79.76,54.99,93.91,98.94,99.93,
100,100,,98.3,98.3,49.04,80.11,55.48,94.13,98.94,99.93,
