,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4901.47
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.96
2,2,0.0,19.12,19.12,0.98,15.2,16.18,16.67,17.65,16.67,215.69
3,3,0.0,19.12,19.12,0.98,15.2,16.18,16.67,17.65,16.67,207.84
4,4,84.31,47.55,47.55,2.45,34.31,22.55,39.22,43.63,45.59,186.27
5,5,84.31,47.55,47.55,2.45,34.31,22.55,39.22,43.63,45.59,177.94
6,6,86.76,77.94,77.94,3.92,44.61,25.0,68.14,75.98,73.04,166.18
7,7,86.76,77.94,77.94,3.92,44.61,25.0,68.14,75.98,73.04,158.82
8,8,87.25,90.69,91.18,4.9,49.02,26.47,90.2,87.75,91.67,140.2
9,9,87.25,90.69,91.18,4.9,49.02,26.47,90.2,87.75,91.67,133.33
10,10,89.71,90.69,92.65,4.9,52.94,27.94,90.69,96.08,96.57,128.43
11,11,89.71,90.69,92.65,4.9,52.94,27.94,90.69,,96.57,120.1
12,12,92.16,91.18,93.14,5.39,59.31,28.43,90.69,,96.57,115.69
13,13,92.16,91.18,93.14,5.39,59.31,28.43,90.69,,96.57,118.63
14,14,92.65,91.67,93.63,6.86,60.78,29.41,90.69,,96.57,115.69
15,15,92.65,91.67,93.63,6.86,60.78,29.41,90.69,,96.57,115.2
16,16,95.1,92.65,94.12,7.84,64.22,29.9,90.69,,96.57,113.73
17,17,95.1,92.65,94.12,7.84,64.22,29.9,90.69,,97.06,113.73
18,18,95.1,93.63,94.12,8.82,67.16,31.86,90.69,,,
19,19,95.1,93.63,94.12,8.82,67.16,31.86,90.69,,,
20,20,95.59,94.12,94.61,9.8,69.61,33.33,90.69,,,
21,21,95.59,94.12,94.61,9.8,69.61,33.33,90.69,,,
22,22,95.59,94.12,95.1,9.8,69.61,34.31,90.69,,,
23,23,95.59,94.12,95.1,9.8,69.61,34.31,90.69,,,
24,24,95.59,94.61,95.1,11.76,69.61,35.78,90.69,,,
25,25,95.59,94.61,95.1,11.76,69.61,35.78,90.69,,,
26,26,95.59,94.61,95.59,12.75,69.61,35.78,90.69,,,
