,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9614.42
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.69
2,2,31.73,16.35,16.35,0.0,10.58,9.62,14.42,14.42,14.42,148.08
3,3,31.73,16.35,16.35,0.0,10.58,9.62,14.42,14.42,14.42,146.15
4,4,31.73,45.19,42.31,0.96,26.92,11.54,28.85,37.5,44.23,114.42
5,5,31.73,45.19,42.31,0.96,26.92,11.54,28.85,37.5,44.23,108.65
6,6,41.35,49.04,54.81,0.96,32.69,13.46,49.04,49.04,50.0,118.27
7,7,41.35,49.04,54.81,0.96,32.69,13.46,49.04,49.04,50.0,117.31
8,8,42.31,55.77,63.46,2.88,39.42,15.38,50.0,60.58,54.81,130.77
9,9,42.31,55.77,63.46,2.88,39.42,15.38,50.0,60.58,54.81,115.38
10,10,44.23,55.77,63.46,3.85,42.31,17.31,50.96,65.38,56.73,121.15
11,11,44.23,55.77,63.46,3.85,42.31,17.31,50.96,65.38,56.73,114.42
12,12,45.19,57.69,65.38,3.85,48.08,19.23,50.96,73.08,61.54,115.38
13,13,45.19,57.69,65.38,3.85,48.08,19.23,50.96,73.08,61.54,117.31
14,14,46.15,57.69,66.35,4.81,50.0,19.23,51.92,73.08,63.46,123.08
15,15,46.15,57.69,66.35,4.81,50.0,19.23,51.92,73.08,63.46,125.96
16,16,51.92,58.65,67.31,5.77,52.88,21.15,52.88,75.0,65.38,128.85
17,17,51.92,58.65,67.31,5.77,52.88,21.15,52.88,75.0,65.38,123.08
18,18,51.92,60.58,67.31,7.69,52.88,23.08,52.88,76.92,66.35,123.08
19,19,51.92,60.58,67.31,7.69,52.88,23.08,52.88,76.92,66.35,120.19
20,20,57.69,60.58,68.27,7.69,52.88,23.08,52.88,81.73,66.35,122.12
21,21,57.69,60.58,68.27,7.69,52.88,23.08,52.88,81.73,66.35,122.12
22,22,61.54,62.5,70.19,9.62,52.88,23.08,52.88,82.69,67.31,123.08
23,23,61.54,62.5,70.19,9.62,52.88,23.08,52.88,82.69,67.31,122.12
24,24,62.5,64.42,72.12,9.62,52.88,23.08,52.88,82.69,69.23,125.0
25,25,62.5,64.42,72.12,9.62,52.88,23.08,52.88,,69.23,126.92
26,26,65.38,66.35,75.0,10.58,52.88,23.08,52.88,,69.23,125.0
27,27,65.38,66.35,75.0,10.58,52.88,23.08,52.88,,69.23,130.77
