,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118.43
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.53
2,2,0.0,4.03,4.03,0.85,2.54,3.18,4.24,2.12,2.54,262.92
3,3,0.0,4.03,4.03,0.85,2.54,3.18,4.24,2.12,2.54,143.43
4,4,0.0,9.75,10.17,1.91,8.47,8.26,9.53,8.05,8.26,142.8
5,5,0.0,9.75,10.17,1.91,8.47,8.26,9.53,8.05,8.26,137.29
6,6,0.0,16.1,16.31,3.39,13.56,11.02,14.83,14.41,14.41,136.23
7,7,0.0,16.1,16.31,3.39,13.56,11.02,14.83,14.41,14.41,134.96
8,8,0.0,22.25,22.46,4.03,16.53,13.35,19.7,20.34,20.34,132.2
9,9,0.0,22.25,22.46,4.03,16.53,13.35,19.7,20.34,20.34,131.57
10,10,0.0,28.18,28.81,4.87,20.13,15.25,25.42,26.69,26.69,130.93
11,11,0.0,28.18,28.81,4.87,20.13,15.25,25.42,26.69,26.69,129.03
12,12,0.0,34.53,34.75,6.99,23.31,16.31,31.57,32.63,33.05,127.12
13,13,73.31,34.53,34.75,6.99,23.31,16.31,31.57,32.63,33.05,124.36
14,14,73.31,40.68,40.68,8.05,27.97,16.53,36.86,38.98,39.41,121.82
15,15,73.73,40.68,40.68,8.05,27.97,16.53,36.86,38.98,39.41,118.43
16,16,73.73,46.82,47.03,8.9,30.3,17.37,42.8,45.34,45.76,115.68
17,17,74.58,46.82,47.03,8.9,30.3,17.37,42.8,45.34,45.76,123.73
18,18,74.58,52.97,52.97,9.75,33.47,18.64,48.31,51.69,52.12,122.03
19,19,75.85,52.97,52.97,9.75,33.47,18.64,48.31,51.69,52.12,118.86
20,20,75.85,59.32,59.32,10.17,33.69,20.76,54.45,57.2,58.26,116.31
21,21,78.81,59.32,59.32,10.17,33.69,20.76,54.45,57.2,58.26,114.19
22,22,78.81,65.68,65.47,11.86,36.02,21.61,60.38,63.35,63.56,112.71
23,23,79.87,65.68,65.47,11.86,36.02,21.61,60.38,63.35,63.56,110.59
24,24,79.87,71.61,71.4,13.14,39.41,21.82,65.89,69.7,68.64,108.26
25,25,81.14,71.61,71.4,13.14,39.41,21.82,65.89,69.7,68.64,108.26
26,26,81.14,75.64,75.21,13.98,41.1,22.25,71.61,74.58,73.52,106.99
27,27,82.2,75.64,75.21,13.98,41.1,22.25,71.61,74.58,73.52,106.99
28,28,82.2,77.12,76.48,14.83,43.01,23.31,74.36,77.33,76.69,107.2
29,29,83.47,77.12,76.48,14.83,43.01,23.31,74.36,77.33,76.69,105.93
30,30,83.47,78.6,78.39,15.89,44.92,23.94,74.58,79.24,79.87,105.72
31,31,84.32,78.6,78.39,15.89,44.92,23.94,74.58,79.24,79.87,104.66
32,32,84.32,79.24,79.03,17.37,45.97,24.58,74.79,80.51,81.78,104.24
33,33,86.23,79.24,79.03,17.37,45.97,24.58,74.79,80.51,81.78,103.81
34,34,86.23,80.3,79.03,18.43,47.03,25.42,75.0,81.36,83.47,103.81
35,35,87.71,80.3,79.03,18.43,47.03,25.42,75.0,81.36,83.47,103.18
36,36,87.71,81.14,79.66,18.86,47.88,25.85,75.64,82.2,85.81,102.97
37,37,88.14,81.14,79.66,18.86,47.88,25.85,75.64,82.2,85.81,102.12
38,38,88.14,81.57,80.3,20.13,49.36,27.54,76.27,84.32,86.23,101.91
39,39,88.35,81.57,80.3,20.13,49.36,27.54,76.27,84.32,86.23,101.06
40,40,88.35,81.99,81.99,21.4,50.85,29.03,76.91,85.38,87.08,100.85
41,41,88.56,81.99,81.99,21.4,50.85,29.03,76.91,85.38,87.08,
42,42,88.56,82.42,83.47,22.25,51.27,29.87,77.75,86.02,88.35,
43,43,88.56,82.42,83.47,22.25,51.27,29.87,77.75,86.02,88.35,
44,44,88.56,83.47,83.9,23.09,51.48,30.3,78.18,86.44,89.62,
45,45,88.98,83.47,83.9,23.09,51.48,30.3,78.18,86.44,89.62,
46,46,88.98,83.69,85.17,23.73,52.54,31.78,78.39,88.14,89.62,
47,47,90.47,83.69,85.17,23.73,52.54,31.78,78.39,88.14,89.62,
48,48,90.47,84.96,85.81,25.42,53.6,32.84,78.6,88.35,89.83,
49,49,90.89,84.96,85.81,25.42,53.6,32.84,78.6,88.35,89.83,
50,50,90.89,86.23,86.23,26.91,54.45,33.69,78.6,90.04,90.68,
51,51,92.37,86.23,86.23,26.91,54.45,33.69,78.6,90.04,90.68,
52,52,92.37,86.44,86.44,28.39,55.72,34.75,78.81,90.68,91.31,
53,53,92.8,86.44,86.44,28.39,55.72,34.75,78.81,90.68,91.31,
54,54,92.8,86.65,86.44,29.45,57.2,35.38,79.03,91.31,91.74,
55,55,93.01,86.65,86.44,29.45,57.2,35.38,79.03,91.31,91.74,
56,56,93.01,87.5,86.44,30.3,57.63,36.44,79.24,91.31,92.37,
57,57,93.22,87.5,86.44,30.3,57.63,36.44,79.24,91.31,92.37,
58,58,93.22,87.5,87.29,31.14,58.69,37.29,79.45,91.53,92.8,
59,59,93.22,87.5,87.29,31.14,58.69,37.29,79.45,91.53,92.8,
60,60,93.22,87.5,87.29,32.63,60.81,38.14,79.66,91.74,93.01,
61,61,94.07,87.5,87.29,32.63,60.81,38.14,79.66,91.74,93.01,
62,62,94.07,87.71,87.5,34.11,61.65,38.56,80.51,91.74,93.43,
63,63,94.28,87.71,87.5,34.11,61.65,38.56,80.51,91.74,93.43,
64,64,94.28,88.35,87.71,34.75,62.29,38.77,80.51,92.16,93.43,
65,65,94.7,88.35,87.71,34.75,62.29,38.77,80.51,92.16,93.43,
66,66,94.7,88.56,88.56,35.17,62.92,39.62,80.51,93.01,93.86,
67,67,95.76,88.56,88.56,35.17,62.92,39.62,80.51,93.01,93.86,
68,68,95.76,88.56,88.56,36.02,63.77,40.25,80.72,93.43,93.86,
69,69,95.97,88.56,88.56,36.02,63.77,40.25,80.72,93.43,93.86,
70,70,95.97,88.77,88.56,36.44,65.25,41.31,80.72,93.86,93.86,
71,71,96.19,88.77,88.56,36.44,65.25,41.31,80.72,93.86,93.86,
72,72,96.19,88.98,88.77,37.5,66.31,42.37,80.93,93.86,94.28,
73,73,96.19,88.98,88.77,37.5,66.31,42.37,80.93,93.86,94.28,
