,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4784.21
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.7
2,2,0.0,13.4,12.92,0.96,10.05,11.0,10.53,12.92,11.48,122.01
3,3,0.0,13.4,12.92,0.96,10.05,11.0,10.53,12.92,11.48,97.13
4,4,46.41,31.58,31.58,1.91,19.14,13.4,21.05,29.19,25.84,100.96
5,5,46.41,31.58,31.58,1.91,19.14,13.4,21.05,29.19,25.84,86.6
6,6,47.85,44.02,43.06,2.87,20.1,17.22,38.28,40.19,37.32,86.6
7,7,47.85,44.02,43.06,2.87,20.1,17.22,38.28,40.19,37.32,92.82
8,8,47.85,49.28,50.24,4.31,22.49,19.14,47.37,49.76,50.24,76.56
9,9,47.85,49.28,50.24,4.31,22.49,19.14,47.37,49.76,50.24,80.86
10,10,47.85,52.63,51.67,4.78,25.36,21.05,48.33,55.5,55.02,75.6
11,11,47.85,52.63,51.67,4.78,25.36,21.05,48.33,55.5,55.02,75.6
12,12,48.33,54.07,53.11,7.18,27.27,21.53,49.76,58.85,56.94,74.16
13,13,48.33,54.07,53.11,7.18,27.27,21.53,49.76,58.85,56.94,78.47
14,14,49.76,55.5,54.55,8.13,28.23,21.53,49.76,60.29,58.85,80.86
15,15,49.76,55.5,54.55,8.13,28.23,21.53,49.76,60.29,58.85,78.95
16,16,52.15,56.46,56.46,9.09,30.14,22.01,49.76,60.29,59.33,77.99
17,17,52.15,56.46,56.46,9.09,30.14,22.01,49.76,60.29,59.33,78.95
18,18,56.94,57.89,57.89,9.57,33.49,22.97,49.76,60.29,61.24,79.9
19,19,56.94,57.89,57.89,9.57,33.49,22.97,49.76,60.29,61.24,78.47
20,20,57.42,59.33,59.33,9.57,33.97,22.97,49.76,60.29,62.2,78.95
21,21,57.42,59.33,59.33,9.57,33.97,22.97,49.76,60.29,62.2,78.95
22,22,58.37,60.77,60.29,10.53,33.97,23.44,50.24,60.29,62.68,79.43
23,23,58.37,60.77,60.29,10.53,33.97,23.44,50.24,60.29,62.68,94.74
24,24,60.29,61.72,60.77,11.0,34.93,23.92,50.72,60.29,62.68,102.39
25,25,60.29,61.72,60.77,11.0,34.93,23.92,50.72,60.29,62.68,102.87
26,26,61.24,62.2,60.77,11.48,36.84,25.36,51.2,60.77,63.16,105.74
27,27,61.24,62.2,60.77,11.48,36.84,25.36,51.2,60.77,63.16,104.78
28,28,62.2,62.2,61.24,12.44,37.8,25.36,51.2,60.77,65.07,105.26
29,29,62.2,62.2,61.24,12.44,37.8,25.36,51.2,60.77,65.07,104.78
