,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607.56
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.01
2,2,0.0,4.82,4.5,1.29,2.89,2.25,4.5,2.73,2.41,200.32
3,3,0.0,4.82,4.5,1.29,2.89,2.25,4.5,2.73,2.41,136.33
4,4,0.0,12.54,12.06,2.73,8.84,6.75,11.41,10.61,10.45,135.53
5,5,0.0,12.54,12.06,2.73,8.84,6.75,11.41,10.61,10.45,133.12
6,6,0.0,19.94,19.61,3.86,13.99,10.45,18.33,18.65,17.68,131.51
7,7,0.0,19.94,19.61,3.86,13.99,10.45,18.33,18.65,17.68,130.71
8,8,0.0,27.65,27.49,4.5,18.97,11.25,25.24,26.69,25.4,128.94
9,9,0.0,27.65,27.49,4.5,18.97,11.25,25.24,26.69,25.4,124.6
10,10,0.0,35.21,35.37,5.95,22.99,12.38,31.67,34.41,33.44,123.95
11,11,0.0,35.21,35.37,5.95,22.99,12.38,31.67,34.41,33.44,121.38
12,12,0.0,41.16,41.32,7.07,25.72,12.86,37.94,40.35,39.71,118.97
13,13,88.75,41.16,41.32,7.07,25.72,12.86,37.94,40.35,39.71,130.23
14,14,88.75,49.2,49.2,7.72,30.06,13.67,44.37,47.75,47.11,128.3
15,15,89.23,49.2,49.2,7.72,30.06,13.67,44.37,47.75,47.11,127.81
16,16,89.23,57.23,57.23,8.2,38.1,14.79,50.96,53.86,54.66,122.03
17,17,89.39,57.23,57.23,8.2,38.1,14.79,50.96,53.86,54.66,120.58
18,18,89.39,65.11,65.27,9.65,42.93,16.24,57.07,59.49,62.06,117.85
19,19,89.87,65.11,65.27,9.65,42.93,16.24,57.07,59.49,62.06,115.76
20,20,89.87,72.83,72.67,10.13,45.82,17.36,64.15,66.08,69.45,113.67
21,21,90.84,72.83,72.67,10.13,45.82,17.36,64.15,66.08,69.45,112.38
22,22,90.84,80.39,80.23,10.77,49.52,18.17,71.06,72.99,76.37,112.06
23,23,92.28,80.39,80.23,10.77,49.52,18.17,71.06,72.99,76.37,109.65
24,24,92.28,87.46,87.62,12.06,52.57,19.94,78.46,79.26,83.12,108.36
25,25,92.77,87.46,87.62,12.06,52.57,19.94,78.46,79.26,83.12,107.07
26,26,92.77,91.16,91.16,12.7,55.31,20.74,84.89,84.89,88.42,105.95
27,27,93.57,91.16,91.16,12.7,55.31,20.74,84.89,84.89,88.42,105.31
28,28,93.57,93.09,92.44,13.34,56.91,21.54,89.39,89.07,91.48,104.82
29,29,94.21,93.09,92.44,13.34,56.91,21.54,89.39,89.07,91.48,104.5
30,30,94.21,93.57,93.25,14.63,59.16,22.99,89.71,91.96,93.41,104.02
31,31,94.53,93.57,93.25,14.63,59.16,22.99,89.71,91.96,93.41,104.02
32,32,94.53,93.73,93.73,15.27,61.25,23.79,90.03,92.44,94.21,103.7
33,33,95.5,93.73,93.73,15.27,61.25,23.79,90.03,92.44,94.21,103.38
34,34,95.5,94.69,94.05,16.4,62.7,25.4,90.03,94.53,94.69,
35,35,95.82,94.69,94.05,16.4,62.7,25.4,90.03,94.53,94.69,
36,36,95.82,95.18,94.37,17.68,63.18,26.53,90.19,95.02,95.34,
37,37,96.46,95.18,94.37,17.68,63.18,26.53,90.19,95.02,95.34,
38,38,96.46,95.66,95.02,18.65,63.18,27.17,90.35,95.18,95.82,
39,39,96.62,95.66,95.02,18.65,63.18,27.17,90.35,95.18,95.82,
40,40,96.62,95.98,95.82,19.61,63.18,28.3,90.51,95.66,96.3,
41,41,96.78,95.98,95.82,19.61,63.18,28.3,90.51,95.66,96.3,
42,42,96.78,96.3,96.14,20.9,63.18,29.1,90.84,95.82,96.46,
43,43,97.43,96.3,96.14,20.9,63.18,29.1,90.84,95.82,96.46,
44,44,97.43,96.78,96.62,22.19,63.18,30.23,90.84,96.78,97.11,
45,45,97.75,96.78,96.62,22.19,63.18,30.23,90.84,96.78,97.11,
46,46,97.75,96.95,96.95,22.83,64.47,30.39,91.16,97.27,97.43,
47,47,97.75,96.95,96.95,22.83,64.47,30.39,91.16,97.27,97.43,
48,48,97.75,96.95,96.95,23.79,65.59,31.19,91.16,97.43,97.43,
49,49,97.91,96.95,96.95,23.79,65.59,31.19,91.16,97.43,97.43,
50,50,97.91,97.11,97.11,24.12,67.04,32.15,91.32,97.75,97.43,
51,51,98.23,97.11,97.11,24.12,67.04,32.15,91.32,97.75,97.43,
52,52,98.23,97.11,97.11,24.76,69.13,33.76,91.32,98.07,97.43,
53,53,98.23,97.11,97.11,24.76,69.13,33.76,91.32,98.07,97.43,
54,54,98.23,97.11,97.11,26.05,70.74,34.24,91.48,98.07,97.59,
55,55,98.55,97.11,97.11,26.05,70.74,34.24,91.48,98.07,97.59,
56,56,98.55,97.11,97.11,27.65,71.22,35.37,91.48,98.23,97.75,
57,57,98.71,97.11,97.11,27.65,71.22,35.37,91.48,98.23,97.75,
58,58,98.71,97.11,97.11,28.62,71.86,36.33,91.48,98.23,97.75,
59,59,98.71,97.11,97.11,28.62,71.86,36.33,91.48,98.23,97.75,
60,60,98.71,97.11,97.11,29.1,72.99,37.46,91.64,98.23,98.07,
61,61,98.87,97.11,97.11,29.1,72.99,37.46,91.64,98.23,98.07,
62,62,98.87,97.11,97.11,30.55,73.79,38.42,91.64,98.23,98.23,
63,63,99.04,97.11,97.11,30.55,73.79,38.42,91.64,98.23,98.23,
64,64,99.04,97.27,97.11,31.83,74.6,39.07,91.8,98.23,98.39,
65,65,99.04,97.27,97.11,31.83,74.6,39.07,91.8,98.23,98.39,
66,66,99.04,97.27,97.27,32.96,75.72,39.87,92.12,98.23,98.39,
67,67,99.2,97.27,97.27,32.96,75.72,39.87,92.12,98.23,98.39,
68,68,99.2,97.27,97.27,33.6,77.17,40.51,92.12,98.23,98.39,
69,69,99.52,97.27,97.27,33.6,77.17,40.51,92.12,98.23,98.39,
70,70,99.52,97.43,97.27,34.73,77.81,40.84,92.12,98.23,98.39,
71,71,99.52,97.43,97.27,34.73,77.81,40.84,92.12,98.23,98.39,
72,72,99.52,97.43,97.27,35.21,78.46,41.16,92.12,98.23,98.39,
73,73,99.52,97.43,97.27,35.21,78.46,41.16,92.12,98.23,98.39,
74,74,99.52,97.43,97.27,36.5,79.1,42.28,92.44,98.39,98.55,
75,75,99.52,97.43,97.27,36.5,79.1,42.28,92.44,98.39,98.55,
76,76,99.52,97.43,97.27,37.78,79.1,43.09,92.44,98.55,98.71,
77,77,99.52,97.43,97.27,37.78,79.1,43.09,92.44,98.55,98.71,
78,78,99.52,97.59,97.43,38.91,79.74,43.89,92.44,98.55,98.71,
79,79,99.52,97.59,97.43,38.91,79.74,43.89,92.44,98.55,98.71,
80,80,,97.75,97.59,39.87,81.19,44.37,92.44,98.55,98.71,
81,81,,97.75,97.59,39.87,81.19,44.37,92.44,98.55,98.71,
82,82,,97.75,97.75,40.51,81.99,45.66,92.44,98.71,98.87,
83,83,,97.75,97.75,40.51,81.99,45.66,92.44,98.71,98.87,
84,84,,97.75,97.75,41.32,83.12,46.62,92.44,99.04,98.87,
85,85,,97.75,97.75,41.32,83.12,46.62,92.44,99.04,98.87,
86,86,,97.91,97.91,41.8,84.08,47.91,92.44,99.04,98.87,
87,87,,97.91,97.91,41.8,84.08,47.91,92.44,99.04,98.87,
88,88,,97.91,97.91,42.6,84.08,48.87,92.6,99.04,99.04,
89,89,,97.91,97.91,42.6,84.08,48.87,92.6,99.04,99.04,
90,90,,98.07,97.91,43.89,84.41,49.04,92.77,99.04,99.04,
91,91,,98.07,97.91,43.89,84.41,49.04,92.77,99.04,99.04,
92,92,,98.07,98.07,44.53,85.05,50.16,92.93,99.04,99.2,
93,93,,98.07,98.07,44.53,85.05,50.16,92.93,99.04,99.2,
94,94,,98.07,98.07,45.34,85.53,51.29,93.25,99.04,99.2,
95,95,,98.07,98.07,45.34,85.53,51.29,93.25,99.04,99.2,
96,96,,98.23,98.07,46.14,86.01,52.41,93.25,99.04,99.2,
97,97,,98.23,98.07,46.14,86.01,52.41,93.25,99.04,99.2,
98,98,,98.23,98.23,46.95,86.17,53.22,93.57,99.04,99.2,
99,99,,98.23,98.23,46.95,86.17,53.22,93.57,99.04,99.2,
100,100,,98.23,98.23,47.11,87.62,53.7,93.73,99.04,99.2,
