,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3496.15
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.41
2,2,0.0,12.94,13.29,1.4,1.05,0.7,7.34,7.69,7.69,205.59
3,3,52.1,12.94,13.29,1.4,1.05,0.7,7.34,7.69,7.69,281.82
4,4,52.1,36.36,36.36,2.1,3.15,1.75,21.33,30.77,30.77,273.08
5,5,54.55,36.36,36.36,2.1,3.15,1.75,21.33,30.77,30.77,260.14
6,6,54.55,55.24,54.55,3.85,3.85,2.8,35.66,46.5,51.75,260.14
7,7,56.29,55.24,54.55,3.85,3.85,2.8,35.66,46.5,51.75,223.08
8,8,56.29,60.49,61.19,4.9,4.2,3.5,51.05,47.2,58.74,209.79
9,9,58.74,60.49,61.19,4.9,4.2,3.5,51.05,47.2,58.74,182.17
10,10,58.74,65.73,64.34,5.94,6.64,7.34,55.24,48.25,65.73,166.08
11,11,62.59,65.73,64.34,5.94,6.64,7.34,55.24,48.25,65.73,161.19
12,12,62.59,67.13,65.03,8.74,9.09,10.84,55.94,48.6,68.88,150.35
13,13,70.98,67.13,65.03,8.74,9.09,10.84,55.94,48.6,68.88,142.31
14,14,70.98,69.23,67.48,9.44,10.49,12.24,56.64,48.6,71.33,132.17
15,15,72.73,69.23,67.48,9.44,10.49,12.24,56.64,48.6,71.33,126.22
16,16,72.73,70.28,68.88,10.49,13.29,13.29,57.69,48.6,72.73,127.27
17,17,73.08,70.28,68.88,10.49,13.29,13.29,57.69,48.6,72.73,122.73
18,18,73.08,70.28,69.93,11.89,13.99,15.03,58.39,48.95,80.07,123.08
19,19,76.22,70.28,69.93,11.89,13.99,15.03,58.39,48.95,80.07,120.63
20,20,76.22,71.33,72.03,11.89,15.73,16.08,59.44,48.95,81.12,118.53
21,21,77.27,71.33,72.03,11.89,15.73,16.08,59.44,48.95,81.12,116.43
22,22,77.27,72.73,73.08,12.94,17.48,16.43,60.14,49.65,84.97,110.84
23,23,77.97,72.73,73.08,12.94,17.48,16.43,60.14,49.65,84.97,112.94
24,24,77.97,73.43,74.13,13.64,19.58,17.83,60.49,49.65,87.76,111.19
25,25,80.77,73.43,74.13,13.64,19.58,17.83,60.49,49.65,87.76,113.29
26,26,80.77,73.78,75.52,13.99,20.28,19.93,60.84,49.65,88.81,109.79
27,27,80.77,73.78,75.52,13.99,20.28,19.93,60.84,49.65,88.81,108.39
28,28,80.77,73.78,76.57,15.03,21.33,20.63,61.19,50.0,88.81,109.44
29,29,82.17,73.78,76.57,15.03,21.33,20.63,61.19,50.0,88.81,111.19
30,30,82.17,74.48,77.62,15.73,22.38,21.33,61.54,50.0,89.51,108.39
31,31,82.17,74.48,77.62,15.73,22.38,21.33,61.54,50.0,89.51,109.09
32,32,82.17,74.83,78.32,16.43,26.22,21.68,61.89,50.0,89.86,106.99
33,33,83.57,74.83,78.32,16.43,26.22,21.68,61.89,50.0,89.86,106.64
34,34,83.57,75.52,79.02,16.43,29.02,22.73,62.59,50.35,91.96,106.64
35,35,84.97,75.52,79.02,16.43,29.02,22.73,62.59,50.35,91.96,105.59
36,36,84.97,76.92,79.72,17.48,31.12,23.78,62.59,51.75,92.31,
37,37,87.06,76.92,79.72,17.48,31.12,23.78,62.59,51.75,92.31,
38,38,87.06,77.27,80.42,20.28,32.52,25.52,62.59,52.1,93.36,
39,39,88.81,77.27,80.42,20.28,32.52,25.52,62.59,52.1,93.36,
40,40,88.81,77.62,80.42,20.98,34.62,27.27,62.94,52.45,93.36,
41,41,89.51,77.62,80.42,20.98,34.62,27.27,62.94,52.45,93.36,
42,42,89.51,77.62,80.77,21.68,35.66,28.32,63.99,52.8,93.36,
43,43,89.51,77.62,80.77,21.68,35.66,28.32,63.99,52.8,93.36,
44,44,89.51,78.32,80.77,22.38,38.11,30.42,64.34,52.8,93.36,
45,45,89.86,78.32,80.77,22.38,38.11,30.42,64.34,52.8,93.36,
46,46,89.86,79.02,81.47,23.43,38.81,31.82,64.69,52.8,93.71,
47,47,89.86,79.02,81.47,23.43,38.81,31.82,64.69,52.8,93.71,
48,48,89.86,79.37,81.47,23.43,39.51,31.82,65.03,53.85,94.41,
49,49,91.26,79.37,81.47,23.43,39.51,31.82,65.03,53.85,94.41,
50,50,91.26,79.72,81.47,23.78,39.86,33.22,65.38,56.99,94.76,
51,51,91.96,79.72,81.47,23.78,39.86,33.22,65.38,56.99,94.76,
52,52,91.96,79.72,81.47,24.48,39.86,34.62,65.38,60.49,94.76,
53,53,92.31,79.72,81.47,24.48,39.86,34.62,65.38,60.49,94.76,
54,54,92.31,79.72,81.82,25.52,39.86,35.66,66.08,65.03,95.45,
55,55,92.31,79.72,81.82,25.52,39.86,35.66,66.08,65.03,95.45,
56,56,92.31,80.07,81.82,27.27,39.86,35.66,66.08,67.83,95.45,
57,57,93.36,80.07,81.82,27.27,39.86,35.66,66.08,67.83,95.45,
58,58,93.36,80.42,82.17,28.32,41.96,35.66,66.43,69.23,95.45,
59,59,93.36,80.42,82.17,28.32,41.96,35.66,66.43,69.23,95.45,
60,60,93.36,80.42,82.17,29.02,42.31,36.36,66.43,79.02,95.8,
61,61,96.15,80.42,82.17,29.02,42.31,36.36,66.43,79.02,95.8,
62,62,96.15,80.77,82.52,29.72,44.41,37.06,66.43,81.47,96.15,
63,63,96.5,80.77,82.52,29.72,44.41,37.06,66.43,81.47,96.15,
64,64,96.5,80.77,82.52,30.07,47.2,37.76,67.13,82.52,96.5,
65,65,96.5,80.77,82.52,30.07,47.2,37.76,67.13,82.52,96.5,
66,66,96.5,81.47,82.87,31.47,48.95,37.76,67.48,83.57,96.5,
67,67,96.5,81.47,82.87,31.47,48.95,37.76,67.48,83.57,96.5,
68,68,96.5,82.17,82.87,32.52,49.3,38.81,67.83,85.66,96.5,
69,69,96.5,82.17,82.87,32.52,49.3,38.81,67.83,85.66,96.5,
70,70,96.5,82.17,83.22,33.92,50.0,38.81,67.83,87.76,96.85,
71,71,96.5,82.17,83.22,33.92,50.0,38.81,67.83,87.76,96.85,
72,72,96.5,82.17,83.22,35.31,52.1,39.16,68.53,87.76,96.85,
73,73,96.5,82.17,83.22,35.31,52.1,39.16,68.53,87.76,97.2,
74,74,,82.52,83.22,36.71,52.8,40.21,68.53,89.16,,
75,75,,82.52,83.22,36.71,52.8,40.21,68.53,89.16,,
76,76,,82.52,83.57,38.11,53.5,41.61,68.53,89.86,,
77,77,,82.52,83.57,38.11,53.5,41.61,68.53,89.86,,
78,78,,82.52,83.57,38.81,54.2,41.96,68.88,89.86,,
79,79,,82.52,83.57,38.81,54.2,41.96,68.88,89.86,,
80,80,,82.87,83.92,41.26,55.24,42.31,69.93,89.86,,
81,81,,82.87,83.92,41.26,55.24,42.31,69.93,89.86,,
82,82,,82.87,84.27,43.01,58.04,43.01,70.28,91.26,,
83,83,,82.87,84.27,43.01,58.04,43.01,70.28,91.26,,
84,84,,82.87,84.27,43.36,59.44,44.41,70.98,92.31,,
85,85,,82.87,84.27,43.36,59.44,44.41,70.98,92.31,,
86,86,,82.87,84.27,45.1,59.79,45.45,71.33,92.66,,
87,87,,82.87,84.27,45.1,59.79,45.45,71.33,92.66,,
88,88,,82.87,84.27,46.5,59.79,46.15,71.68,92.66,,
89,89,,82.87,84.27,46.5,59.79,46.15,71.68,92.66,,
90,90,,82.87,84.62,47.55,60.49,46.5,72.38,93.71,,
91,91,,82.87,84.62,47.55,60.49,46.5,72.38,93.71,,
92,92,,83.22,84.97,47.9,61.54,47.9,73.43,93.71,,
93,93,,83.22,84.97,47.9,61.54,47.9,73.43,93.71,,
94,94,,83.57,85.31,48.6,62.59,48.6,73.78,93.71,,
95,95,,83.57,85.31,48.6,62.59,48.6,73.78,93.71,,
96,96,,84.62,86.01,49.3,63.29,48.95,74.13,93.71,,
97,97,,84.62,86.01,49.3,63.29,48.95,74.13,93.71,,
98,98,,85.31,86.01,49.65,64.34,49.65,75.17,93.71,,
99,99,,85.31,86.01,49.65,64.34,49.65,75.17,93.71,,
100,100,,85.31,86.01,50.0,66.43,51.4,75.52,94.76,,
