,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,SVM_LINER_estimate
0,0,85.29,19.12,19.12,0.98,15.2,16.18,16.67,17.65,16.67,2940.69
1,1,,47.06,47.55,2.45,34.31,22.55,39.22,43.63,45.59,
2,2,,77.94,77.94,3.92,44.61,25.0,68.14,75.98,73.04,
3,3,,,,4.9,49.02,26.47,90.2,,87.25,
4,4,,,,4.9,52.94,27.94,90.69,,,
5,5,,,,5.39,59.31,28.43,90.69,,,
6,6,,,,6.86,60.78,29.41,90.69,,,
7,7,,,,7.84,64.22,29.9,90.69,,,
8,8,,,,8.82,67.16,31.86,90.69,,,
9,9,,,,9.8,69.61,33.33,90.69,,,
10,10,,,,9.8,69.61,34.31,90.69,,,
11,11,,,,11.76,69.61,35.78,90.69,,,
12,12,,,,12.75,69.61,35.78,90.69,,,
13,13,,,,13.73,70.59,35.78,90.69,,,
14,14,,,,14.71,72.06,37.75,90.69,,,
15,15,,,,17.16,74.02,37.75,90.69,,,
16,16,,,,18.63,75.49,37.75,90.69,,,
17,17,,,,19.61,76.47,38.24,90.69,,,
18,18,,,,20.59,77.45,38.24,90.69,,,
19,19,,,,21.08,79.41,39.71,90.69,,,
20,20,,,,22.55,81.37,40.2,90.69,,,
21,21,,,,24.51,83.82,40.69,90.69,,,
22,22,,,,25.0,84.8,41.18,91.18,,,
23,23,,,,26.47,85.29,42.65,91.67,,,
24,24,,,,27.94,85.78,43.63,91.67,,,
25,25,,,,29.41,86.76,44.61,91.67,,,
26,26,,,,29.9,86.76,45.59,91.67,,,
27,27,,,,30.39,87.25,46.57,91.67,,,
28,28,,,,31.37,89.22,49.02,91.67,,,
29,29,,,,32.35,90.2,50.0,91.67,,,
30,30,,,,32.35,90.69,50.49,92.16,,,
31,31,,,,33.33,90.69,52.45,92.65,,,
32,32,,,,33.82,91.18,53.43,92.65,,,
33,33,,,,34.8,91.18,53.92,92.65,,,
34,34,,,,35.78,91.18,55.39,92.65,,,
35,35,,,,35.78,92.16,56.37,92.65,,,
36,36,,,,36.76,92.65,56.86,92.65,,,
37,37,,,,37.25,93.14,56.86,92.65,,,
38,38,,,,40.2,93.63,57.35,92.65,,,
39,39,,,,42.65,94.12,58.33,92.65,,,
40,40,,,,43.63,94.61,58.82,92.65,,,
41,41,,,,45.1,94.61,59.31,93.14,,,
42,42,,,,45.59,94.61,60.78,93.14,,,
43,43,,,,46.57,96.08,61.76,93.63,,,
44,44,,,,48.04,96.57,62.25,93.63,,,
45,45,,,,48.53,96.57,62.25,93.63,,,
46,46,,,,48.53,96.57,62.75,93.63,,,
47,47,,,,50.0,96.57,64.22,93.63,,,
48,48,,,,51.47,96.57,64.71,93.63,,,
49,49,,,,51.96,96.57,65.69,93.63,,,
50,50,,,,53.43,96.57,67.65,94.12,,,
51,51,,,,54.41,96.57,68.14,94.12,,,
52,52,,,,54.9,96.57,68.14,94.12,,,
53,53,,,,55.39,96.57,68.63,94.12,,,
54,54,,,,56.86,96.57,69.61,94.61,,,
55,55,,,,57.35,96.57,71.57,94.61,,,
56,56,,,,58.33,96.57,72.55,94.61,,,
57,57,,,,58.82,97.06,73.04,94.61,,,
58,58,,,,59.31,97.06,74.02,94.61,,,
59,59,,,,61.76,97.55,74.51,94.61,,,
60,60,,,,62.75,97.55,75.49,94.61,,,
61,61,,,,64.22,97.55,75.98,94.61,,,
62,62,,,,65.2,97.55,75.98,94.61,,,
63,63,,,,66.18,97.55,76.47,94.61,,,
64,64,,,,66.67,98.04,76.47,94.61,,,
65,65,,,,68.14,98.04,76.47,94.61,,,
66,66,,,,70.1,98.04,78.43,95.1,,,
67,67,,,,71.08,98.04,79.9,95.59,,,
68,68,,,,72.55,98.53,81.86,96.08,,,
69,69,,,,73.04,98.53,82.35,96.08,,,
70,70,,,,73.04,98.53,83.33,96.08,,,
71,71,,,,73.53,98.53,84.31,96.57,,,
72,72,,,,74.02,98.53,84.8,96.57,,,
73,73,,,,75.49,98.53,85.29,96.57,,,
74,74,,,,75.98,98.53,86.27,96.57,,,
75,75,,,,76.96,99.02,86.27,96.57,,,
76,76,,,,77.94,99.02,86.27,96.57,,,
77,77,,,,79.41,99.02,87.25,97.06,,,
78,78,,,,80.39,99.02,87.25,97.06,,,
79,79,,,,81.37,99.02,87.25,97.06,,,
80,80,,,,84.31,99.02,87.75,97.06,,,
81,81,,,,84.31,99.02,89.71,97.55,,,
82,82,,,,84.31,99.02,90.2,97.55,,,
83,83,,,,,99.02,90.69,97.55,,,
84,84,,,,,99.02,90.69,98.04,,,
85,85,,,,,99.02,91.18,98.04,,,
86,86,,,,,99.02,91.18,98.04,,,
87,87,,,,,100.0,92.16,98.04,,,
88,88,,,,,100.0,94.12,99.02,,,
89,89,,,,,100.0,95.1,99.02,,,
90,90,,,,,100.0,95.1,99.02,,,
91,91,,,,,100.0,95.59,99.02,,,
92,92,,,,,100.0,96.57,99.02,,,
93,93,,,,,100.0,97.06,99.02,,,
94,94,,,,,100.0,97.55,99.02,,,
95,95,,,,,100.0,97.55,99.02,,,
96,96,,,,,100.0,98.04,99.51,,,
97,97,,,,,100.0,98.04,99.51,,,
98,98,,,,,100.0,98.53,100.0,,,
99,99,,,,,100.0,99.02,100.0,,,
100,100,,,,,,,,,,
