,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,SVM_LINER_estimate
0,0,52.8,13.29,13.29,1.4,1.05,0.7,7.34,7.69,7.69,2097.55
1,1,,36.71,37.06,2.1,3.15,1.75,21.33,30.77,30.77,
2,2,,,,3.85,3.85,2.8,35.66,46.5,51.75,
3,3,,,,4.9,4.2,3.5,51.05,47.2,54.2,
4,4,,,,5.94,6.64,7.34,55.24,48.25,,
5,5,,,,8.74,9.09,10.84,55.94,48.6,,
6,6,,,,9.44,10.49,12.24,56.64,48.6,,
7,7,,,,10.49,13.29,13.29,57.69,48.6,,
8,8,,,,11.89,13.99,15.03,58.39,48.95,,
9,9,,,,11.89,15.73,16.08,59.44,48.95,,
10,10,,,,12.94,17.48,16.43,60.14,49.65,,
11,11,,,,13.64,19.58,17.83,60.49,49.65,,
12,12,,,,13.99,20.28,19.93,60.84,49.65,,
13,13,,,,15.03,21.33,20.63,61.19,50.0,,
14,14,,,,15.73,22.38,21.33,61.54,50.0,,
15,15,,,,16.43,26.22,21.68,61.89,50.0,,
16,16,,,,16.43,29.02,22.73,62.59,50.35,,
17,17,,,,17.48,31.12,23.78,62.59,51.75,,
18,18,,,,20.28,32.52,25.52,62.59,52.1,,
19,19,,,,20.98,34.62,27.27,62.94,52.45,,
20,20,,,,21.68,35.66,28.32,63.99,52.8,,
21,21,,,,22.38,38.11,30.42,64.34,52.8,,
22,22,,,,23.43,38.81,31.82,64.69,52.8,,
23,23,,,,23.43,39.51,31.82,65.03,,,
24,24,,,,23.78,39.86,33.22,65.38,,,
25,25,,,,24.48,39.86,34.62,65.38,,,
26,26,,,,25.52,39.86,35.66,66.08,,,
27,27,,,,27.27,39.86,35.66,66.08,,,
28,28,,,,28.32,41.96,35.66,66.43,,,
29,29,,,,29.02,42.31,36.36,66.43,,,
30,30,,,,29.72,44.41,37.06,66.43,,,
31,31,,,,30.07,47.2,37.76,67.13,,,
32,32,,,,31.47,48.95,37.76,67.48,,,
33,33,,,,32.52,49.3,38.81,67.83,,,
34,34,,,,33.92,50.0,38.81,67.83,,,
35,35,,,,35.31,52.1,39.16,68.53,,,
36,36,,,,36.71,52.8,40.21,68.53,,,
37,37,,,,38.11,53.5,41.61,68.53,,,
38,38,,,,38.81,54.2,41.96,68.88,,,
39,39,,,,41.26,55.24,42.31,69.93,,,
40,40,,,,43.01,58.04,43.01,70.28,,,
41,41,,,,43.36,59.44,44.41,70.98,,,
42,42,,,,45.1,59.79,45.45,71.33,,,
43,43,,,,46.5,59.79,46.15,71.68,,,
44,44,,,,47.55,60.49,46.5,72.38,,,
45,45,,,,47.9,61.54,47.9,73.43,,,
46,46,,,,48.6,62.59,48.6,73.78,,,
47,47,,,,49.3,63.29,48.95,74.13,,,
48,48,,,,49.65,64.34,49.65,75.17,,,
49,49,,,,50.0,66.43,51.4,75.52,,,
50,50,,,,50.7,67.13,53.15,75.52,,,
51,51,,,,51.4,68.18,53.85,76.22,,,
52,52,,,,52.8,68.18,54.55,77.27,,,
53,53,,,,,69.23,55.59,77.27,,,
54,54,,,,,70.28,55.94,77.62,,,
55,55,,,,,70.98,57.34,77.62,,,
56,56,,,,,71.68,58.39,78.67,,,
57,57,,,,,72.03,59.44,78.67,,,
58,58,,,,,72.73,61.19,79.37,,,
59,59,,,,,73.78,63.29,80.42,,,
60,60,,,,,74.48,63.64,81.12,,,
61,61,,,,,74.83,64.34,81.82,,,
62,62,,,,,75.17,66.08,81.82,,,
63,63,,,,,77.97,66.08,82.17,,,
64,64,,,,,79.37,66.08,82.52,,,
65,65,,,,,80.07,67.13,83.22,,,
66,66,,,,,80.07,68.18,83.57,,,
67,67,,,,,80.07,69.58,84.62,,,
68,68,,,,,80.07,71.68,85.66,,,
69,69,,,,,80.07,72.03,85.66,,,
70,70,,,,,80.42,72.73,86.36,,,
71,71,,,,,82.52,73.78,86.36,,,
72,72,,,,,82.87,74.48,86.71,,,
73,73,,,,,88.46,75.17,86.71,,,
74,74,,,,,88.46,75.17,86.71,,,
75,75,,,,,89.16,75.52,86.71,,,
76,76,,,,,90.21,76.57,87.76,,,
77,77,,,,,90.56,76.92,88.11,,,
78,78,,,,,91.26,77.62,88.81,,,
79,79,,,,,92.66,78.67,89.51,,,
80,80,,,,,95.1,80.07,89.86,,,
81,81,,,,,95.8,81.82,90.56,,,
82,82,,,,,96.15,81.82,90.91,,,
83,83,,,,,96.5,81.82,91.26,,,
84,84,,,,,98.95,82.52,91.26,,,
85,85,,,,,99.3,83.22,91.26,,,
86,86,,,,,99.3,83.22,91.26,,,
87,87,,,,,99.3,83.92,91.96,,,
88,88,,,,,99.3,84.97,92.31,,,
89,89,,,,,99.3,87.06,93.01,,,
90,90,,,,,99.3,88.81,93.71,,,
91,91,,,,,99.3,89.86,95.1,,,
92,92,,,,,99.3,91.61,95.45,,,
93,93,,,,,99.3,92.66,96.5,,,
94,94,,,,,99.3,93.71,96.85,,,
95,95,,,,,99.65,94.41,97.2,,,
96,96,,,,,99.65,96.15,97.55,,,
97,97,,,,,100.0,97.55,98.6,,,
98,98,,,,,100.0,98.95,99.3,,,
99,99,,,,,100.0,99.3,100.0,,,
100,100,,,,,,,,,,
