,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.31
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.51
2,2,0.0,3.04,2.62,0.5,1.7,1.7,2.9,2.26,1.34,94.62
3,3,0.0,3.04,2.62,0.5,1.7,1.7,2.9,2.26,1.34,
4,4,0.0,8.92,8.21,1.27,6.23,7.86,8.7,6.65,7.08,
5,5,0.0,8.92,8.21,1.27,6.23,7.86,8.7,6.65,7.08,
6,6,0.0,13.87,13.59,1.84,10.69,12.81,13.8,11.32,11.68,
7,7,0.0,13.87,13.59,1.84,10.69,12.81,13.8,11.32,11.68,
8,8,0.0,20.24,19.6,2.83,14.65,15.29,18.75,17.13,18.05,
9,9,0.0,20.24,19.6,2.83,14.65,15.29,18.75,17.13,18.05,
10,10,0.0,25.69,25.27,3.82,17.48,17.34,24.13,22.29,23.57,
11,11,0.0,25.69,25.27,3.82,17.48,17.34,24.13,22.29,23.57,
12,12,0.0,31.07,30.36,4.81,20.31,18.19,29.44,28.03,28.87,
13,13,0.0,31.07,30.36,4.81,20.31,18.19,29.44,28.03,28.87,
14,14,0.0,36.87,36.52,6.16,23.35,19.18,35.31,33.69,34.96,
15,15,0.0,36.87,36.52,6.16,23.35,19.18,35.31,33.69,34.96,
16,16,86.34,42.39,42.25,6.79,26.04,19.96,40.34,39.42,40.84,
17,17,86.34,42.39,42.25,6.79,26.04,19.96,40.34,39.42,40.84,
18,18,86.77,48.76,48.69,8.0,27.67,20.74,46.21,45.58,46.99,
19,19,86.77,48.76,48.69,8.0,27.67,20.74,46.21,45.58,46.99,
20,20,87.83,54.49,54.28,9.34,27.67,21.66,51.88,51.24,52.3,
21,21,,54.49,54.28,9.34,27.67,21.66,51.88,51.24,52.3,
22,22,,60.65,60.23,10.12,30.15,21.94,57.61,57.47,58.24,
23,23,,60.65,60.23,10.12,30.15,21.94,57.61,57.47,58.24,
24,24,,66.03,66.03,10.97,32.13,22.72,62.99,63.27,63.91,
25,25,,66.03,66.03,10.97,32.13,22.72,62.99,63.27,63.91,
26,26,,72.47,71.97,12.03,35.53,23.85,68.58,69.92,70.42,
27,27,,72.47,71.97,12.03,35.53,23.85,68.58,69.92,70.42,
28,28,,77.64,77.21,13.09,37.72,24.35,73.74,75.87,75.73,
29,29,,77.64,77.21,13.09,37.72,24.35,73.74,75.87,75.73,
30,30,,83.51,83.51,14.01,39.7,25.55,79.19,82.59,81.88,
31,31,,,,14.01,39.7,25.55,79.19,82.59,81.88,
32,32,,,,14.93,41.19,26.19,84.43,87.4,86.77,
33,33,,,,14.93,41.19,26.19,84.43,,88.18,
34,34,,,,15.57,43.67,27.25,89.88,,,
35,35,,,,15.57,43.67,27.25,89.88,,,
36,36,,,,16.63,48.83,28.1,90.02,,,
37,37,,,,16.63,48.83,28.1,90.02,,,
38,38,,,,17.34,50.74,28.52,90.16,,,
39,39,,,,17.34,50.74,28.52,90.16,,,
40,40,,,,18.61,52.37,29.44,90.16,,,
41,41,,,,18.61,52.37,29.44,90.16,,,
42,42,,,,19.53,53.15,30.29,90.23,,,
43,43,,,,19.53,53.15,30.29,90.23,,,
44,44,,,,20.59,54.71,31.07,90.23,,,
45,45,,,,20.59,54.71,31.07,90.23,,,
46,46,,,,21.73,56.48,32.13,90.38,,,
47,47,,,,21.73,56.48,32.13,90.38,,,
48,48,,,,23.07,58.53,33.19,90.38,,,
49,49,,,,23.07,58.53,33.19,90.38,,,
50,50,,,,24.35,60.08,34.11,90.52,,,
51,51,,,,24.35,60.08,34.11,90.52,,,
52,52,,,,25.48,61.22,35.1,90.59,,,
53,53,,,,25.48,61.22,35.1,90.59,,,
54,54,,,,26.4,62.49,35.88,90.73,,,
55,55,,,,26.4,62.49,35.88,90.73,,,
56,56,,,,26.75,63.91,36.66,90.87,,,
57,57,,,,26.75,63.91,36.66,90.87,,,
58,58,,,,28.03,64.54,37.44,91.08,,,
59,59,,,,28.03,64.54,37.44,91.08,,,
60,60,,,,29.09,64.54,38.29,91.08,,,
61,61,,,,29.09,64.54,38.29,91.08,,,
62,62,,,,30.57,65.39,39.42,91.3,,,
63,63,,,,30.57,65.39,39.42,91.3,,,
64,64,,,,31.71,66.81,40.41,91.37,,,
65,65,,,,31.71,66.81,40.41,91.37,,,
66,66,,,,32.84,67.87,40.76,91.44,,,
67,67,,,,32.84,67.87,40.76,91.44,,,
68,68,,,,33.55,69.0,41.97,91.79,,,
69,69,,,,33.55,69.0,41.97,91.79,,,
70,70,,,,34.47,70.21,42.96,91.86,,,
71,71,,,,34.47,70.21,42.96,91.86,,,
72,72,,,,34.96,70.63,43.24,92.14,,,
73,73,,,,34.96,70.63,43.24,92.14,,,
74,74,,,,35.95,71.62,44.3,92.14,,,
75,75,,,,35.95,71.62,44.3,92.14,,,
76,76,,,,36.87,72.12,45.08,92.22,,,
77,77,,,,36.87,72.12,45.08,92.22,,,
78,78,,,,38.0,73.25,45.58,92.29,,,
79,79,,,,38.0,73.25,45.58,92.29,,,
80,80,,,,38.92,74.81,46.5,92.36,,,
81,81,,,,38.92,74.81,46.5,92.36,,,
