,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.75
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.7
2,2,0.0,4.24,4.03,0.85,2.54,3.18,3.39,2.12,2.54,129.03
3,3,0.0,4.24,4.03,0.85,2.54,3.18,3.39,2.12,2.54,93.86
4,4,0.0,10.59,10.17,1.91,8.47,8.26,9.11,8.05,8.26,86.02
5,5,0.0,10.59,10.17,1.91,8.47,8.26,9.11,8.05,8.26,82.42
6,6,0.0,16.1,16.53,3.39,13.56,11.02,13.98,14.41,14.41,82.2
7,7,0.0,16.1,16.53,3.39,13.56,11.02,13.98,14.41,14.41,
8,8,0.0,22.03,22.46,4.03,16.53,13.35,19.07,20.34,20.34,
9,9,0.0,22.03,22.46,4.03,16.53,13.35,19.07,20.34,20.34,
10,10,0.0,28.39,28.39,4.87,20.13,15.25,24.58,26.69,26.69,
11,11,0.0,28.39,28.39,4.87,20.13,15.25,24.58,26.69,26.69,
12,12,0.0,34.32,34.53,6.99,23.31,16.31,30.08,32.63,33.05,
13,13,70.76,34.32,34.53,6.99,23.31,16.31,30.08,32.63,33.05,
14,14,70.76,40.68,40.89,8.05,27.97,16.53,35.17,38.98,39.41,
15,15,72.46,40.68,40.89,8.05,27.97,16.53,35.17,38.98,39.41,
16,16,72.46,46.82,47.03,8.9,30.3,17.37,41.31,45.34,45.76,
17,17,73.09,46.82,47.03,8.9,30.3,17.37,41.31,45.34,45.76,
18,18,73.09,52.97,53.18,9.75,33.47,18.64,46.61,51.69,52.12,
19,19,75.42,52.97,53.18,9.75,33.47,18.64,46.61,51.69,52.12,
20,20,75.42,59.32,59.32,10.17,33.69,20.76,52.12,57.2,58.26,
21,21,79.03,59.32,59.32,10.17,33.69,20.76,52.12,57.2,58.26,
22,22,79.03,65.47,65.68,11.86,36.02,21.61,57.2,63.35,63.56,
23,23,79.87,65.47,65.68,11.86,36.02,21.61,57.2,63.35,63.56,
24,24,79.87,71.4,71.4,13.14,39.41,21.82,63.14,69.7,68.64,
25,25,80.51,71.4,71.4,13.14,39.41,21.82,63.14,69.7,68.64,
26,26,,75.0,75.0,13.98,41.1,22.25,68.86,74.58,73.52,
27,27,,75.0,75.0,13.98,41.1,22.25,68.86,74.58,73.52,
28,28,,77.54,77.12,14.83,43.01,23.31,73.52,77.33,76.69,
29,29,,77.54,77.12,14.83,43.01,23.31,73.52,77.33,76.69,
30,30,,79.03,79.03,15.89,44.92,23.94,74.36,79.45,79.87,
31,31,,79.03,79.03,15.89,44.92,23.94,74.36,79.45,81.14,
32,32,,80.08,79.87,17.37,45.97,24.58,74.36,80.08,,
33,33,,80.08,79.87,17.37,45.97,24.58,74.36,80.08,,
34,34,,80.3,80.3,18.43,47.03,25.42,74.36,80.93,,
35,35,,80.3,80.3,18.43,47.03,25.42,74.36,,,
36,36,,80.72,81.14,18.86,47.88,25.85,74.58,,,
37,37,,,,18.86,47.88,25.85,74.58,,,
38,38,,,,20.13,49.36,27.54,75.21,,,
39,39,,,,20.13,49.36,27.54,75.21,,,
40,40,,,,21.4,50.85,29.03,75.21,,,
41,41,,,,21.4,50.85,29.03,75.21,,,
42,42,,,,22.25,51.27,29.87,75.42,,,
43,43,,,,22.25,51.27,29.87,75.42,,,
44,44,,,,23.09,51.48,30.3,75.64,,,
45,45,,,,23.09,51.48,30.3,75.64,,,
46,46,,,,23.73,52.54,31.78,76.27,,,
47,47,,,,23.73,52.54,31.78,76.27,,,
48,48,,,,25.42,53.6,32.84,76.69,,,
49,49,,,,25.42,53.6,32.84,76.69,,,
50,50,,,,26.91,54.45,33.69,76.69,,,
51,51,,,,26.91,54.45,33.69,76.69,,,
52,52,,,,28.39,55.72,34.75,77.54,,,
53,53,,,,28.39,55.72,34.75,77.54,,,
54,54,,,,29.45,57.2,35.38,78.18,,,
55,55,,,,29.45,57.2,35.38,78.18,,,
56,56,,,,30.3,57.63,36.44,78.6,,,
57,57,,,,30.3,57.63,36.44,78.6,,,
58,58,,,,31.14,58.69,37.29,78.6,,,
59,59,,,,31.14,58.69,37.29,78.6,,,
60,60,,,,32.63,60.81,38.14,79.24,,,
61,61,,,,32.63,60.81,38.14,79.24,,,
62,62,,,,34.11,61.65,38.56,79.66,,,
