,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.39
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11
2,2,0.0,12.92,12.92,0.96,10.05,10.53,7.66,12.92,11.48,47.85
3,3,33.97,12.92,12.92,0.96,10.05,10.53,7.66,12.92,11.48,50.24
4,4,33.97,31.58,31.58,1.91,19.14,13.4,19.62,29.19,25.84,51.67
5,5,40.67,31.58,31.58,1.91,19.14,13.4,19.62,29.19,25.84,52.15
6,6,40.67,44.02,43.06,2.87,20.1,17.22,37.32,40.19,37.32,54.55
7,7,43.06,44.02,43.06,2.87,20.1,17.22,37.32,40.19,37.32,53.59
8,8,43.06,49.76,49.76,4.31,22.49,19.14,47.85,49.28,50.24,53.59
9,9,47.37,49.76,49.76,4.31,22.49,19.14,47.85,49.28,50.24,53.59
10,10,47.37,55.02,53.11,4.78,25.36,21.05,47.85,56.46,55.02,
11,11,49.28,,,4.78,25.36,21.05,47.85,,55.02,
12,12,49.28,,,7.18,27.27,21.53,47.85,,,
13,13,51.2,,,7.18,27.27,21.53,47.85,,,
14,14,51.2,,,8.13,28.23,21.53,48.33,,,
15,15,51.2,,,8.13,28.23,21.53,48.33,,,
16,16,51.2,,,9.09,30.14,22.01,48.8,,,
17,17,51.67,,,9.09,30.14,22.01,48.8,,,
18,18,51.67,,,9.57,33.49,22.97,49.76,,,
19,19,51.67,,,9.57,33.49,22.97,49.76,,,
20,20,51.67,,,9.57,33.97,22.97,49.76,,,
21,21,54.55,,,9.57,33.97,22.97,49.76,,,
22,22,,,,10.53,33.97,23.44,50.24,,,
23,23,,,,10.53,33.97,23.44,50.24,,,
24,24,,,,11.0,34.93,23.92,50.72,,,
25,25,,,,11.0,34.93,23.92,50.72,,,
26,26,,,,11.48,36.84,25.36,51.2,,,
27,27,,,,11.48,36.84,25.36,51.2,,,
28,28,,,,12.44,37.8,25.36,51.2,,,
29,29,,,,12.44,37.8,25.36,51.2,,,
30,30,,,,12.92,38.28,25.36,51.2,,,
31,31,,,,12.92,38.28,25.36,51.2,,,
32,32,,,,15.31,39.71,26.32,51.67,,,
33,33,,,,15.31,39.71,26.32,51.67,,,
34,34,,,,16.75,58.85,27.27,51.67,,,
35,35,,,,16.75,58.85,27.27,51.67,,,
36,36,,,,19.14,68.9,28.71,52.63,,,
37,37,,,,19.14,68.9,28.71,52.63,,,
38,38,,,,21.53,68.9,29.67,53.11,,,
39,39,,,,21.53,68.9,29.67,53.11,,,
40,40,,,,21.53,68.9,30.14,53.11,,,
41,41,,,,21.53,68.9,30.14,53.11,,,
42,42,,,,24.4,68.9,30.62,54.07,,,
43,43,,,,24.4,68.9,30.62,54.07,,,
44,44,,,,25.84,68.9,31.1,55.5,,,
45,45,,,,25.84,68.9,31.1,55.5,,,
46,46,,,,26.79,68.9,33.01,55.98,,,
47,47,,,,26.79,68.9,33.01,55.98,,,
48,48,,,,28.23,68.9,33.01,55.98,,,
49,49,,,,28.23,68.9,33.01,55.98,,,
50,50,,,,29.19,68.9,33.01,55.98,,,
51,51,,,,29.19,68.9,33.01,55.98,,,
52,52,,,,30.14,68.9,33.49,55.98,,,
53,53,,,,30.14,68.9,33.49,55.98,,,
54,54,,,,32.06,68.9,35.41,57.42,,,
55,55,,,,32.06,68.9,35.41,57.42,,,
56,56,,,,32.54,68.9,35.89,57.42,,,
57,57,,,,32.54,68.9,35.89,57.42,,,
58,58,,,,33.49,68.9,37.32,57.89,,,
59,59,,,,33.49,68.9,37.32,57.89,,,
60,60,,,,34.93,69.38,37.32,58.37,,,
61,61,,,,34.93,69.38,37.32,58.37,,,
62,62,,,,35.89,69.86,37.8,58.85,,,
63,63,,,,35.89,69.86,37.8,58.85,,,
64,64,,,,37.32,70.81,37.8,58.85,,,
65,65,,,,37.32,70.81,37.8,58.85,,,
66,66,,,,37.32,70.81,37.8,58.85,,,
67,67,,,,37.32,70.81,37.8,58.85,,,
68,68,,,,37.8,70.81,38.76,59.81,,,
69,69,,,,37.8,70.81,38.76,59.81,,,
70,70,,,,37.8,73.21,40.19,61.24,,,
71,71,,,,37.8,73.21,40.19,61.24,,,
72,72,,,,39.23,73.21,42.58,62.2,,,
73,73,,,,39.23,73.21,42.58,62.2,,,
74,74,,,,40.19,75.12,43.06,62.2,,,
75,75,,,,40.19,75.12,43.06,62.2,,,
76,76,,,,40.67,75.6,44.5,63.64,,,
77,77,,,,40.67,75.6,44.5,63.64,,,
78,78,,,,41.63,79.43,45.93,64.11,,,
79,79,,,,41.63,79.43,45.93,64.11,,,
80,80,,,,43.06,81.82,46.41,66.03,,,
81,81,,,,43.06,81.82,46.41,66.03,,,
82,82,,,,44.02,83.25,47.37,66.03,,,
83,83,,,,44.02,83.25,47.37,66.03,,,
84,84,,,,44.02,84.21,47.37,66.51,,,
85,85,,,,44.02,84.21,47.37,66.51,,,
86,86,,,,44.98,84.69,49.28,66.51,,,
87,87,,,,44.98,84.69,49.28,66.51,,,
88,88,,,,45.93,84.69,49.28,66.51,,,
89,89,,,,45.93,84.69,49.28,66.51,,,
90,90,,,,46.41,85.17,49.28,66.51,,,
91,91,,,,46.41,85.17,49.28,66.51,,,
92,92,,,,46.41,85.65,49.76,66.99,,,
93,93,,,,46.41,85.65,49.76,66.99,,,
94,94,,,,47.37,86.12,51.67,67.94,,,
95,95,,,,47.37,86.12,51.67,67.94,,,
96,96,,,,47.37,87.56,52.15,68.42,,,
97,97,,,,47.37,87.56,52.15,68.42,,,
98,98,,,,47.37,88.52,53.59,70.33,,,
99,99,,,,47.37,88.52,53.59,70.33,,,
100,100,,,,48.8,88.52,55.5,70.33,,,
