,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.86
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.58
2,2,0.0,13.64,13.29,1.4,1.05,0.7,7.69,7.69,7.69,90.21
3,3,50.35,13.64,13.29,1.4,1.05,0.7,7.69,7.69,7.69,95.45
4,4,50.35,36.01,36.01,2.1,3.15,1.75,22.03,30.77,30.77,94.06
5,5,53.15,36.01,36.01,2.1,3.15,1.75,22.03,30.77,30.77,98.95
6,6,53.15,54.9,54.2,3.85,3.85,2.8,36.36,46.5,51.75,98.6
7,7,54.9,54.9,54.2,3.85,3.85,2.8,36.36,46.5,51.75,96.5
8,8,54.9,60.49,60.14,4.9,4.2,3.5,53.15,47.2,58.74,91.26
9,9,59.09,60.49,60.14,4.9,4.2,3.5,53.15,47.2,58.74,94.41
10,10,59.09,65.03,63.99,5.94,6.64,7.34,55.94,47.55,65.73,88.11
11,11,59.79,65.03,63.99,5.94,6.64,7.34,55.94,47.55,65.73,90.21
12,12,59.79,66.43,65.03,8.74,9.09,10.84,56.99,48.6,68.88,93.01
13,13,68.88,66.43,65.03,8.74,9.09,10.84,56.99,48.6,68.88,86.36
14,14,68.88,67.48,66.08,9.44,10.49,12.24,56.99,48.6,71.33,87.06
15,15,70.98,67.48,66.08,9.44,10.49,12.24,56.99,48.6,71.33,87.76
16,16,70.98,69.93,67.83,10.49,13.29,13.29,58.04,48.6,72.73,
17,17,74.13,69.93,67.83,10.49,13.29,13.29,58.04,48.6,72.73,
18,18,74.13,70.28,68.88,11.89,13.99,15.03,58.39,48.6,80.07,
19,19,75.52,70.28,68.88,11.89,13.99,15.03,58.39,48.6,80.07,
20,20,75.52,71.68,69.93,11.89,15.73,16.08,59.79,48.95,81.12,
21,21,76.92,71.68,69.93,11.89,15.73,16.08,59.79,48.95,81.12,
22,22,76.92,72.38,71.68,12.94,17.48,16.43,60.49,49.65,84.97,
23,23,78.32,72.38,71.68,12.94,17.48,16.43,60.49,49.65,84.97,
24,24,78.32,74.48,73.08,13.64,19.58,17.83,60.84,49.65,87.76,
25,25,79.72,74.48,73.08,13.64,19.58,17.83,60.84,49.65,88.11,
26,26,79.72,75.17,74.48,13.99,20.28,19.93,61.54,49.65,,
27,27,82.17,75.17,74.48,13.99,20.28,19.93,61.54,49.65,,
28,28,82.17,75.87,75.52,15.03,21.33,20.63,61.54,49.65,,
29,29,82.87,75.87,75.52,15.03,21.33,20.63,61.54,49.65,,
30,30,82.87,76.57,76.92,15.73,22.38,21.33,61.89,50.0,,
31,31,84.97,76.57,76.92,15.73,22.38,21.33,61.89,50.0,,
32,32,84.97,78.32,77.62,16.43,26.22,21.68,62.59,50.0,,
33,33,87.76,78.32,77.62,16.43,26.22,21.68,62.59,50.0,,
34,34,,78.32,78.32,16.43,29.02,22.73,62.94,50.35,,
35,35,,78.32,78.32,16.43,29.02,22.73,62.94,50.35,,
36,36,,78.32,78.32,17.48,31.12,23.78,62.94,51.75,,
37,37,,78.32,78.32,17.48,31.12,23.78,62.94,51.75,,
38,38,,78.32,78.32,20.28,32.52,25.52,62.94,52.1,,
39,39,,78.32,78.32,20.28,32.52,25.52,62.94,52.1,,
40,40,,78.32,78.32,20.98,34.62,27.27,63.64,52.45,,
41,41,,78.32,78.32,20.98,34.62,27.27,63.64,52.45,,
42,42,,78.32,78.67,21.68,35.66,28.32,64.34,52.8,,
43,43,,78.32,78.67,21.68,35.66,28.32,64.34,52.8,,
44,44,,78.67,79.02,22.38,38.11,30.42,64.69,52.8,,
45,45,,78.67,79.02,22.38,38.11,30.42,64.69,52.8,,
46,46,,79.02,79.02,23.43,38.81,31.82,65.03,52.8,,
47,47,,79.02,79.02,23.43,38.81,31.82,65.03,52.8,,
48,48,,79.02,79.02,23.43,39.51,31.82,65.38,53.85,,
49,49,,79.02,79.02,23.43,39.51,31.82,65.38,53.85,,
50,50,,79.72,80.07,23.78,39.86,33.22,66.08,56.99,,
51,51,,79.72,80.07,23.78,39.86,33.22,66.08,56.99,,
52,52,,79.72,80.42,24.48,39.86,34.62,66.08,60.84,,
53,53,,79.72,80.42,24.48,39.86,34.62,66.08,60.84,,
54,54,,79.72,80.42,25.52,39.86,35.66,66.78,66.08,,
55,55,,79.72,80.42,25.52,39.86,35.66,66.78,66.08,,
56,56,,79.72,80.42,27.27,39.86,35.66,66.78,70.28,,
57,57,,79.72,80.42,27.27,39.86,35.66,66.78,70.28,,
58,58,,80.07,80.77,28.32,41.96,35.66,67.13,71.68,,
59,59,,80.07,80.77,28.32,41.96,35.66,67.13,71.68,,
60,60,,80.42,80.77,29.02,42.31,36.36,67.13,73.08,,
61,61,,80.42,80.77,29.02,42.31,36.36,67.13,73.08,,
62,62,,80.77,80.77,29.72,44.41,37.06,67.13,75.17,,
63,63,,80.77,80.77,29.72,44.41,37.06,67.13,75.17,,
64,64,,81.12,80.77,30.07,47.2,37.76,67.83,81.82,,
65,65,,81.12,80.77,30.07,47.2,37.76,67.83,81.82,,
66,66,,81.12,81.12,31.47,48.95,37.76,68.18,84.97,,
67,67,,81.12,81.12,31.47,48.95,37.76,68.18,84.97,,
68,68,,81.12,81.12,32.52,49.3,38.81,68.18,86.36,,
69,69,,81.12,81.12,32.52,49.3,38.81,68.18,86.36,,
70,70,,81.12,81.47,33.92,50.0,38.81,68.53,86.36,,
71,71,,81.12,81.47,33.92,50.0,38.81,68.53,86.36,,
72,72,,81.47,81.47,35.31,52.1,39.16,69.58,86.71,,
73,73,,81.47,81.47,35.31,52.1,39.16,69.58,86.71,,
74,74,,81.82,81.82,36.71,52.8,40.21,69.58,87.41,,
75,75,,81.82,81.82,36.71,52.8,40.21,69.58,,,
76,76,,81.82,81.82,38.11,53.5,41.61,69.58,,,
77,77,,81.82,81.82,38.11,53.5,41.61,69.58,,,
78,78,,82.87,81.82,38.81,54.2,41.96,69.93,,,
79,79,,82.87,81.82,38.81,54.2,41.96,69.93,,,
80,80,,83.22,81.82,41.26,55.24,42.31,71.33,,,
81,81,,83.22,81.82,41.26,55.24,42.31,71.33,,,
82,82,,83.22,81.82,43.01,58.04,43.01,71.33,,,
83,83,,83.22,81.82,43.01,58.04,43.01,71.33,,,
84,84,,83.22,82.17,43.36,59.44,44.41,72.03,,,
85,85,,83.22,82.17,43.36,59.44,44.41,72.03,,,
86,86,,83.57,82.52,45.1,59.79,45.45,72.38,,,
87,87,,83.57,82.52,45.1,59.79,45.45,72.38,,,
88,88,,83.92,82.52,46.5,59.79,46.15,72.38,,,
89,89,,83.92,82.52,46.5,59.79,46.15,72.38,,,
90,90,,84.27,83.57,47.55,60.49,46.5,73.08,,,
91,91,,84.27,83.57,47.55,60.49,46.5,73.08,,,
92,92,,84.27,83.57,47.9,61.54,47.9,73.78,,,
93,93,,84.27,83.57,47.9,61.54,47.9,73.78,,,
94,94,,84.62,83.92,48.6,62.59,48.6,74.48,,,
95,95,,84.62,83.92,48.6,62.59,48.6,74.48,,,
96,96,,84.97,83.92,49.3,63.64,48.95,74.48,,,
97,97,,84.97,83.92,49.3,63.64,48.95,74.48,,,
98,98,,86.01,84.97,49.65,64.34,49.65,74.48,,,
99,99,,86.01,84.97,49.65,64.34,49.65,74.48,,,
100,100,,86.01,85.31,50.0,66.43,51.4,75.87,,,
