,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.51
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.94
2,2,22.9,19.85,19.85,0.76,4.58,1.53,8.4,16.79,17.56,63.36
3,3,22.9,19.85,19.85,0.76,4.58,1.53,8.4,16.79,17.56,75.57
4,4,30.53,37.4,39.69,0.76,14.5,3.82,25.95,34.35,35.88,82.44
5,5,30.53,37.4,39.69,0.76,14.5,3.82,25.95,34.35,35.88,84.73
6,6,43.51,51.15,51.15,0.76,17.56,6.87,42.75,43.51,49.62,91.6
7,7,43.51,51.15,51.15,0.76,17.56,6.87,42.75,43.51,49.62,83.21
8,8,50.38,57.25,54.96,1.53,17.56,8.4,49.62,49.62,54.96,82.44
9,9,50.38,57.25,54.96,1.53,17.56,8.4,49.62,49.62,54.96,90.84
10,10,57.25,63.36,62.6,3.82,17.56,9.16,49.62,56.49,58.78,90.84
11,11,57.25,63.36,62.6,3.82,17.56,9.16,49.62,56.49,58.78,90.84
12,12,62.6,64.89,63.36,5.34,21.37,9.16,49.62,61.07,63.36,89.31
13,13,62.6,64.89,63.36,5.34,21.37,9.16,49.62,61.07,63.36,87.02
14,14,64.89,67.18,64.89,6.11,22.9,9.92,49.62,65.65,66.41,86.26
15,15,64.89,67.18,64.89,6.11,22.9,9.92,49.62,65.65,66.41,85.5
16,16,66.41,68.7,66.41,7.63,25.19,9.92,49.62,67.94,67.18,87.02
17,17,66.41,68.7,66.41,7.63,25.19,9.92,49.62,67.94,67.18,84.73
18,18,67.18,70.99,66.41,9.92,28.24,10.69,49.62,70.99,71.76,84.73
19,19,67.18,70.99,66.41,9.92,28.24,10.69,49.62,70.99,71.76,84.73
20,20,70.23,72.52,69.47,10.69,29.77,10.69,49.62,71.76,72.52,84.73
21,21,70.23,72.52,69.47,10.69,29.77,10.69,49.62,71.76,72.52,86.26
22,22,72.52,75.57,70.23,11.45,31.3,12.21,51.15,72.52,73.28,86.26
23,23,72.52,75.57,70.23,11.45,31.3,12.21,51.15,72.52,73.28,88.55
24,24,74.05,77.86,70.99,12.21,35.88,12.21,51.91,73.28,74.05,90.84
25,25,74.05,77.86,70.99,12.21,35.88,12.21,51.91,73.28,74.05,93.89
26,26,74.05,77.86,72.52,12.21,40.46,12.21,52.67,77.1,76.34,93.13
27,27,74.05,77.86,72.52,12.21,40.46,12.21,52.67,77.1,76.34,96.95
28,28,74.05,77.86,76.34,14.5,41.22,12.21,52.67,77.1,77.86,94.66
29,29,74.05,77.86,76.34,14.5,41.22,12.21,52.67,77.1,77.86,94.66
30,30,74.81,79.39,79.39,15.27,41.22,12.21,52.67,77.86,77.86,94.66
31,31,74.81,79.39,79.39,15.27,41.22,12.21,52.67,77.86,77.86,93.89
32,32,76.34,80.92,80.92,16.03,41.22,12.98,52.67,78.63,79.39,96.18
33,33,76.34,80.92,80.92,16.03,41.22,12.98,52.67,78.63,79.39,94.66
34,34,77.1,80.92,80.92,16.03,42.75,12.98,52.67,78.63,79.39,93.89
35,35,77.1,80.92,80.92,16.03,42.75,12.98,52.67,78.63,79.39,95.42
36,36,77.1,81.68,80.92,17.56,43.51,12.98,52.67,80.15,79.39,96.18
37,37,77.1,81.68,80.92,17.56,43.51,12.98,52.67,80.15,79.39,95.42
38,38,78.63,81.68,80.92,18.32,43.51,12.98,52.67,80.15,79.39,94.66
39,39,78.63,81.68,80.92,18.32,43.51,12.98,52.67,80.15,79.39,94.66
40,40,78.63,81.68,80.92,19.85,43.51,14.5,52.67,80.15,80.15,
41,41,78.63,81.68,80.92,19.85,43.51,14.5,52.67,80.15,80.15,
42,42,78.63,81.68,80.92,21.37,43.51,15.27,52.67,80.15,80.15,
43,43,78.63,81.68,80.92,21.37,43.51,15.27,52.67,80.15,80.15,
44,44,80.15,81.68,80.92,23.66,46.56,15.27,52.67,80.15,80.92,
45,45,80.15,81.68,80.92,23.66,46.56,15.27,52.67,80.15,80.92,
46,46,80.15,81.68,80.92,24.43,50.38,16.79,52.67,82.44,80.92,
47,47,80.15,81.68,80.92,24.43,50.38,16.79,52.67,82.44,80.92,
48,48,82.44,81.68,80.92,25.19,53.44,16.79,52.67,83.97,80.92,
49,49,82.44,81.68,80.92,25.19,53.44,16.79,52.67,83.97,80.92,
