,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.32
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13
2,2,0.0,12.57,12.03,1.07,9.89,8.02,9.36,5.88,12.03,97.33
3,3,0.0,12.57,12.03,1.07,9.89,8.02,9.36,5.88,12.03,100.0
4,4,0.0,31.82,31.55,2.41,19.79,15.24,25.13,26.47,27.27,92.51
5,5,74.33,31.82,31.55,2.41,19.79,15.24,25.13,26.47,27.27,102.14
6,6,74.33,48.4,48.93,2.67,28.07,20.86,39.84,47.33,47.59,104.01
7,7,77.01,48.4,48.93,2.67,28.07,20.86,39.84,47.33,47.59,106.42
8,8,77.01,66.84,66.84,3.48,32.62,20.86,55.35,66.31,66.31,88.77
9,9,77.81,66.84,66.84,3.48,32.62,20.86,55.35,66.31,66.31,97.59
10,10,77.81,77.54,77.27,4.28,35.29,21.93,71.66,74.87,74.06,91.98
11,11,78.61,77.54,77.27,4.28,35.29,21.93,71.66,74.87,74.06,
12,12,78.61,79.41,79.68,5.35,40.91,23.26,72.73,76.47,75.67,
13,13,79.41,79.41,79.68,5.35,40.91,23.26,72.73,76.47,75.67,
14,14,79.41,80.75,80.75,5.88,43.32,24.33,72.73,77.27,77.01,
15,15,79.95,80.75,80.75,5.88,43.32,24.33,72.73,77.27,77.01,
16,16,79.95,82.62,81.82,6.68,45.19,24.6,72.99,79.95,79.14,
17,17,83.16,82.62,81.82,6.68,45.19,24.6,72.99,79.95,79.14,
18,18,83.16,83.69,82.89,7.22,46.26,25.13,73.8,81.28,81.28,
19,19,84.76,83.69,82.89,7.22,46.26,25.13,73.8,81.28,81.28,
20,20,84.76,84.76,84.22,7.75,50.53,25.94,74.33,82.89,82.89,
21,21,85.29,84.76,84.22,7.75,50.53,25.94,74.33,82.89,82.89,
22,22,85.29,86.1,84.49,8.82,52.41,27.54,74.6,83.69,83.96,
23,23,86.63,,84.49,8.82,52.41,27.54,74.6,83.69,83.96,
24,24,86.63,,85.56,9.63,57.22,28.34,75.13,84.22,86.63,
25,25,87.43,,85.56,9.63,57.22,28.34,75.13,84.22,87.17,
26,26,,,86.9,10.43,59.36,29.14,75.4,86.1,,
27,27,,,86.9,10.43,59.36,29.14,75.4,86.1,,
28,28,,,86.9,11.5,62.83,29.95,75.67,86.63,,
29,29,,,86.9,11.5,62.83,29.95,75.67,,,
30,30,,,86.9,12.3,64.97,30.21,75.67,,,
