,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.59
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.18
2,2,0.0,19.61,19.12,0.98,15.2,16.18,14.71,17.65,16.67,122.06
3,3,0.0,19.61,19.12,0.98,15.2,16.18,14.71,17.65,16.67,117.16
4,4,84.31,47.06,47.55,2.45,34.31,22.55,38.24,43.63,45.59,119.12
5,5,84.31,47.06,47.55,2.45,34.31,22.55,38.24,43.63,45.59,116.18
6,6,86.27,77.94,77.94,3.92,44.61,25.0,67.65,75.98,73.04,117.16
7,7,86.27,77.94,77.94,3.92,44.61,25.0,67.65,75.98,73.04,111.27
8,8,87.75,89.71,91.18,4.9,49.02,26.47,89.71,88.24,91.67,107.35
9,9,87.75,89.71,91.18,4.9,49.02,26.47,89.71,88.24,91.67,107.84
10,10,89.71,91.18,93.14,4.9,52.94,27.94,89.71,96.08,96.57,104.41
11,11,89.71,91.18,93.14,4.9,52.94,27.94,89.71,,96.57,103.43
12,12,92.16,92.65,94.61,5.39,59.31,28.43,90.2,,96.57,103.92
13,13,92.16,92.65,94.61,5.39,59.31,28.43,90.2,,96.57,102.94
14,14,92.65,93.63,94.61,6.86,60.78,29.41,90.2,,96.57,101.47
15,15,92.65,93.63,94.61,6.86,60.78,29.41,90.2,,96.57,100.98
16,16,93.14,93.63,94.61,7.84,64.22,29.9,90.2,,96.57,99.51
17,17,93.14,93.63,94.61,7.84,64.22,29.9,90.2,,97.06,99.51
18,18,94.12,94.61,95.1,8.82,67.16,31.86,90.2,,,
19,19,94.12,94.61,95.1,8.82,67.16,31.86,90.2,,,
20,20,95.1,94.61,96.08,9.8,69.61,33.33,90.2,,,
21,21,95.1,94.61,96.08,9.8,69.61,33.33,90.2,,,
22,22,95.1,95.1,96.08,9.8,69.61,34.31,90.2,,,
23,23,95.1,95.1,96.08,9.8,69.61,34.31,90.2,,,
24,24,95.1,95.1,96.08,11.76,69.61,35.78,90.2,,,
25,25,95.1,95.1,96.08,11.76,69.61,35.78,90.2,,,
26,26,95.59,95.1,96.08,12.75,69.61,35.78,90.2,,,
27,27,95.59,95.1,96.08,12.75,69.61,35.78,90.2,,,
28,28,96.57,95.1,96.08,13.73,70.59,35.78,90.2,,,
29,29,96.57,95.1,96.08,13.73,70.59,35.78,90.2,,,
30,30,96.57,95.1,96.08,14.71,72.06,37.75,90.2,,,
31,31,96.57,95.1,96.08,14.71,72.06,37.75,90.2,,,
32,32,96.57,95.1,96.08,17.16,74.02,37.75,90.2,,,
33,33,96.57,95.1,96.08,17.16,74.02,37.75,90.2,,,
34,34,96.57,95.1,96.08,18.63,75.49,37.75,90.2,,,
35,35,96.57,95.1,96.08,18.63,75.49,37.75,90.2,,,
36,36,96.57,95.1,96.08,19.61,76.47,38.24,90.2,,,
37,37,96.57,95.1,96.08,19.61,76.47,38.24,90.2,,,
38,38,96.57,95.1,96.08,20.59,77.45,38.24,90.2,,,
39,39,,95.1,96.08,20.59,77.45,38.24,90.2,,,
40,40,,95.1,96.08,21.08,79.41,39.71,90.2,,,
41,41,,95.1,96.08,21.08,79.41,39.71,90.2,,,
42,42,,95.1,96.08,22.55,81.37,40.2,90.2,,,
43,43,,95.1,96.08,22.55,81.37,40.2,90.2,,,
44,44,,95.1,96.08,24.51,83.82,40.69,90.2,,,
45,45,,95.1,96.08,24.51,83.82,40.69,90.2,,,
46,46,,95.1,96.08,25.0,84.8,41.18,90.69,,,
47,47,,95.1,96.08,25.0,84.8,41.18,90.69,,,
48,48,,95.1,96.08,26.47,85.29,42.65,91.18,,,
49,49,,95.1,96.08,26.47,85.29,42.65,91.18,,,
50,50,,95.1,96.08,27.94,85.78,43.63,91.18,,,
51,51,,95.1,96.08,27.94,85.78,43.63,91.18,,,
52,52,,95.1,96.08,29.41,86.76,44.61,91.18,,,
53,53,,95.1,96.08,29.41,86.76,44.61,91.18,,,
54,54,,95.1,96.08,29.9,86.76,45.59,91.18,,,
55,55,,95.1,96.08,29.9,86.76,45.59,91.18,,,
56,56,,95.1,96.08,30.39,87.25,46.57,91.18,,,
57,57,,95.1,96.08,30.39,87.25,46.57,91.18,,,
58,58,,95.1,96.08,31.37,89.22,49.02,91.18,,,
59,59,,95.1,96.08,31.37,89.22,49.02,91.18,,,
60,60,,95.1,96.08,32.35,90.2,50.0,91.18,,,
61,61,,95.1,96.08,32.35,90.2,50.0,91.18,,,
