,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.69
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.08
2,2,31.73,16.35,16.35,0.0,10.58,9.62,11.54,14.42,14.42,69.23
3,3,31.73,16.35,16.35,0.0,10.58,9.62,11.54,14.42,14.42,79.81
4,4,31.73,39.42,43.27,0.96,26.92,11.54,29.81,37.5,44.23,89.42
5,5,31.73,39.42,43.27,0.96,26.92,11.54,29.81,37.5,44.23,88.46
6,6,31.73,48.08,53.85,0.96,32.69,13.46,46.15,49.04,50.0,83.65
7,7,31.73,48.08,53.85,0.96,32.69,13.46,46.15,49.04,50.0,86.54
8,8,33.65,56.73,61.54,2.88,39.42,15.38,46.15,62.5,54.81,90.38
9,9,33.65,56.73,61.54,2.88,39.42,15.38,46.15,62.5,54.81,86.54
10,10,40.38,57.69,62.5,3.85,42.31,17.31,47.12,67.31,56.73,88.46
11,11,40.38,57.69,62.5,3.85,42.31,17.31,47.12,67.31,56.73,99.04
12,12,41.35,59.62,63.46,3.85,48.08,19.23,48.08,72.12,61.54,98.08
13,13,41.35,59.62,63.46,3.85,48.08,19.23,48.08,72.12,61.54,101.92
14,14,42.31,60.58,63.46,4.81,50.0,19.23,49.04,73.08,63.46,109.62
15,15,42.31,60.58,63.46,4.81,50.0,19.23,49.04,73.08,63.46,109.62
16,16,50.0,62.5,63.46,5.77,52.88,21.15,49.04,73.08,65.38,107.69
17,17,50.0,62.5,63.46,5.77,52.88,21.15,49.04,73.08,65.38,106.73
18,18,51.92,65.38,63.46,7.69,52.88,23.08,50.0,73.08,66.35,124.04
19,19,51.92,65.38,63.46,7.69,52.88,23.08,50.0,73.08,66.35,125.0
20,20,51.92,65.38,63.46,7.69,52.88,23.08,50.0,73.08,66.35,125.0
21,21,51.92,65.38,63.46,7.69,52.88,23.08,50.0,73.08,66.35,108.65
22,22,54.81,67.31,64.42,9.62,52.88,23.08,50.0,75.0,67.31,118.27
23,23,54.81,67.31,64.42,9.62,52.88,23.08,50.0,75.0,67.31,118.27
24,24,58.65,67.31,69.23,9.62,52.88,23.08,50.0,78.85,69.23,108.65
25,25,58.65,67.31,69.23,9.62,52.88,23.08,50.0,78.85,69.23,108.65
26,26,59.62,68.27,70.19,10.58,52.88,23.08,50.96,82.69,69.23,112.5
27,27,59.62,68.27,70.19,10.58,52.88,23.08,50.96,82.69,69.23,117.31
28,28,70.19,71.15,71.15,11.54,52.88,23.08,50.96,83.65,69.23,112.5
29,29,70.19,71.15,71.15,11.54,52.88,23.08,50.96,83.65,69.23,114.42
30,30,71.15,73.08,74.04,11.54,52.88,24.04,51.92,83.65,74.04,113.46
31,31,71.15,73.08,74.04,11.54,52.88,24.04,51.92,83.65,74.04,114.42
32,32,73.08,74.04,74.04,13.46,52.88,24.04,51.92,88.46,75.0,119.23
33,33,73.08,74.04,74.04,13.46,52.88,24.04,51.92,88.46,75.0,121.15
34,34,73.08,75.0,74.04,14.42,53.85,24.04,52.88,88.46,75.96,121.15
35,35,73.08,75.0,74.04,14.42,53.85,24.04,52.88,88.46,75.96,119.23
36,36,74.04,75.96,74.04,14.42,57.69,24.04,52.88,88.46,79.81,125.0
37,37,74.04,75.96,74.04,14.42,57.69,24.04,52.88,88.46,79.81,122.12
38,38,75.0,75.96,74.04,14.42,60.58,25.0,52.88,88.46,81.73,122.12
39,39,75.0,75.96,74.04,14.42,60.58,25.0,52.88,88.46,81.73,121.15
40,40,76.92,75.96,74.04,15.38,63.46,26.92,54.81,89.42,81.73,122.12
41,41,76.92,75.96,74.04,15.38,63.46,26.92,54.81,89.42,81.73,123.08
42,42,78.85,75.96,75.0,15.38,63.46,27.88,54.81,90.38,81.73,
43,43,78.85,75.96,75.0,15.38,63.46,27.88,54.81,,81.73,
44,44,78.85,75.96,75.0,16.35,63.46,28.85,55.77,,86.54,
45,45,78.85,75.96,75.0,16.35,63.46,28.85,55.77,,86.54,
46,46,79.81,75.96,75.0,19.23,66.35,29.81,56.73,,89.42,
47,47,79.81,75.96,75.0,19.23,66.35,29.81,56.73,,89.42,
48,48,79.81,75.96,75.96,19.23,67.31,29.81,56.73,,91.35,
