,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.78
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.41
2,2,20.31,21.88,22.27,0.39,11.33,4.69,15.62,17.58,19.14,46.48
3,3,20.31,21.88,22.27,0.39,11.33,4.69,15.62,17.58,19.14,66.41
4,4,26.95,35.16,35.94,0.78,20.7,8.2,31.64,41.02,42.97,68.75
5,5,26.95,35.16,35.94,0.78,20.7,8.2,31.64,41.02,42.97,78.52
6,6,40.23,42.19,41.8,1.95,23.83,8.2,32.03,60.55,55.47,86.33
7,7,40.23,42.19,41.8,1.95,23.83,8.2,32.03,60.55,55.47,
8,8,58.59,50.78,49.61,2.34,28.91,8.2,32.81,69.53,68.75,
9,9,58.59,50.78,49.61,2.34,28.91,8.2,32.81,69.53,68.75,
10,10,71.48,59.77,57.42,3.12,36.33,8.98,32.81,71.88,74.22,
11,11,71.48,59.77,57.42,3.12,36.33,8.98,32.81,71.88,74.22,
12,12,77.34,60.55,60.55,5.47,40.23,9.77,33.2,74.22,76.56,
13,13,77.34,60.55,60.55,5.47,40.23,9.77,33.2,74.22,76.56,
14,14,79.69,60.55,60.94,6.25,43.36,10.94,34.38,75.78,78.52,
15,15,,60.55,60.94,6.25,43.36,10.94,34.38,75.78,80.08,
16,16,,60.55,60.94,7.42,44.14,12.5,34.77,77.73,,
17,17,,60.55,60.94,7.42,44.14,12.5,34.77,77.73,,
18,18,,60.94,60.94,7.42,44.14,12.89,35.16,77.73,,
19,19,,60.94,60.94,7.42,44.14,12.89,35.16,77.73,,
20,20,,61.33,61.72,7.81,44.14,14.06,35.94,77.73,,
21,21,,61.33,61.72,7.81,44.14,14.06,35.94,,,
22,22,,61.72,62.11,8.59,44.14,14.84,37.11,,,
23,23,,61.72,62.11,8.59,44.14,14.84,37.11,,,
24,24,,61.72,62.11,10.16,44.14,18.36,39.45,,,
25,25,,61.72,62.11,10.16,44.14,18.36,39.45,,,
26,26,,62.89,63.28,10.94,44.14,19.92,41.8,,,
27,27,,62.89,63.28,10.94,44.14,19.92,41.8,,,
28,28,,64.45,64.84,11.72,44.14,21.88,42.58,,,
29,29,,64.45,64.84,11.72,44.14,21.88,42.58,,,
30,30,,65.23,65.62,13.28,44.14,22.27,44.14,,,
31,31,,65.23,65.62,13.28,44.14,22.27,44.14,,,
32,32,,65.62,66.8,14.45,44.14,23.05,44.14,,,
33,33,,65.62,66.8,14.45,44.14,23.05,44.14,,,
34,34,,66.41,67.19,16.02,44.14,23.83,44.92,,,
35,35,,66.41,67.19,16.02,44.14,23.83,44.92,,,
36,36,,66.41,67.19,17.19,44.14,24.61,44.92,,,
37,37,,66.41,67.19,17.19,44.14,24.61,44.92,,,
38,38,,66.8,67.58,17.58,44.14,26.17,46.48,,,
39,39,,66.8,67.58,17.58,44.14,26.17,46.48,,,
40,40,,67.19,67.97,17.97,44.14,27.34,47.27,,,
41,41,,67.19,67.97,17.97,44.14,27.34,47.27,,,
42,42,,68.36,69.53,18.36,44.14,27.73,48.05,,,
43,43,,68.36,69.53,18.36,44.14,27.73,48.05,,,
44,44,,68.75,69.92,19.92,44.14,28.52,48.83,,,
45,45,,68.75,69.92,19.92,44.14,28.52,48.83,,,
46,46,,69.14,70.31,20.7,44.14,29.69,49.22,,,
47,47,,69.14,70.31,20.7,44.14,29.69,49.22,,,
48,48,,69.14,70.31,21.88,44.14,30.86,50.0,,,
49,49,,69.14,70.31,21.88,44.14,30.86,50.0,,,
50,50,,69.14,70.31,23.44,44.14,32.03,51.17,,,
51,51,,69.14,70.31,23.44,44.14,32.03,51.17,,,
52,52,,69.53,70.7,24.22,44.53,32.81,51.95,,,
53,53,,69.53,70.7,24.22,44.53,32.81,51.95,,,
54,54,,70.31,71.48,25.78,44.92,33.2,52.34,,,
55,55,,70.31,71.48,25.78,44.92,33.2,52.34,,,
56,56,,70.31,71.48,26.17,44.92,33.98,53.12,,,
57,57,,70.31,71.48,26.17,44.92,33.98,53.12,,,
58,58,,70.31,71.48,26.95,44.92,34.38,53.12,,,
59,59,,70.31,71.48,26.95,44.92,34.38,53.12,,,
60,60,,71.09,72.27,28.12,44.92,34.77,53.52,,,
61,61,,71.09,72.27,28.12,44.92,34.77,53.52,,,
62,62,,71.09,72.66,28.52,44.92,35.55,54.3,,,
63,63,,71.09,72.66,28.52,44.92,35.55,54.3,,,
64,64,,71.48,73.05,28.52,44.92,35.94,54.69,,,
65,65,,71.48,73.05,28.52,44.92,35.94,54.69,,,
66,66,,71.88,73.83,29.69,44.92,37.11,55.08,,,
67,67,,71.88,73.83,29.69,44.92,37.11,55.08,,,
68,68,,71.88,73.83,31.25,44.92,37.89,55.86,,,
69,69,,71.88,73.83,31.25,44.92,37.89,55.86,,,
70,70,,72.66,73.83,32.42,44.92,38.28,55.86,,,
71,71,,72.66,73.83,32.42,44.92,38.28,55.86,,,
72,72,,72.66,74.22,33.59,44.92,39.84,57.81,,,
73,73,,72.66,74.22,33.59,44.92,39.84,57.81,,,
74,74,,73.83,74.61,34.77,44.92,41.41,58.2,,,
75,75,,73.83,74.61,34.77,44.92,41.41,58.2,,,
76,76,,74.22,75.78,36.72,44.92,41.8,58.98,,,
77,77,,74.22,75.78,36.72,44.92,41.8,58.98,,,
78,78,,74.22,76.17,37.11,44.92,43.36,59.77,,,
79,79,,74.22,76.17,37.11,44.92,43.36,59.77,,,
80,80,,74.61,76.95,39.06,44.92,43.75,60.16,,,
81,81,,74.61,76.95,39.06,44.92,43.75,60.16,,,
82,82,,75.0,76.95,39.45,44.92,44.92,60.55,,,
83,83,,75.0,76.95,39.45,44.92,44.92,60.55,,,
84,84,,75.0,76.95,40.23,44.92,45.7,60.94,,,
85,85,,75.0,76.95,40.23,44.92,45.7,60.94,,,
86,86,,75.39,76.95,40.23,44.92,46.09,61.33,,,
87,87,,75.39,76.95,40.23,44.92,46.09,61.33,,,
88,88,,75.39,77.34,41.02,45.31,47.66,63.28,,,
89,89,,75.39,77.34,41.02,45.31,47.66,63.28,,,
90,90,,76.17,78.12,42.58,48.44,50.0,64.06,,,
91,91,,76.17,78.12,42.58,48.44,50.0,64.06,,,
92,92,,77.34,78.91,43.36,48.44,51.56,65.23,,,
93,93,,77.34,78.91,43.36,48.44,51.56,65.23,,,
94,94,,77.73,79.69,44.53,48.44,52.34,66.41,,,
95,95,,77.73,,44.53,48.44,52.34,66.41,,,
96,96,,78.52,,46.09,48.44,53.52,66.8,,,
97,97,,78.52,,46.09,48.44,53.52,66.8,,,
98,98,,79.3,,48.05,48.44,54.69,67.19,,,
99,99,,79.3,,48.05,48.44,54.69,67.19,,,
100,100,,79.3,,50.0,48.44,55.47,67.58,,,
