,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.35
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.79
2,2,0.0,4.34,4.5,1.29,2.89,2.25,4.34,2.73,2.41,136.5
3,3,0.0,4.34,4.5,1.29,2.89,2.25,4.34,2.73,2.41,108.2
4,4,0.0,12.22,12.22,2.73,8.84,6.75,11.09,10.61,10.45,104.02
5,5,0.0,12.22,12.22,2.73,8.84,6.75,11.09,10.61,10.45,103.86
6,6,0.0,19.94,19.94,3.86,13.99,10.45,17.68,18.65,17.68,102.89
7,7,0.0,19.94,19.94,3.86,13.99,10.45,17.68,18.65,17.68,102.73
8,8,0.0,27.49,27.81,4.5,18.97,11.25,24.44,26.69,25.4,101.93
9,9,0.0,27.49,27.81,4.5,18.97,11.25,24.44,26.69,25.4,102.09
10,10,0.0,35.53,35.69,5.95,22.99,12.38,31.51,34.41,33.44,101.29
11,11,0.0,35.53,35.69,5.95,22.99,12.38,31.51,34.41,33.44,100.8
12,12,0.0,41.64,41.32,7.07,25.72,12.86,37.3,40.35,39.71,100.0
13,13,88.75,41.64,41.32,7.07,25.72,12.86,37.3,40.35,39.71,107.72
14,14,88.75,49.68,49.2,7.72,30.06,13.67,44.21,47.75,47.11,106.11
15,15,89.07,49.68,49.2,7.72,30.06,13.67,44.21,47.75,47.11,105.95
16,16,89.07,57.4,57.23,8.2,38.1,14.79,51.29,53.86,54.66,104.18
17,17,89.71,57.4,57.23,8.2,38.1,14.79,51.29,53.86,54.66,102.41
18,18,89.71,65.27,65.11,9.65,43.09,16.24,57.88,59.65,62.06,101.29
19,19,90.35,65.27,65.11,9.65,43.09,16.24,57.88,59.65,62.06,100.16
20,20,90.35,72.67,72.51,10.13,45.82,17.36,65.59,66.08,69.45,99.2
21,21,91.48,72.67,72.51,10.13,45.82,17.36,65.59,66.08,69.45,
22,22,91.48,80.06,79.9,10.77,49.52,18.17,72.67,72.99,76.53,
23,23,92.28,80.06,79.9,10.77,49.52,18.17,72.67,72.99,76.53,
24,24,92.28,87.46,87.3,12.06,52.57,19.94,79.58,79.26,83.12,
25,25,92.77,87.46,87.3,12.06,52.57,19.94,79.58,79.26,83.12,
26,26,92.77,91.32,91.32,12.7,55.31,20.74,86.66,85.21,88.42,
27,27,93.25,91.32,91.32,12.7,55.31,20.74,86.66,85.21,88.42,
28,28,93.25,92.44,92.28,13.34,56.91,21.54,89.07,89.23,91.48,
29,29,94.05,92.44,92.28,13.34,56.91,21.54,89.07,89.23,91.48,
30,30,94.05,93.25,92.77,14.63,59.16,22.99,89.07,91.16,93.41,
31,31,94.69,93.25,92.77,14.63,59.16,22.99,89.07,91.16,93.41,
32,32,94.69,93.73,93.25,15.27,61.25,23.79,89.07,92.6,94.21,
33,33,95.34,93.73,93.25,15.27,61.25,23.79,89.07,92.6,94.21,
34,34,95.34,94.05,93.73,16.4,62.38,25.4,89.23,94.21,94.69,
35,35,95.66,94.05,93.73,16.4,62.38,25.4,89.23,94.21,94.69,
36,36,95.66,94.53,94.21,17.68,63.18,26.53,89.39,94.69,95.34,
37,37,95.98,94.53,94.21,17.68,63.18,26.53,89.39,94.69,95.34,
38,38,95.98,94.86,94.69,18.65,63.18,27.17,89.55,95.18,95.82,
39,39,96.3,94.86,94.69,18.65,63.18,27.17,89.55,95.18,95.82,
40,40,96.3,95.18,95.18,19.61,63.18,28.3,89.71,95.66,96.3,
41,41,97.11,95.18,95.18,19.61,63.18,28.3,89.71,95.66,96.3,
42,42,97.11,95.82,95.66,20.9,63.18,29.1,89.87,96.46,96.46,
43,43,97.75,95.82,95.66,20.9,63.18,29.1,89.87,96.46,96.46,
44,44,97.75,96.14,96.14,22.19,63.18,30.23,89.87,96.95,97.11,
45,45,98.07,96.14,96.14,22.19,63.18,30.23,89.87,96.95,97.11,
46,46,98.07,96.46,96.3,22.83,64.47,30.39,89.87,97.27,97.43,
47,47,98.07,96.46,96.3,22.83,64.47,30.39,89.87,97.27,97.43,
48,48,98.07,96.46,96.62,23.79,65.59,31.19,90.19,97.43,97.43,
49,49,98.07,96.46,96.62,23.79,65.59,31.19,90.19,97.43,97.43,
50,50,98.07,96.46,96.78,24.12,67.04,32.15,90.35,97.43,97.43,
51,51,98.23,96.46,96.78,24.12,67.04,32.15,90.35,97.43,97.43,
52,52,98.23,96.46,96.78,24.76,69.13,33.76,90.35,97.91,97.43,
53,53,98.39,96.46,96.78,24.76,69.13,33.76,90.35,97.91,97.43,
54,54,,96.62,96.78,26.05,70.74,34.24,90.51,98.07,97.59,
55,55,,96.62,96.78,26.05,70.74,34.24,90.51,98.07,97.59,
56,56,,96.62,96.78,27.65,71.22,35.37,90.68,98.07,97.75,
57,57,,96.62,96.78,27.65,71.22,35.37,90.68,98.07,97.75,
58,58,,96.62,96.78,28.62,71.86,36.33,91.0,98.23,97.75,
59,59,,96.62,96.78,28.62,71.86,36.33,91.0,98.23,97.75,
60,60,,96.62,96.78,29.1,72.99,37.46,91.16,98.23,98.07,
61,61,,96.62,96.78,29.1,72.99,37.46,91.16,98.23,98.07,
62,62,,96.62,96.78,30.55,73.79,38.42,91.32,98.23,98.23,
63,63,,96.62,96.78,30.55,73.79,38.42,91.32,98.23,98.23,
64,64,,96.62,96.78,31.83,74.6,39.07,91.48,98.39,98.39,
65,65,,96.62,96.78,31.83,74.6,39.07,91.48,98.39,98.39,
66,66,,96.62,96.95,32.96,75.72,39.87,91.48,98.39,98.39,
67,67,,96.62,96.95,32.96,75.72,39.87,91.48,98.39,98.39,
68,68,,96.78,96.95,33.6,77.17,40.51,91.8,98.55,98.39,
69,69,,96.78,96.95,33.6,77.17,40.51,91.8,98.55,98.39,
70,70,,96.78,96.95,34.73,77.81,40.84,91.8,98.55,98.39,
71,71,,96.78,96.95,34.73,77.81,40.84,91.8,98.55,98.39,
72,72,,96.95,97.11,35.21,78.46,41.16,91.8,98.71,98.39,
73,73,,96.95,97.11,35.21,78.46,41.16,91.8,98.71,98.39,
74,74,,96.95,97.11,36.5,79.1,42.28,91.8,98.71,98.55,
75,75,,96.95,97.11,36.5,79.1,42.28,91.8,98.71,98.55,
76,76,,97.43,97.11,37.78,79.1,43.09,92.12,98.71,98.71,
77,77,,97.43,97.11,37.78,79.1,43.09,92.12,98.71,98.71,
78,78,,97.43,97.27,38.91,79.74,43.89,92.12,98.87,98.71,
79,79,,97.43,97.27,38.91,79.74,43.89,92.12,,98.71,
80,80,,97.43,97.27,39.87,81.19,44.37,92.28,,98.87,
81,81,,97.43,97.27,39.87,81.19,44.37,92.28,,98.87,
82,82,,97.43,97.43,40.51,81.99,45.66,92.44,,98.87,
83,83,,97.43,97.43,40.51,81.99,45.66,92.44,,98.87,
84,84,,97.59,97.43,41.32,83.12,46.62,92.44,,98.87,
85,85,,97.59,97.43,41.32,83.12,46.62,92.44,,98.87,
86,86,,97.59,97.43,41.8,84.08,47.91,92.6,,98.87,
87,87,,97.59,97.43,41.8,84.08,47.91,92.6,,99.04,
88,88,,97.75,97.59,42.6,84.08,48.87,92.6,,,
89,89,,97.75,97.59,42.6,84.08,48.87,92.6,,,
90,90,,97.75,97.59,43.89,84.41,49.04,92.77,,,
91,91,,97.75,97.59,43.89,84.41,49.04,92.77,,,
92,92,,97.75,97.75,44.53,85.05,50.16,92.93,,,
93,93,,97.75,97.75,44.53,85.05,50.16,92.93,,,
94,94,,97.75,97.75,45.34,85.53,51.29,93.25,,,
95,95,,97.75,97.75,45.34,85.53,51.29,93.25,,,
96,96,,97.75,97.75,46.14,86.01,52.41,93.25,,,
97,97,,97.75,97.75,46.14,86.01,52.41,93.25,,,
98,98,,97.91,97.91,46.95,86.17,53.22,93.25,,,
99,99,,97.91,97.91,46.95,86.17,53.22,93.25,,,
100,100,,97.91,97.91,47.11,87.62,53.7,93.25,,,
