,projectname,classification,commenttext,label,code,yes_vote,no_vote
0,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// determine if the generated java file is up-to-date,no,undetermined,0,9
1,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Default the viewpath to basedir if it is not specified,no,undetermined,0,9
2,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// pre-3.4,no,undetermined,0,9
3,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// ask ant to update the properties...,no,undetermined,0,9
4,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//$NON-NLS-1$,no,undetermined,0,9
5,apache-ant-1.7.0,DESIGN,"// not sure whether this is clean, but this method is // declared not to throw exceptions.",yes,undetermined,1,8
6,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// If we are sending files, then assume out of date. // If we are getting files, then throw an error",no,undetermined,0,9
7,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// methods to register and unregister shutdown hooks,no,undetermined,0,9
8,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// -----  Constructors  -----,no,undetermined,0,9
9,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//  =====================  helper methods and classes  ====================,no,undetermined,0,9
10,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier ON,no,undetermined,0,9
11,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// will be caught and redirected to Ant's logging system,no,undetermined,0,9
12,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,/* the central dir                 */,no,undetermined,0,9
13,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// remove the process to the list of those to destroy if // the VM exits //,no,undetermined,0,9
14,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// mustSearchPath is false, or no PATH or not found - keep our // fingers crossed.",no,undetermined,0,9
15,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// -------------------------------------------- // //      Tokenizer Classes (impls moved to oata.util) // // --------------------------------------------,no,undetermined,0,9
16,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// -I- or -I-Y or -I-N,no,undetermined,0,9
17,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// conforming to NodeList interface,no,undetermined,0,9
18,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// add conditions and more commands as soon as the need arises,no,undetermined,0,9
19,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//weblogic.ejb.utils.DDCreator.main(args);,no,undetermined,0,9
20,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Construct a new class loader,no,undetermined,0,9
21,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//only set if successful to this point:,no,undetermined,0,9
22,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier OFF - bc,no,undetermined,0,9
23,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// PR 38370,no,undetermined,0,9
24,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//        blockNo++;,no,undetermined,0,9
25,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// firstly check if the tools jar is already in the classpath,no,undetermined,1,8
26,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,/* total number of entries in      */,no,undetermined,0,9
27,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// Use a stream so that you can close it yourself quickly // and avoid keeping the handle until the object is garbaged. // (always keep control), otherwise you won't be able to delete // the file quickly on windows.",no,undetermined,0,9
28,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"/*
     * Closes an unused connection after an error and doesn't rethrow
     * a possible SQLException
     * @since Ant 1.7
     */",no,undetermined,1,8
29,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// fall through,no,undetermined,1,8
30,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier OFF - bc,no,undetermined,0,9
31,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// if a label has been supplied, use it to configure the view // otherwise use current view",no,undetermined,0,9
32,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"//if they are different, the timestamps are used",no,undetermined,0,9
33,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Locate the auxiliary script,no,undetermined,0,9
34,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier OFF - bc,no,undetermined,0,9
35,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//preserve case on Cygwin when using 1.4 toURI:,no,undetermined,0,9
36,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// SMTP provider,no,undetermined,0,9
37,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// may be altered in validate,no,undetermined,1,8
38,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// ant task properties // defaults // CheckStyle:VisibilityModifier OFF - bc,no,undetermined,0,9
39,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"//sync says ""error:"" when a file is up-to-date",no,undetermined,1,8
40,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// register this as the current task on the current thread.,no,undetermined,1,8
41,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,/*<? extends EnumeratedAttribute>*/,no,undetermined,0,9
42,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// We want to display the folder the same way you would // enter it on the command line ... so we remove the // View name (which is also the name of the root folder, // and therefore shows up at the start of the path).",no,undetermined,0,9
43,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// Give always a slash as file separator, so the stylesheet could be sure about that // Use '.' so a dir+""/""+name would not result in an absolute path",no,undetermined,0,9
44,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// jdk 1.5 xsltc,no,undetermined,0,9
45,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// If the file doesn't pass the include/exclude tests, skip it.",no,undetermined,0,9
46,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// padding,no,undetermined,0,9
47,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// try to get it from the project or keys // Backward compatibility,no,undetermined,0,9
48,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Fall tru,no,undetermined,0,9
49,apache-ant-1.7.0,TEST,//where oh where has my test case 3 gone?,yes,undetermined,0,9
50,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//fill in args,no,undetermined,0,9
51,apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// ignore,no,undetermined,0,9
