,projectname,classification,commenttext,label,code,yes_vote,no_vote
0,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$,no,undetermined,0,9
1,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Must therefore set the enabled icon so there is at least some // icon,no,undetermined,1,8
2,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// // Modifying //,no,undetermined,0,9
3,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// If file encoding is specified, read using that encoding, otherwise use default platform encoding",no,undetermined,0,9
4,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Outer sample,no,undetermined,0,9
5,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON_NLS-1$,no,undetermined,0,9
6,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$,no,undetermined,0,9
7,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// Sample with no sub results, simulates an image download ",no,undetermined,0,9
8,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// Don't make these static, otherwise language change does not work //$NON-NLS-1$",no,undetermined,1,8
9,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// updateMainMenu(((JMeterGUIComponent) // getCurrentNode().getUserObject()).createPopupMenu());,no,undetermined,0,9
10,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$,no,undetermined,0,9
11,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Check if we have found a content-length header //$NON-NLS-1$,no,undetermined,0,9
12,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Headers,no,undetermined,0,9
13,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// first we see if the class declares a string // constructor. if it is doesn't we look for // empty constructor.,no,undetermined,0,9
14,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Set all the headers from the HeaderManager,no,undetermined,0,9
15,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$,no,undetermined,0,9
16,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Parse arguments all at once,no,undetermined,0,9
17,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Set up the sample result details,no,undetermined,0,9
18,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// ""-Dstupid=idiot"",""are"",""--all"",""here""",no,undetermined,0,9
19,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// Use null for url and contentEncoding, to simulate that HttpRequestHdr do not // know the encoding for the page",no,undetermined,0,9
20,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"/*
     * ------------------------------------------------------------------------
     * Methods implemented from interface org.apache.jmeter.config.Modifier
     * ------------------------------------------------------------------------
     */",no,undetermined,0,9
21,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"//@GuardedGy(""this"")",no,undetermined,0,9
22,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// file exclf inclf exclp inclp,no,undetermined,0,9
23,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Default (can be overridden by the script),no,undetermined,0,9
24,apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$,no,undetermined,0,9
